Country,Ethnicity,Percent of population
Gaza Strip,Palestinian arab,
West Bank,Palestinian arab,
West Bank,Jewish,
West Bank,Other,
Aruba,Aruban,66
Aruba,Colombian,9.1
Aruba,Dutch,4.3
Aruba,Dominican,4.1
Aruba,Venezuelan,3.2
Aruba,Curacaoan,2.2
Aruba,Haitian,1.5
Aruba,Surinamese,1.2
Aruba,Peruvian,1.1
Aruba,Chinese,1.1
Aruba,Other,6.2
Angola,Ovimbundu,37
Angola,Kimbundu,25
Angola,Bakongo,13
Angola,Mestico (mixed european and native african),2
Angola,European,1
Angola,Other,22
Anguilla,African/black,85.3
Anguilla,Hispanic,4.9
Anguilla,Mixed,3.8
Anguilla,White,3.2
Anguilla,East indian/indian,1
Anguilla,Other,1.6
Anguilla,Unspecified,0.3
Andorra,Andorran,48.3
Andorra,Spanish,24.8
Andorra,Portuguese,11.2
Andorra,French,4.5
Andorra,Argentine,1.4
Andorra,Other,9.8
United Arab Emirates (the),Emirati,11.6
United Arab Emirates (the),"South asian (includes indian, bangladeshi, pakistani, other)",59.4
United Arab Emirates (the),Egyptian,10.2
United Arab Emirates (the),Filipino,6.1
United Arab Emirates (the),Other,12.8
Argentina,European (mostly spanish and italian descent) and mestizo (mixed european and amerindian ancestry),97.2
Argentina,Amerindian,2.4
Argentina,African descent,0.4
Armenia,Armenian,98.1
Armenia,Yezidi (kurd),1.2
Armenia,Other,0.7
American Samoa,"Pacific islander (includes samoan, tongan, other .8%)",92.6
American Samoa,"Asian (includes filipino, other)",3.6
American Samoa,Mixed,2.7
American Samoa,Other,1.2
Antigua and Barbuda,African descent,87.3
Antigua and Barbuda,Mixed,4.7
Antigua and Barbuda,Hispanic,2.7
Antigua and Barbuda,White,1.6
Antigua and Barbuda,Other,2.7
Antigua and Barbuda,Unspecified,0.9
Australia,English,36.1
Australia,Australian,33.5
Australia,Irish,11
Australia,Scottish,9.3
Australia,Chinese,5.6
Australia,Italian,4.6
Australia,German,4.5
Australia,Aboriginal and torres strait islander,2.8
Australia,Indian,2.8
Australia,Greek,1.8
Australia,Dutch,1.6
Austria,Austrian,80.8
Austria,German,2.6
Austria,Bosnian and herzegovinian,1.9
Austria,Turkish,1.8
Austria,Serbian,1.6
Austria,Romanian,1.3
Austria,Other,10
Azerbaijan,Azerbaijani,91.6
Azerbaijan,Lezghin,2
Azerbaijan,Russian,1.3
Azerbaijan,Armenian,1.3
Azerbaijan,Talysh,1.3
Azerbaijan,Other,2.4
Burundi,Hutu,
Burundi,Tutsi,
Burundi,Twa (pygmy),
Belgium,Belgian,75.2
Belgium,Italian,4.1
Belgium,Moroccan,3.7
Belgium,French,2.4
Belgium,Turkish,2
Belgium,Dutch,2
Belgium,Other,10.6
Benin,Fon and related,38.4
Benin,Adja and related,15.1
Benin,Yoruba and related,12
Benin,Bariba and related,9.6
Benin,Fulani and related,8.6
Benin,Ottamari and related,6.1
Benin,Yoa-lokpa and related,4.3
Benin,Dendi and related,2.9
Benin,Other,0.9
Benin,Foreigner,1.9
Burkina Faso,Mossi,52
Burkina Faso,Fulani,8.4
Burkina Faso,Gurma,7
Burkina Faso,Bobo,4.9
Burkina Faso,Gurunsi,4.6
Burkina Faso,Senufo,4.5
Burkina Faso,Bissa,3.7
Burkina Faso,Lobi,2.4
Burkina Faso,Dagara,2.4
