Country,Pillar,Sub-Pillar,Score
Curaçao,Business,Financing Incentives,
Curaçao,Business,Impact commitments,
Curaçao,Business,Startup Environment,
Curaçao,Business,Technology Adoption,
Curaçao,Foundations,Digital Payments,
Curaçao,Foundations,Digital Legal Identity,
Curaçao,Foundations,Data Exchange,
Curaçao,Government,Capabilities,
Curaçao,Government,Digital Public Services,
Curaçao,Government,Leadership and coordination,
Curaçao,Government,Monitoring,
Curaçao,Government,Funding and procurement,
Curaçao,Infrastructure,Innovation Ecosystem,
Curaçao,Infrastructure,Connectivity Technology,6
Curaçao,People,Culture,
Curaçao,People,Digital Literacy Skills,
Curaçao,People,Digital Wellbeing,
Curaçao,People,Usage and ownership,4.6365
Curaçao,Regulation,Cybersecurity,
Curaçao,Regulation,Data standards and protection,
Curaçao,Regulation,Ethical Standards,
Curaçao,Strategy,Ambition,
Guinea-Bissau,Business,Financing Incentives,
Guinea-Bissau,Business,Impact commitments,
Guinea-Bissau,Business,Startup Environment,3.32125
Guinea-Bissau,Business,Technology Adoption,
Guinea-Bissau,Foundations,Digital Payments,
Guinea-Bissau,Foundations,Digital Legal Identity,2.65
Guinea-Bissau,Foundations,Data Exchange,
Guinea-Bissau,Government,Monitoring,
Guinea-Bissau,Government,Leadership and coordination,
Guinea-Bissau,Government,Funding and procurement,
Guinea-Bissau,Government,Digital Public Services,1.37
Guinea-Bissau,Government,Capabilities,
Guinea-Bissau,Infrastructure,Innovation Ecosystem,1.8245
Guinea-Bissau,Infrastructure,Connectivity Technology,2.698704605
Guinea-Bissau,People,Culture,2.515845871
Guinea-Bissau,People,Digital Literacy Skills,3.1325
Guinea-Bissau,People,Digital Wellbeing,
Guinea-Bissau,People,Usage and ownership,1.784962205
Guinea-Bissau,Regulation,Cybersecurity,
Guinea-Bissau,Regulation,Data standards and protection,
Guinea-Bissau,Regulation,Ethical Standards,
Guinea-Bissau,Strategy,Ambition,
Samoa,Business,Technology Adoption,
Samoa,Business,Startup Environment,4.46925
Samoa,Business,Impact commitments,
Samoa,Business,Financing Incentives,
Samoa,Foundations,Data Exchange,
Samoa,Foundations,Digital Legal Identity,1.4875
Samoa,Foundations,Digital Payments,
Samoa,Government,Capabilities,
Samoa,Government,Digital Public Services,2.28675
Samoa,Government,Funding and procurement,
Samoa,Government,Leadership and coordination,
Samoa,Government,Monitoring,
Samoa,Infrastructure,Connectivity Technology,2.457349385
Samoa,Infrastructure,Innovation Ecosystem,3.391
Samoa,People,Culture,4.262499905
Samoa,People,Digital Literacy Skills,2.3535
Samoa,People,Digital Wellbeing,
Samoa,People,Usage and ownership,2.603571429
Samoa,Regulation,Ethical Standards,
Samoa,Regulation,Data standards and protection,
Samoa,Regulation,Cybersecurity,
Samoa,Strategy,Ambition,
Solomon Islands,Business,Technology Adoption,
Solomon Islands,Business,Startup Environment,4.562583333
Solomon Islands,Business,Impact commitments,
Solomon Islands,Business,Financing Incentives,
Solomon Islands,Foundations,Data Exchange,
Solomon Islands,Foundations,Digital Legal Identity,1.6375
Solomon Islands,Foundations,Digital Payments,
Solomon Islands,Government,Capabilities,
Solomon Islands,Government,Monitoring,
Solomon Islands,Government,Leadership and coordination,
Solomon Islands,Government,Funding and procurement,
Solomon Islands,Government,Digital Public Services,2.61225
Solomon Islands,Infrastructure,Connectivity Technology,1.736661288
Solomon Islands,Infrastructure,Innovation Ecosystem,2.131
Solomon Islands,People,Culture,3.5675
Solomon Islands,People,Digital Literacy Skills,1.74625
Solomon Islands,People,Digital Wellbeing,
Solomon Islands,People,Usage and ownership,2.152279152
Solomon Islands,Regulation,Cybersecurity,
Solomon Islands,Regulation,Data standards and protection,
Solomon Islands,Regulation,Ethical Standards,
Solomon Islands,Strategy,Ambition,
Uzbekistan,Business,Technology Adoption,2.85
Uzbekistan,Business,Startup Environment,3.499144957
Uzbekistan,Business,Financing Incentives,
Uzbekistan,Business,Impact commitments,
Uzbekistan,Foundations,Data Exchange,
Uzbekistan,Foundations,Digital Legal Identity,4.45
Uzbekistan,Foundations,Digital Payments,2.185714286
Uzbekistan,Government,Monitoring,
Uzbekistan,Government,Funding and procurement,1.0065015
Uzbekistan,Government,Leadership and coordination,
Uzbekistan,Government,Digital Public Services,4.97975
Uzbekistan,Government,Capabilities,1.375
Uzbekistan,Infrastructure,Innovation Ecosystem,1.234187636
Uzbekistan,Infrastructure,Connectivity Technology,3.634855298
Uzbekistan,People,Usage and ownership,3.623020088
Uzbekistan,People,Digital Wellbeing,4.0895
Uzbekistan,People,Digital Literacy Skills,4.569472015
Uzbekistan,People,Culture,3.066904926
Uzbekistan,Regulation,Ethical Standards,3.35
Uzbekistan,Regulation,Data standards and protection,
Uzbekistan,Regulation,Cybersecurity,2.4
Uzbekistan,Strategy,Ambition,4.49
