CMS slug,Region Name,Sub-region Name,Country or Area,World Bank Income Level,Score,Pillar,Sub-Pillar
zimbabwe,Africa,Sub-Saharan Africa,Zimbabwe,Lower Middle Income,2.397434304955803,Business,
saint-vincent-and-the-grenadines,Americas,Latin America and the Caribbean,Saint Vincent and the Grenadines,Upper Middle Income,,Business,Financing Incentives
saint-vincent-and-the-grenadines,Americas,Latin America and the Caribbean,Saint Vincent and the Grenadines,Upper Middle Income,,Business,Impact commitments
saint-vincent-and-the-grenadines,Americas,Latin America and the Caribbean,Saint Vincent and the Grenadines,Upper Middle Income,3.74034388888889,Business,Startup Environment
saint-vincent-and-the-grenadines,Americas,Latin America and the Caribbean,Saint Vincent and the Grenadines,Upper Middle Income,,Business,Technology Adoption
saudi-arabia,Asia,Western Asia,Saudi Arabia,High Income,3.379730199999999,Business,Technology Adoption
saudi-arabia,Asia,Western Asia,Saudi Arabia,High Income,3.696103497798352,Business,
saudi-arabia,Asia,Western Asia,Saudi Arabia,High Income,3.861595453835056,Business,Startup Environment
saudi-arabia,Asia,Western Asia,Saudi Arabia,High Income,,Business,Impact commitments
saudi-arabia,Asia,Western Asia,Saudi Arabia,High Income,3.8469848395600006,Business,Financing Incentives
ukraine,Europe,Eastern Europe,Ukraine,Lower Middle Income,3.5757340287605293,Business,
malawi,Africa,Sub-Saharan Africa,Malawi,Low Income,2.5516679962437974,Business,
romania,Europe,Eastern Europe,Romania,Upper Middle Income,3.2504378097048305,Business,
romania,Europe,Eastern Europe,Romania,Upper Middle Income,,Business,Impact commitments
romania,Europe,Eastern Europe,Romania,Upper Middle Income,3.6083119090378255,Business,Startup Environment
romania,Europe,Eastern Europe,Romania,Upper Middle Income,3.772444,Business,Technology Adoption
romania,Europe,Eastern Europe,Romania,Upper Middle Income,2.3705575200766664,Business,Financing Incentives
iceland,Europe,Northern Europe,Iceland,High Income,3.660348779394518,Business,
saint-vincent-and-the-grenadines,Americas,Latin America and the Caribbean,Saint Vincent and the Grenadines,Upper Middle Income,3.74034388888889,Business,
malawi,Africa,Sub-Saharan Africa,Malawi,Low Income,2.030435,Business,Technology Adoption
malawi,Africa,Sub-Saharan Africa,Malawi,Low Income,3.831523340234726,Business,Startup Environment
lebanon,Asia,Western Asia,Lebanon,Upper Middle Income,3.1294899107857588,Business,
saint-kitts-and-nevis,Americas,Latin America and the Caribbean,Saint Kitts and Nevis,High Income,,Business,Technology Adoption
saint-kitts-and-nevis,Americas,Latin America and the Caribbean,Saint Kitts and Nevis,High Income,3.205927207360228,Business,
dominican-republic,Americas,Latin America and the Caribbean,Dominican Republic (the),Upper Middle Income,2.819672360336668,Business,Financing Incentives
dominican-republic,Americas,Latin America and the Caribbean,Dominican Republic (the),Upper Middle Income,,Business,Impact commitments
dominican-republic,Americas,Latin America and the Caribbean,Dominican Republic (the),Upper Middle Income,3.17132177021596,Business,Startup Environment
dominican-republic,Americas,Latin America and the Caribbean,Dominican Republic (the),Upper Middle Income,2.6415096,Business,Technology Adoption
dominican-republic,Americas,Latin America and the Caribbean,Dominican Republic (the),Upper Middle Income,2.877501243517542,Business,
malawi,Africa,Sub-Saharan Africa,Malawi,Low Income,1.7930456484966664,Business,Financing Incentives
iceland,Europe,Northern Europe,Iceland,High Income,3.503650101625,Business,Technology Adoption
malawi,Africa,Sub-Saharan Africa,Malawi,Low Income,,Business,Impact commitments
lebanon,Asia,Western Asia,Lebanon,Upper Middle Income,3.263481295583944,Business,Startup Environment
lebanon,Asia,Western Asia,Lebanon,Upper Middle Income,,Business,Impact commitments
azerbaijan,Asia,Western Asia,Azerbaijan,Upper Middle Income,3.987005416199164,Business,
azerbaijan,Asia,Western Asia,Azerbaijan,Upper Middle Income,3.5925097155816683,Business,Financing Incentives
azerbaijan,Asia,Western Asia,Azerbaijan,Upper Middle Income,,Business,Impact commitments
azerbaijan,Asia,Western Asia,Azerbaijan,Upper Middle Income,5.017018933015822,Business,Startup Environment
azerbaijan,Asia,Western Asia,Azerbaijan,Upper Middle Income,3.351487600000001,Business,Technology Adoption
lebanon,Asia,Western Asia,Lebanon,Upper Middle Income,2.8745982367733327,Business,Financing Incentives
lebanon,Asia,Western Asia,Lebanon,Upper Middle Income,3.2503902,Business,Technology Adoption
saint-kitts-and-nevis,Americas,Latin America and the Caribbean,Saint Kitts and Nevis,High Income,,Business,Financing Incentives
iceland,Europe,Northern Europe,Iceland,High Income,4.249827288420222,Business,Startup Environment
iceland,Europe,Northern Europe,Iceland,High Income,3.2275689481383334,Business,Financing Incentives
oman,Asia,Western Asia,Oman,High Income,3.610899043221666,Business,Financing Incentives
oman,Asia,Western Asia,Oman,High Income,3.402479770617839,Business,
san-marino,Europe,Southern Europe,San Marino,High Income,3.2154531111111115,Business,Startup Environment
san-marino,Europe,Southern Europe,San Marino,High Income,,Business,Technology Adoption
san-marino,Europe,Southern Europe,San Marino,High Income,,Business,Financing Incentives
san-marino,Europe,Southern Europe,San Marino,High Income,,Business,Impact commitments
san-marino,Europe,Southern Europe,San Marino,High Income,3.2154531111111115,Business,
south-sudan,Africa,Sub-Saharan Africa,South Sudan,Low Income,2.773318031746032,Business,
south-sudan,Africa,Sub-Saharan Africa,South Sudan,Low Income,,Business,Financing Incentives
south-sudan,Africa,Sub-Saharan Africa,South Sudan,Low Income,,Business,Impact commitments
liechtenstein,Europe,Western Europe,Liechtenstein,High Income,,Business,Financing Incentives
liechtenstein,Europe,Western Europe,Liechtenstein,High Income,,Business,Impact commitments
liechtenstein,Europe,Western Europe,Liechtenstein,High Income,2.069246275114757,Business,Startup Environment
liechtenstein,Europe,Western Europe,Liechtenstein,High Income,,Business,Technology Adoption
liechtenstein,Europe,Western Europe,Liechtenstein,High Income,2.069246275114757,Business,
south-sudan,Africa,Sub-Saharan Africa,South Sudan,Low Income,2.773318031746032,Business,Startup Environment
south-sudan,Africa,Sub-Saharan Africa,South Sudan,Low Income,,Business,Technology Adoption
oman,Asia,Western Asia,Oman,High Income,,Business,Impact commitments
oman,Asia,Western Asia,Oman,High Income,3.6713990686318514,Business,Startup Environment
oman,Asia,Western Asia,Oman,High Income,2.925141199999999,Business,Technology Adoption
seychelles,Africa,Sub-Saharan Africa,Seychelles,High Income,,Business,Technology Adoption
ukraine,Europe,Eastern Europe,Ukraine,Lower Middle Income,2.679660895268334,Business,Financing Incentives
ukraine,Europe,Eastern Europe,Ukraine,Lower Middle Income,,Business,Impact commitments
jordan,Asia,Western Asia,Jordan,Upper Middle Income,3.907907919731664,Business,
jordan,Asia,Western Asia,Jordan,Upper Middle Income,4.536079572229993,Business,Startup Environment
jordan,Asia,Western Asia,Jordan,Upper Middle Income,,Business,Impact commitments
jordan,Asia,Western Asia,Jordan,Upper Middle Income,3.5345609869649994,Business,Financing Incentives
jordan,Asia,Western Asia,Jordan,Upper Middle Income,3.653083200000002,Business,Technology Adoption
maldives,Asia,Southern Asia,Maldives,Upper Middle Income,,Business,Financing Incentives
iceland,Europe,Northern Europe,Iceland,High Income,,Business,Impact commitments
maldives,Asia,Southern Asia,Maldives,Upper Middle Income,,Business,Impact commitments
japan,Asia,Eastern Asia,Japan,High income,4.05120197468678,Business,Startup Environment
maldives,Asia,Southern Asia,Maldives,Upper Middle Income,3.1497769365079367,Business,
ukraine,Europe,Eastern Europe,Ukraine,Lower Middle Income,4.2973525910132535,Business,Startup Environment
ukraine,Europe,Eastern Europe,Ukraine,Lower Middle Income,3.750188600000001,Business,Technology Adoption
seychelles,Africa,Sub-Saharan Africa,Seychelles,High Income,3.010486340560002,Business,
seychelles,Africa,Sub-Saharan Africa,Seychelles,High Income,3.006177782081672,Business,Startup Environment
seychelles,Africa,Sub-Saharan Africa,Seychelles,High Income,3.014794899038333,Business,Financing Incentives
seychelles,Africa,Sub-Saharan Africa,Seychelles,High Income,,Business,Impact commitments
maldives,Asia,Southern Asia,Maldives,Upper Middle Income,3.1497769365079367,Business,Startup Environment
somalia,Africa,Sub-Saharan Africa,Somalia,Low Income,1.5915907102114533,Business,
saint-kitts-and-nevis,Americas,Latin America and the Caribbean,Saint Kitts and Nevis,High Income,,Business,Impact commitments
samoa,Oceania,Polynesia,Samoa,Lower Middle Income,,Business,Technology Adoption
tajikistan,Asia,Central Asia,Tajikistan,Lower Middle Income,3.149817564611315,Business,
slovenia,Europe,Southern Europe,Slovenia,High Income,3.407007201764167,Business,
slovenia,Europe,Southern Europe,Slovenia,High Income,2.893114267998333,Business,Financing Incentives
slovenia,Europe,Southern Europe,Slovenia,High Income,,Business,Impact commitments
slovenia,Europe,Southern Europe,Slovenia,High Income,3.963748007544167,Business,Startup Environment
slovenia,Europe,Southern Europe,Slovenia,High Income,3.364159329750001,Business,Technology Adoption
thailand,Asia,South-eastern Asia,Thailand,Upper Middle Income,3.3305795,Business,Technology Adoption
thailand,Asia,South-eastern Asia,Thailand,Upper Middle Income,4.302133185806173,Business,Startup Environment
thailand,Asia,South-eastern Asia,Thailand,Upper Middle Income,,Business,Impact commitments
thailand,Asia,South-eastern Asia,Thailand,Upper Middle Income,3.3009269822166663,Business,Financing Incentives
thailand,Asia,South-eastern Asia,Thailand,Upper Middle Income,3.644546556007613,Business,
bahrain,Asia,Western Asia,Bahrain,High Income,2.859073600000001,Business,Technology Adoption
bahrain,Asia,Western Asia,Bahrain,High Income,3.982476554416334,Business,Startup Environment
bahrain,Asia,Western Asia,Bahrain,High Income,,Business,Impact commitments
bahrain,Asia,Western Asia,Bahrain,High Income,3.675231351593333,Business,Financing Incentives
bahrain,Asia,Western Asia,Bahrain,High Income,3.505593835336556,Business,
turkey,Asia,Western Asia,Turkey,Upper Middle Income,3.447701536590796,Business,
tajikistan,Asia,Central Asia,Tajikistan,Lower Middle Income,2.186522200000001,Business,Technology Adoption
tajikistan,Asia,Central Asia,Tajikistan,Lower Middle Income,4.324433002512278,Business,Startup Environment
tajikistan,Asia,Central Asia,Tajikistan,Lower Middle Income,,Business,Impact commitments
tajikistan,Asia,Central Asia,Tajikistan,Lower Middle Income,2.938497491321667,Business,Financing Incentives
chad,Africa,Sub-Saharan Africa,Chad,Low Income,3.035487085107985,Business,Startup Environment
chad,Africa,Sub-Saharan Africa,Chad,Low Income,1.2283416,Business,Technology Adoption
chad,Africa,Sub-Saharan Africa,Chad,Low Income,2.0820252638443284,Business,
egypt,Africa,Northern Africa,Egypt,Lower Middle Income,2.72389704151,Business,Financing Incentives
egypt,Africa,Northern Africa,Egypt,Lower Middle Income,,Business,Impact commitments
egypt,Africa,Northern Africa,Egypt,Lower Middle Income,3.526462681726161,Business,Startup Environment
egypt,Africa,Northern Africa,Egypt,Lower Middle Income,3.3383140000000013,Business,Technology Adoption
egypt,Africa,Northern Africa,Egypt,Lower Middle Income,3.1962245744120543,Business,
turkey,Asia,Western Asia,Turkey,Upper Middle Income,4.240567205117389,Business,Startup Environment
sudan,Africa,Northern Africa,Sudan (the),Low Income,2.0828300000000004,Business,Technology Adoption
sudan,Africa,Northern Africa,Sudan (the),Low Income,,Business,Impact commitments
sudan,Africa,Northern Africa,Sudan (the),Low Income,,Business,Financing Incentives
sudan,Africa,Northern Africa,Sudan (the),Low Income,2.313297597436476,Business,
palau,Oceania,Micronesia,Palau,High Income,3.636809732753072,Business,
palau,Oceania,Micronesia,Palau,High Income,,Business,Financing Incentives
palau,Oceania,Micronesia,Palau,High Income,,Business,Impact commitments
palau,Oceania,Micronesia,Palau,High Income,3.636809732753072,Business,Startup Environment
palau,Oceania,Micronesia,Palau,High Income,,Business,Technology Adoption
sudan,Africa,Northern Africa,Sudan (the),Low Income,2.543765194872952,Business,Startup Environment
saint-kitts-and-nevis,Americas,Latin America and the Caribbean,Saint Kitts and Nevis,High Income,3.205927207360228,Business,Startup Environment
turkey,Asia,Western Asia,Turkey,Upper Middle Income,3.4869536249999986,Business,Technology Adoption
turkey,Asia,Western Asia,Turkey,Upper Middle Income,2.615583779655,Business,Financing Incentives
cabo-verde,Africa,Sub-Saharan Africa,Cabo Verde,Lower Middle Income,2.6508596340600006,Business,Financing Incentives
cabo-verde,Africa,Sub-Saharan Africa,Cabo Verde,Lower Middle Income,3.265296489735056,Business,Startup Environment
cabo-verde,Africa,Sub-Saharan Africa,Cabo Verde,Lower Middle Income,2.54927025,Business,Technology Adoption
syria,Asia,Western Asia,Syrian Arab Republic (the),Low Income,2.32195057936508,Business,
syria,Asia,Western Asia,Syrian Arab Republic (the),Low Income,,Business,Financing Incentives
syria,Asia,Western Asia,Syrian Arab Republic (the),Low Income,,Business,Impact commitments
syria,Asia,Western Asia,Syrian Arab Republic (the),Low Income,2.5910111587301587,Business,Startup Environment
syria,Asia,Western Asia,Syrian Arab Republic (the),Low Income,2.0528900000000005,Business,Technology Adoption
bolivia,Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),Lower Middle Income,2.400301401818476,Business,
bolivia,Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),Lower Middle Income,2.324981167951668,Business,Financing Incentives
bolivia,Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),Lower Middle Income,,Business,Impact commitments
bolivia,Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),Lower Middle Income,2.455769037503756,Business,Startup Environment
bolivia,Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),Lower Middle Income,2.420154000000001,Business,Technology Adoption
samoa,Oceania,Polynesia,Samoa,Lower Middle Income,4.491541000000002,Business,
samoa,Oceania,Polynesia,Samoa,Lower Middle Income,,Business,Financing Incentives
samoa,Oceania,Polynesia,Samoa,Lower Middle Income,,Business,Impact commitments
samoa,Oceania,Polynesia,Samoa,Lower Middle Income,4.491541000000002,Business,Startup Environment
cabo-verde,Africa,Sub-Saharan Africa,Cabo Verde,Lower Middle Income,,Business,Impact commitments
cabo-verde,Africa,Sub-Saharan Africa,Cabo Verde,Lower Middle Income,2.8218087912650187,Business,
peru,Americas,Latin America and the Caribbean,Peru,Upper Middle Income,2.997796399999999,Business,Technology Adoption
peru,Americas,Latin America and the Caribbean,Peru,Upper Middle Income,3.770322742317025,Business,Startup Environment
zambia,Africa,Sub-Saharan Africa,Zambia,Lower Middle Income,2.6033867999999987,Business,Technology Adoption
zambia,Africa,Sub-Saharan Africa,Zambia,Lower Middle Income,4.571613071992279,Business,Startup Environment
zambia,Africa,Sub-Saharan Africa,Zambia,Lower Middle Income,,Business,Impact commitments
zambia,Africa,Sub-Saharan Africa,Zambia,Lower Middle Income,1.6682158583966673,Business,Financing Incentives
zambia,Africa,Sub-Saharan Africa,Zambia,Lower Middle Income,2.947738576796315,Business,
bosnia-and-herzegovina,Europe,Southern Europe,Bosnia and Herzegovina,Upper Middle Income,,Business,Impact commitments
bosnia-and-herzegovina,Europe,Southern Europe,Bosnia and Herzegovina,Upper Middle Income,2.1148149602166666,Business,Financing Incentives
bosnia-and-herzegovina,Europe,Southern Europe,Bosnia and Herzegovina,Upper Middle Income,3.378796867421008,Business,Startup Environment
turkey,Asia,Western Asia,Turkey,Upper Middle Income,,Business,Impact commitments
bosnia-and-herzegovina,Europe,Southern Europe,Bosnia and Herzegovina,Upper Middle Income,3.088414799999999,Business,Technology Adoption
colombia,Americas,Latin America and the Caribbean,Colombia,Upper Middle Income,,Business,Impact commitments
colombia,Americas,Latin America and the Caribbean,Colombia,Upper Middle Income,2.790004197240001,Business,Financing Incentives
colombia,Americas,Latin America and the Caribbean,Colombia,Upper Middle Income,4.641359846604777,Business,Startup Environment
colombia,Americas,Latin America and the Caribbean,Colombia,Upper Middle Income,2.7753581666666665,Business,Technology Adoption
colombia,Americas,Latin America and the Caribbean,Colombia,Upper Middle Income,3.402240736837148,Business,
peru,Americas,Latin America and the Caribbean,Peru,Upper Middle Income,3.1711333359906746,Business,
peru,Americas,Latin America and the Caribbean,Peru,Upper Middle Income,2.745280865655,Business,Financing Incentives
peru,Americas,Latin America and the Caribbean,Peru,Upper Middle Income,,Business,Impact commitments
bosnia-and-herzegovina,Europe,Southern Europe,Bosnia and Herzegovina,Upper Middle Income,2.860675542545891,Business,
somalia,Africa,Sub-Saharan Africa,Somalia,Low Income,,Business,Impact commitments
somalia,Africa,Sub-Saharan Africa,Somalia,Low Income,1.5915907102114533,Business,Startup Environment
somalia,Africa,Sub-Saharan Africa,Somalia,Low Income,,Business,Technology Adoption
argentina,Americas,Latin America and the Caribbean,Argentina,Upper Middle Income,3.329758828041945,Business,Startup Environment
argentina,Americas,Latin America and the Caribbean,Argentina,Upper Middle Income,3.032260666666667,Business,Technology Adoption
gambia,Africa,Sub-Saharan Africa,Gambia (the),Low Income,2.652985048878333,Business,Financing Incentives
gambia,Africa,Sub-Saharan Africa,Gambia (the),Low Income,,Business,Impact commitments
gambia,Africa,Sub-Saharan Africa,Gambia (the),Low Income,4.113957,Business,Startup Environment
gambia,Africa,Sub-Saharan Africa,Gambia (the),Low Income,2.18624775,Business,Technology Adoption
gambia,Africa,Sub-Saharan Africa,Gambia (the),Low Income,2.9843965996261117,Business,
kuwait,Asia,Western Asia,Kuwait,High Income,3.228099139440314,Business,
kuwait,Asia,Western Asia,Kuwait,High Income,2.8575766000000007,Business,Technology Adoption
kuwait,Asia,Western Asia,Kuwait,High Income,3.1701678933442743,Business,Startup Environment
kuwait,Asia,Western Asia,Kuwait,High Income,3.656552924976666,Business,Financing Incentives
kuwait,Asia,Western Asia,Kuwait,High Income,,Business,Impact commitments
trinidad-and-tobago,Americas,Latin America and the Caribbean,Trinidad and Tobago,High Income,2.9791811372375734,Business,
trinidad-and-tobago,Americas,Latin America and the Caribbean,Trinidad and Tobago,High Income,2.0959328950266665,Business,Financing Incentives
solomon-islands,Oceania,Melanesia,Solomon Islands,Lower Middle Income,4.5536387777777785,Business,
solomon-islands,Oceania,Melanesia,Solomon Islands,Lower Middle Income,,Business,Financing Incentives
solomon-islands,Oceania,Melanesia,Solomon Islands,Lower Middle Income,,Business,Impact commitments
argentina,Americas,Latin America and the Caribbean,Argentina,Upper Middle Income,,Business,Impact commitments
argentina,Americas,Latin America and the Caribbean,Argentina,Upper Middle Income,2.1046251049350007,Business,Financing Incentives
argentina,Americas,Latin America and the Caribbean,Argentina,Upper Middle Income,2.822214866547871,Business,
philippines,Asia,South-eastern Asia,Philippines (the),Lower Middle Income,3.076116372223816,Business,Startup Environment
comoros,Africa,Sub-Saharan Africa,Comoros (the),Low income,,Business,Financing Incentives
comoros,Africa,Sub-Saharan Africa,Comoros (the),Low income,,Business,Impact commitments
comoros,Africa,Sub-Saharan Africa,Comoros (the),Low income,3.372532761904761,Business,Startup Environment
comoros,Africa,Sub-Saharan Africa,Comoros (the),Low income,1.5988000000000004,Business,Technology Adoption
sri-lanka,Asia,Southern Asia,Sri Lanka,Lower Middle Income,3.050102193338037,Business,
venezuela,Americas,Latin America and the Caribbean,Venezuela (Bolivarian Republic of),,2.083318083333332,Business,Startup Environment
venezuela,Americas,Latin America and the Caribbean,Venezuela (Bolivarian Republic of),,,Business,Impact commitments
venezuela,Americas,Latin America and the Caribbean,Venezuela (Bolivarian Republic of),,1.8855493669699992,Business,Financing Incentives
solomon-islands,Oceania,Melanesia,Solomon Islands,Lower Middle Income,4.5536387777777785,Business,Startup Environment
venezuela,Americas,Latin America and the Caribbean,Venezuela (Bolivarian Republic of),,2.825342,Business,Technology Adoption
sri-lanka,Asia,Southern Asia,Sri Lanka,Lower Middle Income,2.9205311052700007,Business,Financing Incentives
sri-lanka,Asia,Southern Asia,Sri Lanka,Lower Middle Income,,Business,Impact commitments
sri-lanka,Asia,Southern Asia,Sri Lanka,Lower Middle Income,3.50543107474411,Business,Startup Environment
sri-lanka,Asia,Southern Asia,Sri Lanka,Lower Middle Income,2.724344400000001,Business,Technology Adoption
philippines,Asia,South-eastern Asia,Philippines (the),Lower Middle Income,3.228421751971272,Business,
philippines,Asia,South-eastern Asia,Philippines (the),Lower Middle Income,3.1286198836900003,Business,Financing Incentives
philippines,Asia,South-eastern Asia,Philippines (the),Lower Middle Income,,Business,Impact commitments
philippines,Asia,South-eastern Asia,Philippines (the),Lower Middle Income,3.4805290000000007,Business,Technology Adoption
venezuela,Americas,Latin America and the Caribbean,Venezuela (Bolivarian Republic of),,2.264736483434444,Business,
comoros,Africa,Sub-Saharan Africa,Comoros (the),Low income,2.485666380952381,Business,
solomon-islands,Oceania,Melanesia,Solomon Islands,Lower Middle Income,,Business,Technology Adoption
ghana,Africa,Sub-Saharan Africa,Ghana,Lower Middle Income,2.6113707999999995,Business,Technology Adoption
cameroon,Africa,Sub-Saharan Africa,Cameroon,Lower Middle Income,,Business,Impact commitments
cameroon,Africa,Sub-Saharan Africa,Cameroon,Lower Middle Income,3.5035657811615963,Business,Startup Environment
cameroon,Africa,Sub-Saharan Africa,Cameroon,Lower Middle Income,2.5422094000000013,Business,Technology Adoption
cameroon,Africa,Sub-Saharan Africa,Cameroon,Lower Middle Income,2.809708876811644,Business,
djibouti,Africa,Sub-Saharan Africa,Djibouti,Lower Middle Income,3.1860317301587298,Business,
djibouti,Africa,Sub-Saharan Africa,Djibouti,Lower Middle Income,2.38223,Business,Technology Adoption
djibouti,Africa,Sub-Saharan Africa,Djibouti,Lower Middle Income,3.98983346031746,Business,Startup Environment
djibouti,Africa,Sub-Saharan Africa,Djibouti,Lower Middle Income,,Business,Impact commitments
djibouti,Africa,Sub-Saharan Africa,Djibouti,Lower Middle Income,,Business,Financing Incentives
france,Europe,Western Europe,France,High Income,3.6805465740116654,Business,Financing Incentives
france,Europe,Western Europe,France,High Income,,Business,Impact commitments
france,Europe,Western Europe,France,High Income,4.326580843040581,Business,Startup Environment
france,Europe,Western Europe,France,High Income,4.037625629444444,Business,Technology Adoption
france,Europe,Western Europe,France,High Income,4.014917682165563,Business,
kiribati,Oceania,Micronesia,Kiribati,Lower Middle Income,,Business,Technology Adoption
kiribati,Oceania,Micronesia,Kiribati,Lower Middle Income,2.691851381936606,Business,
kiribati,Oceania,Micronesia,Kiribati,Lower Middle Income,,Business,Financing Incentives
cameroon,Africa,Sub-Saharan Africa,Cameroon,Lower Middle Income,2.383351449273333,Business,Financing Incentives
antigua-and-barbuda,Americas,Latin America and the Caribbean,Antigua and Barbuda,High Income,3.2715721306238,Business,
antigua-and-barbuda,Americas,Latin America and the Caribbean,Antigua and Barbuda,High Income,,Business,Financing Incentives
antigua-and-barbuda,Americas,Latin America and the Caribbean,Antigua and Barbuda,High Income,,Business,Impact commitments
ghana,Africa,Sub-Saharan Africa,Ghana,Lower Middle Income,3.80076435087224,Business,Startup Environment
ghana,Africa,Sub-Saharan Africa,Ghana,Lower Middle Income,,Business,Impact commitments
ghana,Africa,Sub-Saharan Africa,Ghana,Lower Middle Income,2.5278233298000004,Business,Financing Incentives
trinidad-and-tobago,Americas,Latin America and the Caribbean,Trinidad and Tobago,High Income,,Business,Impact commitments
trinidad-and-tobago,Americas,Latin America and the Caribbean,Trinidad and Tobago,High Income,3.955390516686056,Business,Startup Environment
montenegro,Europe,Southern Europe,Montenegro,Upper Middle Income,3.0409100000000007,Business,Technology Adoption
montenegro,Europe,Southern Europe,Montenegro,Upper Middle Income,3.619571597471174,Business,
montenegro,Europe,Southern Europe,Montenegro,Upper Middle Income,4.573219242348523,Business,Startup Environment
ghana,Africa,Sub-Saharan Africa,Ghana,Lower Middle Income,2.97998616022408,Business,
montenegro,Europe,Southern Europe,Montenegro,Upper Middle Income,,Business,Impact commitments
antigua-and-barbuda,Americas,Latin America and the Caribbean,Antigua and Barbuda,High Income,,Business,Technology Adoption
antigua-and-barbuda,Americas,Latin America and the Caribbean,Antigua and Barbuda,High Income,3.2715721306238,Business,Startup Environment
ethiopia,Africa,Sub-Saharan Africa,Ethiopia,Low Income,2.576164618501779,Business,
ethiopia,Africa,Sub-Saharan Africa,Ethiopia,Low Income,2.3110726,Business,Technology Adoption
ethiopia,Africa,Sub-Saharan Africa,Ethiopia,Low Income,2.50896509860867,Business,Startup Environment
ethiopia,Africa,Sub-Saharan Africa,Ethiopia,Low Income,,Business,Impact commitments
ethiopia,Africa,Sub-Saharan Africa,Ethiopia,Low Income,2.908456156896667,Business,Financing Incentives
trinidad-and-tobago,Americas,Latin America and the Caribbean,Trinidad and Tobago,High Income,2.8862199999999985,Business,Technology Adoption
montenegro,Europe,Southern Europe,Montenegro,Upper Middle Income,3.2445855500649987,Business,Financing Incentives
lithuania,Europe,Northern Europe,Lithuania,High Income,3.581621112150566,Business,
lithuania,Europe,Northern Europe,Lithuania,High Income,2.874455273273333,Business,Financing Incentives
greece,Europe,Southern Europe,Greece,High Income,2.063977319256666,Business,Financing Incentives
cuba,Americas,Latin America and the Caribbean,Cuba,Upper Middle Income,,Business,Startup Environment
cuba,Americas,Latin America and the Caribbean,Cuba,Upper Middle Income,,Business,Impact commitments
cuba,Americas,Latin America and the Caribbean,Cuba,Upper Middle Income,,Business,Financing Incentives
cuba,Americas,Latin America and the Caribbean,Cuba,Upper Middle Income,,Business,
israel,Asia,Western Asia,Israel,High Income,4.5102654000000015,Business,Technology Adoption
israel,Asia,Western Asia,Israel,High Income,4.483957540241667,Business,Startup Environment
israel,Asia,Western Asia,Israel,High Income,,Business,Impact commitments
israel,Asia,Western Asia,Israel,High Income,4.480995680086665,Business,Financing Incentives
israel,Asia,Western Asia,Israel,High Income,4.491739540109445,Business,
nigeria,Africa,Sub-Saharan Africa,Nigeria,Lower Middle Income,2.8558284742378337,Business,
south-korea,Asia,Eastern Asia,Republic of Korea (the),High income,4.037246333333325,Business,Technology Adoption
south-korea,Asia,Eastern Asia,Republic of Korea (the),High income,4.5412773785217055,Business,Startup Environment
south-korea,Asia,Eastern Asia,Republic of Korea (the),High income,,Business,Impact commitments
south-korea,Asia,Eastern Asia,Republic of Korea (the),High income,3.0209500557216686,Business,Financing Incentives
south-korea,Asia,Eastern Asia,Republic of Korea (the),High income,3.8664912558589,Business,
