Question,Pillar,Sub-Pillar,1,2,3,0
Has the COVID-19 pandemic impacted your organization's adoption of digital?,Strategy,Ambition,Slowed,No,Accelerated,I don’t know
Does a national digital payments system exist?,Foundations,Digital Payments,No,Limited (delivered by private sector),Yes (government supported),I don't know
Does a national digital legal identity system exist?,Foundations,Digital Legal Identity,No,Limited (e.g. only for elections; or CRVS),Yes,I don't know
Does a national data sharing system exist?,Foundations,Data Exchange,No,Limited (e.g. not completely open),Yes,I don't know
Where does digital rank as a national priority given all other needs?,Strategy,Ambition,Low,Medium,High,I don't know
How bold is the country leadership willing to be in digital transformation?,Strategy,Ambition,Not,Somewhat,Very,I don't know
Are there incentives to attract foreign digitally-skilled workers?,Infrastructure,Innovation Ecosystem,No,Some,Many,I don't know
Are there mechanisms to connect digitally-skilled diaspora to local efforts?,Infrastructure,Innovation Ecosystem,No,Some,Many,I don't know
Are local universities graduating the experts on digital needed in your country? What percentage of need do you think is being met?,Infrastructure,Innovation Ecosystem,Small,Medium,High,null
Where is access to broadband internet available?,Infrastructure,Connectivity technology,Only the capital city,Only major cities,Widely available,I don't know
Do you have wifi internet at home?,People,Usage and Ownership,No,"Yes, but data runs out","Yes, with lots of data",I don't know
Do you have wifi internet at the office?,Business,Technology adoption,No,"Yes, but data runs out","Yes, with lots of data",I don't know
Do you have internet on your phone?,People,Usage and Ownership,No,"Yes, but data runs out","Yes, with lots of data",I don't know
How difficult is it for a postal package to reach its destination throughout the country?,Infrastructure,Connectivity technology,Very,Medium,Not,I don't know
Are government website analytics measured and used?,Government,Digital public services,No,Some,Yes,I don't know
Is the source code for government software apps and/or websites available to staff to modify?,Government,Digital public services,No,"Yes, on office computers","Yes, in the Cloud",I don't know
Does the government own any software apps and/or websites that it pays for?,Government,Digital public services,No,Some,All,I don't know
Are data sets available in digital formats?,Government,Digital public services,No,"Yes, e.g. as spreadsheets","Yes, via APIs",I don't know
Is the data collected from projects open and available to the public for use?,Government,Digital public services,No,Offline (paper),Online,I don't know
Does the government have any data security and privacy standards in place?,Government,Digital public services,No,Limited,"Thorough (password policy, etc.)",I don't know
Has the government completed a data security threat analysis?,Government,Digital public services,No,"Yes, but security measures have not yet been implemented","Yes, and security measures have been implemented",I don't know
What impact do procurement standards have on digital work?,Government,Funding and procurement,A barrier,Limited impact,An enabler,I don't know
Do digital programmes get ongoing funding beyond the programme's initial lifecycle?,Government,Funding and procurement,Rarely,Sometimes,Often,I don't know
Is there an intention for citizens to be directly involved in participatory policy decisions?,Government,Leadership and coordination,No,Limited,Yes,I don't know
Is there support in senior levels of government in pursuing digital transformation?,Government,Leadership and coordination,No,Some,"Yes, with dedicated staff",I don't know
Do digital services have political support within the government?,Government,Leadership and coordination,No,Some,Yes,I don't know
Is staff recruitment done with a specific focus on inclusivity?,Government,Capabilities,No,Somewhat,Often,I don't know
How fast can citizens get access to government data?,Government,Monitoring,They cannot,Less than 1 year,Less than 1 month,I don't know
