Pillar,Sub-Pillar,Score
Foundations,Digital Payments,2.4
Foundations,Digital Legal Identity,6.0
Foundations,Data Exchange,
Infrastructure,Connectivity technology,4.4
Infrastructure,Innovation Ecosystem,
Government,Digital public services,4.6
Government,Funding and procurement,
Government,Leadership and coordination,
Government,Monitoring,
Government,Capabilities,
Regulation,Data Standards and Protection,
Regulation,E-Commerce,
Regulation,Fair Market Competition,
Regulation,Cybersecurity,
Regulation,Ethical standards,
Business,Technology adoption,4.1
Business,Financing Incentives,2.5
Business,Impact Commitments,
Business,Startup Environment,3.1
People,Digital Literacy Skills,3.8
People,Culture,4.9
People,Digital Wellbeing,4.0
People,Usage and Ownership,3.7
