Pillar,Sub-Pillar,Score
Foundations,Digital Payments,
Foundations,Digital Legal Identity,
Foundations,Data Exchange,
Infrastructure,Connectivity technology,4.9
Infrastructure,Innovation Ecosystem,
Government,Digital public services,
Government,Funding and procurement,
Government,Leadership and coordination,
Government,Monitoring,
Government,Capabilities,
Regulation,Data Standards and Protection,
Regulation,E-Commerce,
Regulation,Fair Market Competition,
Regulation,Cybersecurity,
Regulation,Ethical standards,
Business,Technology adoption,
Business,Financing Incentives,
Business,Impact Commitments,
Business,Startup Environment,
People,Digital Literacy Skills,4.4
People,Culture,5.1
People,Digital Wellbeing,
People,Usage and Ownership,4.7
