Pillar,Sub-Pillar,Score
Foundations,Digital Payments,
Foundations,Digital Legal Identity,5.5
Foundations,Data Exchange,
Infrastructure,Connectivity technology,2.7
Infrastructure,Innovation Ecosystem,
Government,Digital public services,2.6
Government,Funding and procurement,
Government,Leadership and coordination,
Government,Monitoring,
Government,Capabilities,
Regulation,Data Standards and Protection,
Regulation,E-Commerce,
Regulation,Fair Market Competition,
Regulation,Cybersecurity,
Regulation,Ethical standards,
Business,Technology adoption,4.0
Business,Financing Incentives,
Business,Impact Commitments,
Business,Startup Environment,4.3
People,Digital Literacy Skills,3.5
People,Culture,1.0
People,Digital Wellbeing,
People,Usage and Ownership,3.5
