"Data Source","World Development Indicators",

"Last Updated Date","2021-07-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.6603980031457","100","100","100","100","100","100","100","100","100","93.3562921509542","100","100","100","100","100","100","100","100","100","",
"Africa Eastern and Southern","AFE","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.0860066130196","23.1031784776438","24.2234301519858","25.0231841252266","26.1763357723345","23.621498439778","27.2994330458403","28.737952342644","28.813735402838","27.4830612476805","28.2333728874701","28.3818359876251","32.2240274434276","32.0464780952398","31.3235788003652","33.3121631315881","38.3804331871331","39.754201347135","42.1682410699846","43.6406611120552","",
"Afghanistan","AFG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.2952690124512","28.0999622344971","33.9016036987305","42.4","45.5206832885742","42.7","43.2220189082037","69.1","68.9829406738281","89.5","71.5","97.7","97.7","98.7156219482422","97.7","",
"Africa Western and Central","AFW","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.1973345504354","32.6765621206056","33.6551556722647","32.7176326722364","32.4970678333644","33.3717341625162","34.9963280988101","34.6580113476023","35.6643106020937","36.4035502278737","40.673975201312","37.7579126977348","38.0079086887609","39.8607062598482","40.7442321909514","41.686698722812","41.8657125835744","41.7308811629004","45.9012986272586","44.1303538860375","47.0181626522631","47.7454989877597","46.7522790760429","50.9489385807558","48.8482047633884","51.2532526128876","51.3414214713772","",
"Angola","AGO","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","26.3838691711426","27.4656352996826","28.5367603302002","29.5962238311768","30.6465549468994","37.5","38.49","33.8041839599609","34.8797264099121","34.6","37.1010246276855","38.2489929199219","32","42","41.7973785400391","43.0016098022461","45.29","45.6703147888184","",
"Albania","ALB","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","99.9","100","99.95","99.98","99.89","99.89","100","100","",
"Andorra","AND","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Arab World","ARB","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.2978483584061","78.3027791461947","78.9808609992548","78.8724757376533","79.5591388332436","77.5119768489519","78.7574168724285","79.0969038291945","79.9916918960317","84.2563358030002","82.2906727516646","84.6505655653881","84.0921688805625","86.0650715872302","86.3386281134869","86.0990224737519","88.1011389008569","87.2016287837312","87.9354789481169","88.5042612467324","89.6234267079849","88.3063244334055","89.5122823188562","",
"United Arab Emirates","ARE","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Argentina","ARG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.4453659057617","95.5110634674458","96.0472869873047","96.3346328735352","96.6113433837891","96.8763885498047","97.1323013305664","97.3851699829102","97.6412200927734","97.9066848754883","98.82","99.0802001953125","99.2288589477539","99.3562240600586","100","99.8116836547852","99.9560165405273","100","100","100","",
"Armenia","ARM","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.9","100","98","99.2257995605469","99.2409362792969","99.8","99.2387390136719","99.2300262451172","99.2245025634766","99.2283935546875","99.8","99.6043548583984","99.6170349121094","99.42","99.71","100","99.8","99.7","99.9","100","",
"American Samoa","ASM","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.4557800292969","97.6011047363281","100","97.8656997680664","97.9826278686523","92.2","100","100","100","98.4790573120117","98.6004028320313","94.5520140336941","100","100","100","100","100","100","99.9997253417969","100","",
"Australia","AUS","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Austria","AUT","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
