Country,"Bank assets, percent of GDP, 2017"
1. Hong Kong,256.63
2. China,174.54
3. Denmark,172.28
4. New Zealand,157.73
5. Japan,157.51
6. Lebanon,157.18
7. Singapore,151.67
8. Qatar,149.95
9. South Korea,141.52
10. Australia,140.47
11. Thailand,138.96
12. Vietnam,137.43
13. Sweden,135.27
14. Norway,134.37
15. Malaysia,131.91
16. UK,131.7
17. Spain,129.89
18. Portugal,125.85
19. Netherlands,123.33
20. Mauritius,121.75
21. Italy,118.1
22. Jordan,113.97
23. France,112.95
24. Greece,112.26
25. San Marino,110.9
26. UA Emirates,109.65
27. Luxembourg,109.09
28. Kuwait,108.57
29. Macao,108.2
30. Barbados,106.1
31. Brazil,105.26
32. Finland,100.34
33. Austria,97.14
34. Malta,92.55
35. Iceland,92.05
36. Germany,91.07
37. Tunisia,90
38. Egypt,89.26
39. Oman,88.57
40. Nepal,85.42
41. Morocco,84.1
42. Croatia,82.69
43. Panama,81.4
44. Chile,81.11
45. Belgium,80.91
46. Cambodia,80.17
47. Saint Lucia,79.43
48. South Africa,77.97
49. Fiji,77.03
50. Turkey,72.94
51. Israel,72.69
52. Aruba,72.35
53. Bahamas,70.71
54. Poland,70.11
55. Slovakia,68.45
56. India,68.35
57. Estonia,67.42
58. Vanuatu,67.02
59. Costa Rica,66.89
60. Sri Lanka,66.09
61. Saudi Arabia,65.46
62. USA,62.45
63. Czechia,61.28
64. Belize,61.12
65. Bosnia & Herz.,60.93
66. Bulgaria,60.86
67. Georgia,60.81
68. Honduras,60.8
69. Mongolia,60.6
70. Ant.& Barb.,60.53
71. Namibia,60
72. Slovenia,58.99
73. Montenegro,58.98
74. Tr.&Tobago,58.51
75. Philippines,58.33
76. Algeria,58.27
77. Russia,58.08
78. Bangladesh,57.37
79. St. Vincent & ...,57.23
80. Dominica,57.06
81. Albania,56.78
82. Bolivia,55.92
83. Bhutan,55.72
84. Grenada,54.94
85. Colombia,54.41
86. Hungary,54.3
87. Togo,53.94
88. Armenia,53.87
89. North Macedonia,53.54
90. Palestine,53.12
91. El Salvador,51.88
92. Ireland,50.8
93. Seychelles,48.58
94. Samoa,47.82
95. Latvia,46.93
96. Ukraine,46.43
97. Belarus,45.89
98. Guyana,45.58
99. Libya,45.12
100. Tonga,44.68
101. Lithuania,44.63
102. Maldives,44.63
103. Pakistan,44.58
104. Mozambique,44.03
105. Brunei,43.42
106. Kenya,42.88
107. Peru,41.52
108. Burma,41.47
109. Mexico,41.26
110. Guatemala,40.84
111. Paraguay,40.78
112. Suriname,39.76
113. Nicaragua,39.07
114. Indonesia,38.08
115. Romania,36.68
116. Senegal,36.33
117. Burkina Faso,36.22
118. Papua N.G.,34.36
119. Benin,34.15
120. Mali,33.42
121. Botswana,33.24
122. Angola,32.79
123. Ivory Coast,32.61
124. Djibouti,32.09
125. Ecuador,31.58
126. Domin. Rep.,31.14
127. Kazakhstan,30.1
128. Uruguay,30.04
129. Comoros,28.04
130. Azerbaijan,27.92
131. R. of Congo,27.72
132. Gambia,26.73
133. S.T.&Principe,26.17
134. Zimbabwe,25.63
135. Ghana,25.54
136. Burundi,24.85
137. Moldova,24.49
138. Rwanda,24.48
139. Swaziland,24.43
140. Solomon Isl.,22.62
141. Iraq,22.03
142. Kyrgyzstan,21.98
143. Niger,21.5
144. Argentina,20.79
145. Haiti,19.53
146. Nigeria,19.25
147. Gabon,19.16
148. Uganda,19.09
149. Lesotho,19.03
150. Cameroon,18.77
151. Tanzania,18.5
152. Cyprus,18.32
153. Zambia,17.43
154. Eq. Guinea,17.09
155. Madagascar,17.01
156. G.-Bissau,16.49
157. Chad,15.3
158. Sierra Leone,15.06
159. C.A. Republic,14.26
160. Sudan,11.86
161. Afghanistan,3.43
162. Mauritania,3.17
