Country,Score,Rank,On-chain value received (Rank),On-chain retail value received (Rank),P2P exchange trade volume (Rank)
Vietnam,1,1,4,2,3
India,0.37,2,2,3,72
Pakistan,0.36,3,11,12,8
Ukraine,0.29,4,6,5,40
Kenya,0.28,5,41,28,1
Nigeria,0.26,6,15,10,18
Venezuela,0.25,7,29,22,6
United States,0.22,8,3,4,109
Togo,0.19,9,47,42,2
Argentina,0.19,10,14,17,33
Colombia,0.19,11,27,23,12
Thailand,0.17,12,7,11,76
China,0.16,13,1,1,155
Brazil,0.16,14,5,7,113
Philippines,0.16,15,10,9,80
South Africa,0.14,16,18,16,62
Ghana,0.14,17,32,37,10
Russian Federation,0.14,18,8,6,122
Tanzania,0.13,19,60,45,4
Afghanistan,0.13,20,53,38,7
United Kingdom,0.13,21,12,15,94
Peru,0.11,22,39,39,23
Malaysia,0.1,23,38,33,28
Morocco,0.1,24,34,35,35
Indonesia,0.1,25,16,14,111
Turkey,0.1,26,9,8,147
Cameroon,0.09,27,86,60,5
Bulgaria,0.09,28,46,41,30
Bangladesh,0.09,29,40,30,54
Nepal,0.09,30,42,46,26
Canada,0.09,31,19,20,103
"Congo, The Democratic Republic of the",0.08,32,69,31,31
Belarus,0.08,33,36,40,52
France,0.08,34,17,18,123
Ecuador,0.07,35,59,59,21
Benin,0.07,36,76,75,11
Mozambique,0.07,37,35,62,45
Australia,0.07,38,30,32,98
Hong Kong,0.07,39,37,48,61
"Korea, Republic of",0.07,40,13,13,153
Poland,0.07,41,22,25,126
Cambodia,0.07,42,62,53,29
Zambia,0.06,43,66,77,17
Mexico,0.06,44,23,21,133
Algeria,0.06,45,48,36,77
Netherlands,0.06,46,26,29,115
Chile,0.06,47,54,55,43
Spain,0.06,48,25,27,125
Germany,0.06,49,20,24,143
"Moldova, Republic of",0.06,50,57,61,48
Dominican Republic,0.05,51,81,76,25
"Bolivia, Plurinational State of",0.05,52,63,83,27
Sri Lanka,0.05,53,74,80,32
Côte d'Ivoire,0.05,54,50,50,73
"Iran, Islamic Republic of",0.05,55,33,19,141
Georgia,0.05,56,79,66,38
Portugal,0.05,57,45,47,89
Honduras,0.05,58,24,96,78
Egypt,0.05,59,49,43,97
Czechia,0.05,60,44,44,106
Zimbabwe,0.04,61,113,87,9
Serbia,0.04,62,65,51,70
Tunisia,0.04,63,90,68,44
Romania,0.04,64,58,49,83
Uganda,0.04,65,99,81,34
Madagascar,0.04,66,97,64,50
Slovakia,0.04,67,51,54,86
Lebanon,0.04,68,21,109,95
Rwanda,0.04,69,106,110,13
Kyrgyzstan,0.04,70,55,57,92
Belgium,0.04,71,56,52,100
Switzerland,0.04,72,43,56,112
Sweden,0.04,73,78,73,66
Latvia,0.04,74,92,82,56
Costa Rica,0.04,75,85,106,36
Mauritius,0.04,76,103,115,16
Estonia,0.03,77,100,92,46
Laos,0.03,78,93,91,53
Italy,0.03,79,31,34,151
Singapore,0.03,80,73,74,79
Jamaica,0.03,81,110,111,15
Japan,0.03,82,28,26,158
Guatemala,0.03,83,94,85,64
Panama,0.03,84,102,102,47
Croatia,0.03,85,77,67,96
