Country or Area,Category,Demographic,% of population
Aruba,Age,18-19 years old,3.49219587751698e-02
Afghanistan,Age,18-19 years old,8.96005313832036e-02
Angola,Age,18-19 years old,8.58921819960493e-02
Albania,Age,18-19 years old,3.71711356508633e-02
United Arab Emirates (the),Age,18-19 years old,2.07090817069799e-02
Argentina,Age,18-19 years old,4.39557223856805e-02
Armenia,Age,18-19 years old,2.96219243634618e-02
Antigua and Barbuda,Age,18-19 years old,3.98949768534513e-02
Australia,Age,18-19 years old,3.08443896884356e-02
Austria,Age,18-19 years old,2.49908895360275e-02
Azerbaijan,Age,18-19 years old,3.48708298451249e-02
Burundi,Age,18-19 years old,7.97185522434225e-02
Belgium,Age,18-19 years old,2.76223088637054e-02
Benin,Age,18-19 years old,7.92161653204699e-02
Burkina Faso,Age,18-19 years old,8.56898007281684e-02
Bangladesh,Age,18-19 years old,5.60735816949087e-02
Bulgaria,Age,18-19 years old,2.09302727160621e-02
Bahrain,Age,18-19 years old,2.54013988590186e-02
Bahamas (the),Age,18-19 years old,4.54205633354331e-02
Bosnia and Herzegovina,Age,18-19 years old,2.5722311840857e-02
Belarus,Age,18-19 years old,2.26730481013624e-02
Belize,Age,18-19 years old,6.22817364851232e-02
Bolivia (Plurinational State of),Age,18-19 years old,6.01471323193476e-02
Brazil,Age,18-19 years old,4.17711441510381e-02
Barbados,Age,18-19 years old,3.35008228195282e-02
Brunei Darussalam,Age,18-19 years old,4.31759490267435e-02
Bhutan,Age,18-19 years old,5.27288876336014e-02
Botswana,Age,18-19 years old,6.11938626161614e-02
Central African Republic (the),Age,18-19 years old,9.64056024586391e-02
Canada,Age,18-19 years old,2.68460936757325e-02
Switzerland,Age,18-19 years old,2.46325497451316e-02
Chile,Age,18-19 years old,3.45681605339069e-02
China,Age,18-19 years old,2.91576817261585e-02
"C̫te d'Ivoire",Age,18-19 years old,8.23404521611488e-02
Cameroon,Age,18-19 years old,7.98123117871571e-02
Democratic Republic of the Congo (the),Age,18-19 years old,8.34687091179575e-02
Congo (the),Age,18-19 years old,7.50116932725456e-02
Colombia,Age,18-19 years old,4.67463520886883e-02
Comoros (the),Age,18-19 years old,0.07262610979354
Cabo Verde,Age,18-19 years old,5.16419112262792e-02
Costa Rica,Age,18-19 years old,3.89248530631123e-02
Cuba,Age,18-19 years old,2.88970793672664e-02
Cura̤ao,Age,18-19 years old,3.38935200796757e-02
Cyprus,Age,18-19 years old,3.26508867521478e-02
Czechia,Age,18-19 years old,2.13600037613514e-02
Germany,Age,18-19 years old,2.43764000406082e-02
Djibouti,Age,18-19 years old,5.6336919808111e-02
Denmark,Age,18-19 years old,2.96718368295309e-02
Dominican Republic (the),Age,18-19 years old,5.22726010785644e-02
Algeria,Age,18-19 years old,3.91291020867244e-02
Ecuador,Age,18-19 years old,5.27964130469104e-02
Egypt,Age,18-19 years old,5.49432888329088e-02
Eritrea,Age,18-19 years old,7.32377246842903e-02
Western Sahara,Age,18-19 years old,4.7956158874797e-02
Spain,Age,18-19 years old,2.27155500563363e-02
Estonia,Age,18-19 years old,2.18765292097185e-02
Ethiopia,Age,18-19 years old,8.29821659066923e-02
Finland,Age,18-19 years old,2.64151995396782e-02
Fiji,Age,18-19 years old,4.98162854095058e-02
France,Age,18-19 years old,2.98151898699696e-02
Micronesia (Federated States of),Age,18-19 years old,6.35948526359485e-02
Gabon,Age,18-19 years old,5.82241140259746e-02
United Kingdom of Great Britain and Northern Ireland (the),Age,18-19 years old,2.77022883871468e-02
Georgia,Age,18-19 years old,2.82121027285531e-02
Ghana,Age,18-19 years old,6.92163882275152e-02
Guinea,Age,18-19 years old,8.88429827775742e-02
Guadeloupe,Age,18-19 years old,3.8652259306554e-02
Gambia (the),Age,18-19 years old,0.08252529854583
Guinea-Bissau,Age,18-19 years old,7.80288607455233e-02
Equatorial Guinea,Age,18-19 years old,5.96270302984175e-02
Greece,Age,18-19 years old,2.41224953406374e-02
Grenada,Age,18-19 years old,3.73136164558831e-02
Guatemala,Age,18-19 years old,7.15558526792963e-02
French Guiana,Age,18-19 years old,6.0243681098874e-02
Guam,Age,18-19 years old,4.64775846294602e-02
Guyana,Age,18-19 years old,5.83229991414671e-02
"China, Hong Kong Special Administrative Region",Age,18-19 years old,1.76993351311555e-02
Honduras,Age,18-19 years old,6.66613338922081e-02
Croatia,Age,18-19 years old,2.39325303847014e-02
Haiti,Age,18-19 years old,6.41399741565878e-02
Hungary,Age,18-19 years old,2.44739607005718e-02
Indonesia,Age,18-19 years old,4.94494018934977e-02
India,Age,18-19 years old,5.31458398700703e-02
Ireland,Age,18-19 years old,3.24216612806303e-02
Iran (Islamic Republic of),Age,18-19 years old,3.61379288447985e-02
Iraq,Age,18-19 years old,7.18877379996795e-02
Iceland,Age,18-19 years old,3.24794546169379e-02
Israel,Age,18-19 years old,4.46353673039038e-02
Italy,Age,18-19 years old,2.2648812863448e-02
Jamaica,Age,18-19 years old,4.63269361150513e-02
Jordan,Age,18-19 years old,6.48785595967473e-02
Japan,Age,18-19 years old,2.15246321524063e-02
Kazakhstan,Age,18-19 years old,3.28928846321703e-02
Kenya,Age,18-19 years old,7.88269149201059e-02
Kyrgyzstan,Age,18-19 years old,4.79261800740869e-02
Cambodia,Age,18-19 years old,5.4329102694328e-02
Kiribati,Age,18-19 years old,5.6522481016978e-02
Republic of Korea (the),Age,18-19 years old,2.4424534168092e-02
Kuwait,Age,18-19 years old,2.59396738450312e-02
"Lao People's Democratic Republic (the)",Age,18-19 years old,6.18360805962057e-02
Lebanon,Age,18-19 years old,4.88810181231367e-02
Liberia,Age,18-19 years old,7.88192847662311e-02
Libya,Age,18-19 years old,4.7556563289735e-02
Saint Lucia,Age,18-19 years old,3.91451115785942e-02
Sri Lanka,Age,18-19 years old,4.23615371234611e-02
Lesotho,Age,18-19 years old,6.52997108119975e-02
Lithuania,Age,18-19 years old,2.22092275462995e-02
Luxembourg,Age,18-19 years old,2.8163779032036e-02
