Origin,Applications - 2018,Applications -  2019,Designs - 2018,Designs - 2019
Germany,713,772,"3,964","4,487"
Republic of Korea,922,"1,176","1,545","2,736"
Switzerland,648,601,"2,453","2,178"
Italy,324,412,"1,261","1,994"
Netherlands,179,181,"1,352","1,376"
United States of America,369,410,"1,665","1,351"
France,466,467,"1,437","1,298"
Japan,401,397,"1,259","1,152"
China,139,239,315,663
United Kingdom,136,182,372,548
Sweden,107,100,340,434
Denmark,86,98,274,433
Cyprus,19,33,269,408
Turkey,111,91,480,402
Spain,85,81,180,248
Luxembourg,31,41,118,170
Austria,45,48,203,165
Czech Republic,27,19,202,131
Liechtenstein,8,19,45,129
Ukraine,41,38,73,128
Norway,68,43,170,119
Russian Federation,32,36,107,109
Belgium,80,47,174,107
Poland,106,51,204,106
Tunisia,0,2,0,88
Canada,11,37,17,87
Bosnia and Herzegovina,9,8,44,77
Hungary,4,11,6,71
Portugal,13,24,105,55
Morocco,0,4,0,53
Croatia,18,17,50,51
Slovenia,29,32,54,51
Finland,26,25,71,46
Bulgaria,14,11,39,45
Slovakia,4,3,14,43
Serbia,23,19,64,39
Singapore,20,16,33,33
Ireland,7,9,28,21
Republic of Moldova,2,8,2,18
Lithuania,3,7,3,16
United Arab Emirates,1,3,1,15
South Africa,2,3,2,13
Viet Nam,0,2,0,10
Greece,10,6,410,9
Monaco,6,1,60,8
Romania,6,5,13,8
Armenia,3,4,19,7
North Macedonia,1,6,1,7
Australia,4,4,4,6
Estonia,5,6,13,6
Iceland,0,4,0,4
Israel,1,2,1,4
India,1,2,1,3
Latvia,6,1,19,3
Cameroon,0,1,0,2
Iran (Islamic Republic of),0,1,0,2
New Zealand,4,2,4,2
Dominican Republic,0,1,0,1
Georgia,3,1,15,1
Kazakhstan,0,1,0,1
Lebanon,1,1,3,1
Maldives,0,1,0,1
Oman,1,1,1,1
Saudi Arabia,0,1,0,1
Syrian Arab Republic,0,1,0,1
Albania,1,0,1,0
Bahamas,1,0,19,0
Curaçao,1,0,1,0
Egypt,2,0,2,0
Malaysia,8,0,8,0
Malta,2,0,2,0
Seychelles,1,0,9,0
Turkmenistan,1,0,1,0
Unknown,51,10,152,24
