Country Name,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
Australia,ICTINVST,TOT,PC,A,1985,12.465454
Australia,ICTINVST,TOT,PC,A,1986,13.939533
Australia,ICTINVST,TOT,PC,A,1987,14.142429
Australia,ICTINVST,TOT,PC,A,1988,14.289993
Australia,ICTINVST,TOT,PC,A,1989,15.348707
Australia,ICTINVST,TOT,PC,A,1990,16.228269
Australia,ICTINVST,TOT,PC,A,1991,18.062364
Australia,ICTINVST,TOT,PC,A,1992,19.526671
Australia,ICTINVST,TOT,PC,A,1993,18.946108
Australia,ICTINVST,TOT,PC,A,1994,18.224922
Australia,ICTINVST,TOT,PC,A,1995,18.470776
Australia,ICTINVST,TOT,PC,A,1996,19.233406
Australia,ICTINVST,TOT,PC,A,1997,20.449564
Australia,ICTINVST,TOT,PC,A,1998,20.235343
Australia,ICTINVST,TOT,PC,A,1999,21.519748
Australia,ICTINVST,TOT,PC,A,2000,24.015504
Australia,ICTINVST,TOT,PC,A,2001,22.541776
Australia,ICTINVST,TOT,PC,A,2002,19.887427
Australia,ICTINVST,TOT,PC,A,2003,19.657245
Australia,ICTINVST,TOT,PC,A,2004,17.300954
Australia,ICTINVST,TOT,PC,A,2005,15.337182
Australia,ICTINVST,TOT,PC,A,2006,14.635374
Australia,ICTINVST,TOT,PC,A,2007,14.21203
Australia,ICTINVST,TOT,PC,A,2008,13.785639
Austria,ICTINVST,TOT,PC,A,1985,9.1695171
Austria,ICTINVST,TOT,PC,A,1986,8.8719093
Austria,ICTINVST,TOT,PC,A,1987,8.6311634
Austria,ICTINVST,TOT,PC,A,1988,9.772236
Austria,ICTINVST,TOT,PC,A,1989,9.7489744
Austria,ICTINVST,TOT,PC,A,1990,9.8043824
Austria,ICTINVST,TOT,PC,A,1991,10.173845
Austria,ICTINVST,TOT,PC,A,1992,10.041819
Austria,ICTINVST,TOT,PC,A,1993,10.152633
Austria,ICTINVST,TOT,PC,A,1994,10.816629
Austria,ICTINVST,TOT,PC,A,1995,11.257909
Austria,ICTINVST,TOT,PC,A,1996,10.7935
Austria,ICTINVST,TOT,PC,A,1997,11.219077
Austria,ICTINVST,TOT,PC,A,1998,12.610642
Austria,ICTINVST,TOT,PC,A,1999,13.549343
Austria,ICTINVST,TOT,PC,A,2000,13.378289
Austria,ICTINVST,TOT,PC,A,2001,13.998485
Austria,ICTINVST,TOT,PC,A,2002,14.521025
Austria,ICTINVST,TOT,PC,A,2003,13.132085
Austria,ICTINVST,TOT,PC,A,2004,12.383793
Austria,ICTINVST,TOT,PC,A,2005,11.887261
Austria,ICTINVST,TOT,PC,A,2006,12.107165
Austria,ICTINVST,TOT,PC,A,2007,12.287206
Canada,ICTINVST,TOT,PC,A,1985,11.060156
Canada,ICTINVST,TOT,PC,A,1986,11.53996
Canada,ICTINVST,TOT,PC,A,1987,12.520351
Canada,ICTINVST,TOT,PC,A,1988,12.409654
Canada,ICTINVST,TOT,PC,A,1989,12.565316
Canada,ICTINVST,TOT,PC,A,1990,13.227039
Canada,ICTINVST,TOT,PC,A,1991,14.239202
Canada,ICTINVST,TOT,PC,A,1992,16.114438
Canada,ICTINVST,TOT,PC,A,1993,16.939981
Canada,ICTINVST,TOT,PC,A,1994,16.379083
Canada,ICTINVST,TOT,PC,A,1995,16.773522
Canada,ICTINVST,TOT,PC,A,1996,18.030332
Canada,ICTINVST,TOT,PC,A,1997,17.515792
Canada,ICTINVST,TOT,PC,A,1998,18.765097
Canada,ICTINVST,TOT,PC,A,1999,19.904368
Canada,ICTINVST,TOT,PC,A,2000,20.611065
Canada,ICTINVST,TOT,PC,A,2001,20.193323
Canada,ICTINVST,TOT,PC,A,2002,19.232895
Canada,ICTINVST,TOT,PC,A,2003,18.753708
Canada,ICTINVST,TOT,PC,A,2004,18.53839
Canada,ICTINVST,TOT,PC,A,2005,17.597812
Canada,ICTINVST,TOT,PC,A,2006,16.813136
Canada,ICTINVST,TOT,PC,A,2007,16.655466
Canada,ICTINVST,TOT,PC,A,2008,15.864026
Canada,ICTINVST,TOT,PC,A,2009,17.472226
Canada,ICTINVST,TOT,PC,A,2010,17.018367
Denmark,ICTINVST,TOT,PC,A,1985,20.798645
Denmark,ICTINVST,TOT,PC,A,1986,19.935965
Denmark,ICTINVST,TOT,PC,A,1987,20.832631
Denmark,ICTINVST,TOT,PC,A,1988,15.956575
Denmark,ICTINVST,TOT,PC,A,1989,17.223411
Denmark,ICTINVST,TOT,PC,A,1990,17.755184
Denmark,ICTINVST,TOT,PC,A,1991,18.336733
Denmark,ICTINVST,TOT,PC,A,1992,18.371873
Denmark,ICTINVST,TOT,PC,A,1993,21.2854
Denmark,ICTINVST,TOT,PC,A,1994,21.269846
Denmark,ICTINVST,TOT,PC,A,1995,19.727015
Denmark,ICTINVST,TOT,PC,A,1996,18.524952
Denmark,ICTINVST,TOT,PC,A,1997,19.77524
Denmark,ICTINVST,TOT,PC,A,1998,19.480389
Denmark,ICTINVST,TOT,PC,A,1999,21.621968
Denmark,ICTINVST,TOT,PC,A,2000,19.94718
