Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2015,2016,2017
AFG,Afghanistan,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,14.1,17,
AFG,Afghanistan,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,130,132
AGO,Angola,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,21.1,29,
AGO,Angola,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,113,113
ALB,Albania,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,51,62,
ALB,Albania,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,59,59
ARE,United Arab Emirates,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,73.4,87,
ARE,United Arab Emirates,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,25,23
ARG,Argentina,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,51.9,45,
ARG,Argentina,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,57,81
ARM,Armenia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,36.6,47,
ARM,Armenia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,87,78
AUS,Australia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,81.4,92,
AUS,Australia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,12,14
AUT,Austria,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,76,91,
AUT,Austria,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,21,17
AZE,Azerbaijan,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,50.5,58,
AZE,Azerbaijan,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,60,68
BDI,Burundi,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,10.6,10,
BDI,Burundi,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,135,140
BEL,Belgium,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,76,88,
BEL,Belgium,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,22,22
BEN,Benin,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,15.3,15,
BEN,Benin,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,123,138
BFA,Burkina Faso,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,14.9,18,
BFA,Burkina Faso,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,125,128
BGD,Bangladesh,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,16.7,35,
BGD,Bangladesh,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,121,103
BGR,Bulgaria,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,56.4,66,
BGR,Bulgaria,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,50,50
