id,ctry,cit,reg,name,url,stat,date,prfs,lat,lon,prts,traf,avg,trgh,ipv6_avg,pch,updt,tc_rank,tw_rank,pc_rank,pr_rank,pw_rank,tr_rank,prts_url,q9,iata,regct
30,Brazil,"São Paulo","Latin America","Ponto de Troca de Tráfego Metro São Paulo",http://ix.br/adesao/sp,Active,20041004,0,-23.62000,-46.65000,2347,13191650000,4777000000,1500000000,7.473310,Yes,2021-04-03,1,1,1,1,1,1,https://ix.br/particip/sp,No,GRU,137
160,Netherlands,Amsterdam,Europe,"Amsterdam Internet Exchange",https://ams-ix.net/,Active,19971229,1204334,52.30000,4.77000,851,9836100000,5597700000,3077200000,2.459940,Yes,2021-04-03,1,2,1,2,4,1,https://ams-ix.net/connected_parties,Yes,AMS,383
83,Germany,Frankfurt,Europe,"Deutscher Commercial Internet Exchange DE-CIX Frankfurt",https://www.de-cix.net/en/locations/germany/frankfurt,Active,19950500,1492263,50.12000,8.68000,1068,9322000200,6910000000,3600000000,0.000000,Yes,2021-06-10,1,3,1,1,3,2,https://www.de-cix.net/en/locations/germany/frankfurt/connected-networks,Yes,FRA,383
62,"United Kingdom",London,Europe,"London Internet Exchange",https://www.linx.net/,Active,19941108,757539,51.48000,-0.45000,770,4216000000,2700000000,1400000000,0.000000,Yes,2018-08-22,1,5,1,3,5,3,https://portal.linx.net/members/list-ip-asn,Yes,LHR,383
572,Netherlands,Amsterdam,Europe,"Neutral Internet Exchange",https://www.nl-ix.net/,Active,20020301,345945,52.30000,4.77000,439,3790000000,1890000000,800000000,0.000000,Yes,2021-04-03,2,6,2,9,15,4,https://www.nl-ix.net/network/connected-networks/,Yes,AMS,383
415,Brazil,"Rio de Janeiro","Latin America","Ponto de Troca de Tráfego do Rio de Janeiro",https://ix.br/adesao/rj,Active,20100000,0,-22.90000,-43.17000,464,2048960000,945600000,320000000,10.321490,No,2021-04-03,2,10,2,2,8,3,https://ix.br/particip/rj,No,,137
1240,Ukraine,Kiev,Europe,"Digital Telecom Internet Exchange",https://dtel-ix.net/,Active,20090000,0,50.40000,30.45000,140,1944000000,808800000,150040000,1.211670,No,2021-04-03,2,11,2,35,64,8,https://dtel-ix.net/en/members,No,,383
345,"United States",Seattle,"North America","Seattle Internet Exchange",https://www.seattleix.net/,Active,19970620,478310,47.61000,-122.33000,271,1862436322,1080000000,700000000,0.000000,Yes,2021-04-03,1,12,2,2,25,1,https://www.seattleix.net/participants/,Yes,SEA,253
96,China,"Hong Kong",Asia-Pacific,"Hong Kong Internet Exchange",http://www.hkix.net,Active,19950400,648896,22.33000,114.18000,293,1767960000,852000000,400000000,0.000000,Yes,2021-04-03,1,13,1,4,22,1,http://www.hkix.net/hkix/participant.htm,No,HKG,249
1306,"South Africa",Johannesburg,Africa,"NAPAfrica Johannesburg",https://www.napafrica.net/,Active,20120000,260323,-26.13000,28.23000,470,1602984701,1055451947,449458158,0.000000,Yes,2021-07-11,1,14,1,1,7,1,https://www.napafrica.net/who-is-peering/,Yes,JNB,81
