Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,173,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Albania,ALB,..,..,..,..,..,..,..,..,..,..,82,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,157,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Angola,AGO,..,..,..,..,..,..,..,..,..,..,177,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,113,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,126,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,47,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Australia,AUS,..,..,..,..,..,..,..,..,..,..,14,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Austria,AUT,..,..,..,..,..,..,..,..,..,..,27,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,34,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,119,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,43,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,168,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,128,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,49,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,46,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,135,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Benin,BEN,..,..,..,..,..,..,..,..,..,..,149,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,89,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,150,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,90,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,87,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,124,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,66,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,61,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..,151,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,166,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,137,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,144,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Cameroon,CMR,..,..,..,..,..,..,..,..,..,..,167,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Canada,CAN,..,..,..,..,..,..,..,..,..,..,23,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,184,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Chad,TCD,..,..,..,..,..,..,..,..,..,..,182,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Chile,CHL,..,..,..,..,..,..,..,..,..,..,59,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,China,CHN,..,..,..,..,..,..,..,..,..,..,31,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Colombia,COL,..,..,..,..,..,..,..,..,..,..,67,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Comoros,COM,..,..,..,..,..,..,..,..,..,..,160,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,..,..,..,..,183,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,180,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,74,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,..,..,110,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,51,..
Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
