iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
ABW,LCN,Aruba,HIC,35563.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,103187,NA,NA,NA,NA,NA,NA,88132.0167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,89,NA,NA
AFG,SAS,Afghanistan,LIC,2057.062255859375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,34656032,6802511,NA,20000,NA,NA,9855,5628525.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other
AGO,SSF,Angola,LMC,8036.6904296875,51.8,6.7,4.4,11.5,11.9,13.5,NA,NA,NA,NA,NA,Yes,Yes,NA,25096150,NA,NA,92000,NA,NA,5495.95,4213643.585,NA,NA,NA,NA,NA,NA,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALB,ECS,Albania,UMC,13724.05859375,51.4,4.5,4.8,15.209999999999999,9.9,9.6,NA,4.6,NA,No,Yes,Yes,Yes,No,2854191,NA,203009,20000,5714.82,270269,114.3,1087446.75,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some disposal sites
AND,ECS,Andorra,HIC,43711.80078125,31.2,8.2,2.6,11.6,35.1,11.3,NA,NA,NA,NA,Yes,Yes,Yes,NA,82431,NA,NA,NA,1788,NA,NA,43000,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,52.1,NA,NA,NA,NA,NA,47.9,NA,NA
ARE,MEA,United Arab Emirates,HIC,67119.1328125,39,4,3,10,25,19,NA,NA,NA,Yes,Yes,NA,Yes,NA,9770529,493106,2876313,134000,57525,3306644,4573,5617682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,9,62,NA,20,NA,NA,NA,NA
ARG,LCN,Argentina,HIC,23550.099609375,38.74,3.16,1.84,15.36,13.96,14.61,1.26,1.09,9.95,Yes,NA,Yes,Yes,NA,42981516,NA,NA,291700,310044,NA,NA,17910550,NA,NA,NA,NA,NA,NA,89.91,NA,NA,NA,94.82,NA,NA,NA,8.9,NA,NA,22.6,NA,6,62.5,NA,NA,Other
ARM,ECS,Armenia,UMC,11019.8388671875,57,3.2,3.4,17.4,6.7,11.4,0.3,0.6,NA,No,No,Yes,No,NA,2906220,1570,7820,14000,62270,47310540,NA,492800,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,Other
ASM,EAS,American Samoa,UMC,11113.4423828125,19.7,3.4,7.9,25.6,26.4,12.8,4.2,NA,NA,NA,Yes,NA,NA,NA,55599,NA,NA,NA,NA,NA,NA,18989.49,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATG,LCN,Antigua and Barbuda,HIC,17965.501953125,46,7,7,12,15,13,NA,NA,NA,No,Yes,Yes,No,No,96777,NA,NA,1100,NA,NA,NA,30585,NA,NA,NA,NA,NA,NA,98.61,NA,NA,NA,NA,NA,NA,0.08,98.68,NA,NA,NA,NA,NA,NA,1.14,0.1,Disposal Site
