#,Year,Country,Mbps
1,2022,Singapore,290.87
2,2022,Chile,285.91
3,2022,Hong Kong (SAR),269.81
4,2022,Monaco,267.71
5,2022,Switzerland,262.74
6,2022,China,245.83
7,2022,Thailand,244.76
8,2022,Romania,242.09
9,2022,France,241.25
10,2022,Denmark,236.7
11,2022,Japan,233.72
12,2022,Liechtenstein,231.21
13,2022,United States,229.73
14,2022,Hungary,226.98
15,2022,South Korea,226.23
16,2022,New Zealand,217
17,2022,Macau (SAR),216.71
18,2022,Spain,211.92
19,2022,Canada,208.68
20,2022,Israel,198.16
21,2022,United Arab Emirates,196.2
22,2022,Moldova,191.72
23,2022,Netherlands,190.84
24,2022,Uruguay,187.79
25,2022,Portugal,185.71
26,2022,Taiwan,181.18
27,2022,Luxembourg,180.18
28,2022,Kuwait,178.56
29,2022,Sweden,177.5
30,2022,Andorra,175.41
31,2022,Poland,174.25
32,2022,Norway,171.12
33,2022,Malta,169.32
34,2022,Lithuania,161
35,2022,Finland,156.53
36,2022,Panama,152.27
37,2022,Latvia,151.7
38,2022,Brazil,151.63
39,2022,Germany,148.15
40,2022,Qatar,142.79
41,2022,Slovakia,142.78
42,2022,Ireland,142.04
43,2022,Belgium,140.03
44,2022,Slovenia,138.87
45,2022,Austria,134.65
46,2022,United Kingdom,129.98
47,2022,Italy,125.59
48,2022,Barbados,124.68
49,2022,Malaysia,123.25
50,2022,Saint Lucia,118.15
51,2022,Colombia,113.23
52,2022,Jordan,108.98
53,2022,San Marino,108.31
54,2022,Russia,106.77
55,2022,Serbia,105.87
56,2022,Saudi Arabia,105.38
57,2022,Bulgaria,104.4
58,2022,Philippines,102.93
59,2022,Czechia,102.75
60,2022,Saint Vincent and the Grenadines,101.02
61,2022,Vietnam,100.15
62,2022,Dominica,94.68
63,2022,Trinidad and Tobago,92.61
64,2022,Estonia,92.16
65,2022,Paraguay,88.67
66,2022,Australia,87.2
67,2022,Ukraine,85.3
68,2022,Guyana,84.69
69,2022,Croatia,78.08
70,2022,Bahrain,77.53
71,2022,Costa Rica,76.05
72,2022,Argentina,75.59
73,2022,Grenada,74.82
74,2022,Peru,74.64
75,2022,Cyprus,74.5
76,2022,India,72.37
77,2022,Belarus,71.87
78,2022,Mexico,71.86
79,2022,Kazakhstan,69.92
80,2022,Oman,69.89
81,2022,Armenia,69.83
82,2022,Nepal,68.96
83,2022,The Bahamas,67.76
84,2022,South Africa,67.32
85,2022,Kosovo,65.5
86,2022,Montenegro,65.09
87,2022,Palestine,62.8
88,2022,Gabon,61.64
89,2022,Mongolia,58.3
90,2022,Albania,58.02
91,2022,Uzbekistan,57.66
92,2022,Ecuador,57.37
93,2022,Turkey,57.06
94,2022,Burkina Faso,55.87
95,2022,Bosnia and Herzegovina,55.3
96,2022,Nicaragua,54.42
97,2022,Belize,54.2
98,2022,Ghana,53.15
99,2022,Kyrgyzstan,51.46
100,2022,Bangladesh,50.14
101,2022,Mauritius,49.96
102,2022,Côte d'Ivoire,49.95
103,2022,Tajikistan,48.7
104,2022,Jamaica,48.53
105,2022,Greece,46.72
106,2022,North Macedonia,45.59
107,2022,Togo,42.71
108,2022,Brunei,42.67
109,2022,Saint Kitts and Nevis,42.5
110,2022,Seychelles,42.06
111,2022,Egypt,41.49
112,2022,Laos,38.69
113,2022,Congo,38.55
114,2022,Senegal,36.54
115,2022,Dominican Republic,35.7
116,2022,El Salvador,35.52
117,2022,Venezuela,34.81
118,2022,Bhutan,34.27
119,2022,Guatemala,33.8
120,2022,Indonesia,33.65
121,2022,Micronesia,33.57
122,2022,Honduras,33.42
123,2022,Lesotho,32.57
124,2022,Cambodia,31.79
125,2022,Bolivia,31.54
126,2022,Morocco,31.19
127,2022,Iraq,30.57
128,2022,Azerbaijan,30.4
129,2022,Sri Lanka,29.76
130,2022,Madagascar,29.05
131,2022,Antigua and Barbuda,28.95
132,2022,Somalia,28.19
133,2022,Liberia,27.99
134,2022,Djibouti,27.86
135,2022,Georgia,27.41
136,2022,Western Sahara,26.52
137,2022,Fiji,25.62
138,2022,Mali,25.41
139,2022,Myanmar (Burma),25.17
140,2022,Maldives,25.01
141,2022,Cape Verde,24.11
142,2022,Haiti,24.07
143,2022,Mauritania,23.78
144,2022,Malawi,23.77
145,2022,Angola,23.06
146,2022,Benin,22.61
147,2022,Iran,22.61
148,2022,Ethiopia,22.13
149,2022,Swaziland,21.72
150,2022,Zambia,21.23
151,2022,Nigeria,21.18
152,2022,Uganda,20.96
153,2022,Kenya,20.87
154,2022,DR Congo,20.37
155,2022,Namibia,20.35
156,2022,Tanzania,20.2
157,2022,Rwanda,19.7
158,2022,Suriname,18.9
159,2022,Lebanon,18.64
160,2022,Cameroon,18.57
161,2022,Zimbabwe,17.72
162,2022,Sierra Leone,17.38
163,2022,Libya,17.23
164,2022,Vanuatu,16.67
165,2022,Guinea,15.35
166,2022,Pakistan,15.06
167,2022,Papua New Guinea,14.34
168,2022,Botswana,13.83
169,2022,Equatorial Guinea,12.77
170,2022,Tunisia,12.37
171,2022,Niger,11.58
172,2022,East Timor,11.28
173,2022,Algeria,11.09
174,2022,Syria,10.82
175,2022,Afghanistan,10.77
176,2022,The Gambia,10.64
177,2022,Sudan,10.64
178,2022,Mozambique,9.63
179,2022,Burundi,8.39
180,2022,Yemen,7.73
181,2022,Cuba,6.97
182,2022,Turkmenistan,4.34
