Gallup Global Wellbeing
Wellbeing in Africa

Malawi                  25          64           10          8.0           Sudan                      7          81           12          7.4

Libya*                  24          68           8           6.0           Djibouti                   7          86           8           7.5

Botswana                24          65           11          7.3           Madagascar                 7          84           10          7.0

South Africa            21          71           8           7.3           Uganda                     6          71           23          6.8

Somaliland              18          77           5           7.1           Tanzania                   6          70           24          7.5

Algeria                 18          77           6           6.7           Senegal                    6          88           6           7.3

Nigeria                 18          78           4           7.3           Chad                       5          88           7           7.1

Cameroon                14          77           9           7.0           Liberia                    5          90           5           6.7

Tunisia                 14          77           9           6.8           Mali                       5          77           18          8.0

Zambia                  14          78           8           7.6           Ivory Coast                4          84           12          7.2

Central African                                                            Congo (Kinshasa)           4          85           11          6.4
12          75           13          6.4
Republic
Benin                      4          80           16          6.7
Ethiopia                12          67           21          6.4
Niger                      3          86           11          7.9
Namibia                 11          79           10          8.1
Rwanda                     3          75           22          7.8
Angola                  11          81           8           6.8
Burkina Faso               3          71           26          6.5
Mozambique              10          78           11          7.2
Sierra Leone               3          74           23          6.3
Egypt                   10          71           19          6.1
Comoros                    2          75           23          7.7
Mauritania              10          83           7           7.2
Burundi                    2          58           40          7.5
Zimbabwe                10          73           17          7.3
Togo                       1          67           31          5.0
Morocco                 10          80           10          7.0

Kenya                    9          78           13          7.5
"Gallup World Poll, 2005-2009"
Ghana                    9          83           8           7.5
*Limited urban samples only.
Congo (Brazzaville)      8          73           20          6.9
"Due to rounding, thriving, struggling, and suffering percentages may"
Guinea                   8          89           3           7.1           not equal 100%.

Costa Rica                     63             35              2               8.1

Canada                         62             36              2               7.6

Panama                         58             39              3               8.4

Brazil                         58             40              2               7.5

United States                  57             40              3               7.3

Mexico                         52             43              5               7.7

Venezuela                      50             48              2               8.0

Puerto Rico                    47             45              8               7.6

Colombia                       46             47              7               7.7

Jamaica                        46             49              5               7.7

Trinidad and Tobago            44             51              5               7.9

Argentina                      44             50              6               7.8

Belize                         44             50              6               6.8

El Salvador                    42             51              7               7.7

Chile                          41             52              7               7.3

Uruguay                        41             54              5               7.5

Guatemala                      40             50              10              7.7

Honduras                       37             49              14              7.5

Dominican Republic             35             54              11              7.3

Bolivia                        34             59              7               7.0

Ecuador                        34             52              15              7.6

Paraguay                       32             59              9               8.3

Guyana                         31             64              5               7.0

Nicaragua                      30             53              17              7.4

Peru                           25             65              11              7.2

Cuba*                          24             66              11              6.7

Haiti                          4              60              35              6.2

New Zealand        63           35          2             7.6          Malaysia             15            80            5            8.1

Israel             62           35          3             6.4          Philippines          15            68            18           7.2

Australia          62           35          3             7.5          Yemen                14            62            24           6.3

Turkmenistan       52           47          1             7.5          Vietnam              14            76            10           6.9

United Arab                                                            Palestinian
51           48          1             7.7                               14            70            15           5.8
Emirates                                                               Territories

Kuwait             47           50          3             7.0          Turkey               13            67            20           6.0

Cyprus             45           50          5             6.6          Kyrgyzstan           13            81            7            7.3

Qatar              41           58          1             6.8          Azerbaijan           13            70            17           6.6

Bahrain            32           45          23            7.0          Armenia              11            55            33           5.9

Jordan             30           61          8             6.7          Iraq                 11            71            18           5.2

South Korea        28           61          12            6.9          Sri Lanka            10            66            24           6.9

Saudi Arabia       27           69          3             6.7          India                10            69            21           6.9

Pakistan           27           50          23            6.2          Syria                10            66            24           6.8

Kazakhstan         22           72          6             7.2          Georgia              10            56            35           6.2

Taiwan             22           64          14           7.5           Afghanistan          10            69            21           6.2

Lebanon            21           64          15           6.3           China                 9            77            14           7.6

Thailand           20           75          5            8.0           Nepal                 7            82            11           7.4

Iran               19           66          14           6.3           Mongolia              7            81            12           7.0

Hong Kong          19           65          16           7.1           Laos                  7            89            4            7.1

Singapore          19           75          6            6.9           Tajikistan            7            74            19           6.5

Japan              19           69          12           7.4           Cambodia              3            75            22           7.6

Uzbekistan         18           75          6            7.8

"Indonesia          18           72          10           8.2           Gallup World Poll, 2005-2009"

Myanmar*           16           82          2            7.1           *Limited urban samples only.

"Bangladesh         16           71          13           6.9           Due to rounding, thriving, struggling, and suffering percentages may"
not equal 100%.

Denmark            82           17          1             7.9          Poland               28            61           10            7.1

Finland            75           23          2             7.8          Slovenia             27            57           16            6.8

Norway             69           31          0             7.9          Croatia              26            60           14            6.2

Sweden             68           30          2             7.9          Montenegro           26            58           16            6.2

Netherlands        68           32          1             7.7          Moldova              25            62           13            6.1

Switzerland        62           36          2             7.6          Lithuania            25            57           18            6.2

Austria            57           40          3             7.7          Portugal             22            61           17            7.1

Belgium            56           41          3             7.3          Russia               21            57           22            7.0

United             54           44          2             7.4          Ukraine              21            53           26            6.6
Kingdom
Romania              21            56           23            6.6
Ireland            49           49          2             7.5
Slovakia             21            60           19            6.5
Iceland            47           49          4             8.2
Bosnia and           20            59           20            6.2
Luxembourg         45           54          1             7.3          Herzegovina

Germany            43           50          7             7.4          Estonia              17            62           21            6.8

Malta              40           48          12            6.6          Serbia               16            63           21            6.2

Czech              39           51          9             6.6          Macedonia            14            54           32            6.8
Republic
Hungary              13            53           34            6.9
Italy              39           54          7             7.1
Albania              13            67           19            5.6
Spain              36           58          6             7.0
Latvia               11            64           25            6.5
France             35           60          6             7.0
Bulgaria                6          58           36            6.5
Greece             31           57          11            7.0

"Belarus            29           59          12            6.5          Gallup World Poll, 2005-2009"
"Kosovo             29           65          6             6.2          Due to rounding, thriving, struggling, and suffering percentages may"
not equal 100%.

