Country,2014,2015,2016
Brazil,45.37,42.4,48
Albania,20.5,24.5,26.64
Algeria,19.36,23.8,25.94
Angola,7.17,7.9,
Argentina,47.5,53.9,52
Armenia,25.4,35.6,46.6
Australia,81.37,83,86.89
Austria,79,80.86,80.99
Azerbaijan,46.8,51.5,54.62
Bahrain,79,82,81
Bangladesh,3.2,4.6,6.5
Barbados,62.86,66.7,
Belgium,78,80.05,82.8
Benin,2.36,,3.51
Bhutan,11.6,15.5,26.3
Bolivia,10,11.5,17
Bosnia and Herzegovina,39.7,,50
Botswana,9.1,10.6,12.05
Brunei Darussalam,72.44,,
Bulgaria,51,53.71,56.65
Burkina Faso,2.8,3.2,
Burundi,0.13,0.13,0.13
Cabo Verde,13.7,22.8,24.8
Cambodia,3.94,5.53,7
Cameroon,3.53,4.5,6.5
Canada,83,82.6,86.58
Chad,2.35,2.3,2.73
Chile,45.27,49.6,53.93
China,37.36,43.9,47.44
Colombia,32.14,35.66,37.98
Costa Rica,47.33,46.71,55.05
Cote d'Ivoire,1.35,1.5,12.2
Croatia,66,64.58,68.37
Cyprus,62,64.71,68.64
Czech Republic,71,72.62,77.99
Denmark,92,92.71,93.12
Dominican Republic,13.65,18.6,21.11
Ecuador,22.49,,32
"Egypt, Arab Rep.",32.27,34.51,36.78
El Salvador,15,12.7,23.3
Estonia,75,80.29,82.9
Ethiopia,1.89,2.3,2.85
Finland,87,89.24,89.83
France,80,81.72,82.96
Gabon,7.87,8.78,9.69
"Gambia, The",6.66,7.6,8.54
Georgia,31.99,34.6,41
Germany,85,87.75,89.47
Ghana,11,31.8,29
Greece,54,56.31,65.55
Guatemala,9.3,9.3,15
Guinea,1.27,1.4,1.53
Guyana,20.6,20.6,24.17
Haiti,3.35,3.7,4.02
Honduras,13.2,16.4,19.6
"Hong Kong SAR, China",78.6,79.9,82.39
Hungary,69,71.47,75.05
Iceland,95,96.41,96.48
India,9.5,13,15.33
Indonesia,6.45,5.7,29.08
"Iran, Islamic Rep.",26.5,35.8,44.73
Ireland,81,82.39,82.17
Israel,73.43,71.1,71.5
Italy,63,68.91,72.61
Jamaica,23,23.5,25.74
Japan,85.99,86.18,97.5
Jordan,43.6,44.9,60
Kazakhstan,52.6,55,58.8
Kenya,11.5,14.2,16.9
"Korea, Rep.",97.4,98.14,98.49
Kuwait,65.15,71.1,75.39
Kyrgyz Republic,6.32,7.7,12
Lao PDR,5.07,5.1,5.23
Latvia,69,71.6,73.38
Lebanon,63.98,66.2,68.42
Lesotho,3.7,4.3,6.5
Liberia,1.55,,2.5
Libya,13.67,15.9,
Lithuania,62,64.73,65.97
Luxembourg,93,94.46,95.56
"Macedonia, FYR",56.79,61.9,68.34
Madagascar,2.7,3.65,4.68
Malawi,5.55,6,6.23
Malaysia,64.7,64.7,65.5
Mali,2.5,3,6.74
Malta,77,78.82,80.73
Mauritania,3.4,4.3,6.2
Mauritius,42,44.5,47.53
Mexico,25.97,30.74,34.39
Moldova,42,46,47.48
Mongolia,14,14,29
Montenegro,54.99,55,56.6
Morocco,38.9,46,50.4
Mozambique,4.65,4.6,6.22
Myanmar,1.79,2.2,3
Namibia,12.97,16,17.27
Nepal,4.1,4.9,5.6
Netherlands,94,94.63,95.78
New Zealand,87.4,76.8,79.83
Nicaragua,7.4,9.4,11.6
Nigeria,9.1,7.8,8.48
Norway,93,94.29,93.07
Oman,41.89,80.1,86.2
Pakistan,8.3,8.3,13.2
Panama,31.55,31.5,41.57
Paraguay,22.8,26.6,24.6
Peru,20.2,22.1,23.5
Philippines,18.9,22.9,26.91
Poland,70,71.9,74.76
Portugal,61,62.34,64.87
Puerto Rico,60.72,60.7,
Qatar,88.06,96.35,98
Romania,54,58.1,60.54
Russian Federation,51.24,67.2,69.89
Rwanda,2.41,2.9,3.8
Saudi Arabia,66.6,72.7,94
Senegal,5.8,6.3,12.6
Serbia,47.95,48,51.75
Seychelles,41.92,50.6,55.02
Singapore,87.7,86,88
Slovak Republic,76.6,77.91,78.35
Slovenia,74,75.62,76.8
South Africa,25.5,39.35,37.3
Spain,68,69.8,74.35
Sri Lanka,10.28,12.7,15.31
Suriname,20.22,19.03,
Swaziland,11.4,13.4,18.4
Sweden,92,92.59,89.57
Switzerland,90,91.8,90.6
Syrian Arab Republic,,,
Tajikistan,,4.3,7.23
Tanzania,3.3,3.7,4.1
Thailand,18.4,22.67,33.81
Trinidad and Tobago,39.99,45,50.03
Tunisia,20.6,18.2,28.8
Turkey,47.2,49.08,60.24
Uganda,4.2,5.2,6.2
Ukraine,36.5,43.7,43
United Arab Emirates,72,76.1,90.12
United Kingdom,88.61,88.45,89.93
United States,75,77.3,79.6
Uruguay,48.4,52.7,57.42
"Venezuela, RB",20.2,31.5,34.18
Vietnam,15.6,17.1,18.61
"Yemen, Rep.",4.69,4.7,
Zambia,2.8,5.89,6.89
Zimbabwe,4.86,5.3,5.76
