Year,Economy,Economy Label,Partner,Partner Label,Flow,Flow Label,IctProductCategory,IctProductCategory Label,Percentage of total merchandise trade,Percentage of total merchandise trade Footnote
2000,0,World,0,World,1,Imports,ICT00,Total ICT goods,16.05745,
2000,0,World,0,World,2,Exports,ICT00,Total ICT goods,16.0222,
2000,0,World,0,World,3,Re-exports,ICT00,Total ICT goods,29.61627,
2000,0,World,0,World,24,Re-imports,ICT00,Total ICT goods,31.78913,
2000,8,Albania,0,World,1,Imports,ICT00,Total ICT goods,3.33276,
2000,8,Albania,0,World,2,Exports,ICT00,Total ICT goods,0.39067,
2000,12,Algeria,0,World,1,Imports,ICT00,Total ICT goods,4.29957,
2000,12,Algeria,0,World,2,Exports,ICT00,Total ICT goods,0.00649,
2000,20,Andorra,0,World,1,Imports,ICT00,Total ICT goods,8.81431,
2000,20,Andorra,0,World,2,Exports,ICT00,Total ICT goods,8.0681,
2000,28,Antigua and Barbuda,0,World,1,Imports,ICT00,Total ICT goods,9.53298,
2000,28,Antigua and Barbuda,0,World,2,Exports,ICT00,Total ICT goods,39.06442,
2000,28,Antigua and Barbuda,0,World,3,Re-exports,ICT00,Total ICT goods,45.11872,
2000,31,Azerbaijan,0,World,1,Imports,ICT00,Total ICT goods,8.16045,
2000,31,Azerbaijan,0,World,2,Exports,ICT00,Total ICT goods,0.13639,
2000,32,Argentina,0,World,1,Imports,ICT00,Total ICT goods,13.8058,
2000,32,Argentina,0,World,2,Exports,ICT00,Total ICT goods,0.36296,
2000,36,Australia,0,World,1,Imports,ICT00,Total ICT goods,15.06608,
2000,36,Australia,0,World,2,Exports,ICT00,Total ICT goods,2.85219,
2000,36,Australia,0,World,24,Re-imports,ICT00,Total ICT goods,5.35596,
2000,40,Austria,0,World,1,Imports,ICT00,Total ICT goods,9.22115,
2000,40,Austria,0,World,2,Exports,ICT00,Total ICT goods,6.15633,
2000,44,Bahamas,0,World,1,Imports,ICT00,Total ICT goods,3.34165,
2000,44,Bahamas,0,World,2,Exports,ICT00,Total ICT goods,0.41265,
2000,44,Bahamas,0,World,3,Re-exports,ICT00,Total ICT goods,0.73709,
2000,48,Bahrain,0,World,1,Imports,ICT00,Total ICT goods,2.42176,
2000,48,Bahrain,0,World,2,Exports,ICT00,Total ICT goods,0.03349,
2000,48,Bahrain,0,World,3,Re-exports,ICT00,Total ICT goods,2.53905,
2000,50,Bangladesh,0,World,1,Imports,ICT00,Total ICT goods,2.66961,
2000,50,Bangladesh,0,World,2,Exports,ICT00,Total ICT goods,0.0709,
2000,51,Armenia,0,World,1,Imports,ICT00,Total ICT goods,7.04572,
2000,51,Armenia,0,World,2,Exports,ICT00,Total ICT goods,0.36442,
2000,51,Armenia,0,World,3,Re-exports,ICT00,Total ICT goods,0.02283,
2000,52,Barbados,0,World,1,Imports,ICT00,Total ICT goods,8.1628,
2000,52,Barbados,0,World,2,Exports,ICT00,Total ICT goods,2.24223,
2000,52,Barbados,0,World,3,Re-exports,ICT00,Total ICT goods,2.57377,
2000,56,Belgium,0,World,1,Imports,ICT00,Total ICT goods,7.22561,
2000,56,Belgium,0,World,2,Exports,ICT00,Total ICT goods,6.12983,
2000,68,Bolivia (Plurinational State of),0,World,1,Imports,ICT00,Total ICT goods,6.99042,
2000,68,Bolivia (Plurinational State of),0,World,2,Exports,ICT00,Total ICT goods,0.18593,
2000,72,Botswana,0,World,1,Imports,ICT00,Total ICT goods,5.36507,
2000,72,Botswana,0,World,2,Exports,ICT00,Total ICT goods,0.6819,
2000,76,Brazil,0,World,1,Imports,ICT00,Total ICT goods,13.57814,
2000,76,Brazil,0,World,2,Exports,ICT00,Total ICT goods,4.04921,
2000,76,Brazil,0,World,24,Re-imports,ICT00,Total ICT goods,0.10797,
2000,84,Belize,0,World,1,Imports,ICT00,Total ICT goods,4.04326,
2000,84,Belize,0,World,2,Exports,ICT00,Total ICT goods,0.06795,
2000,84,Belize,0,World,3,Re-exports,ICT00,Total ICT goods,0.92621,
2000,100,Bulgaria,0,World,1,Imports,ICT00,Total ICT goods,4.48829,
2000,100,Bulgaria,0,World,2,Exports,ICT00,Total ICT goods,0.79342,
2000,108,Burundi,0,World,1,Imports,ICT00,Total ICT goods,10.94902,
2000,108,Burundi,0,World,2,Exports,ICT00,Total ICT goods,0.00265,
2000,1100,Developed economies,0,World,1,Imports,ICT00,Total ICT goods,14.4779,
2000,1100,Developed economies,0,World,2,Exports,ICT00,Total ICT goods,13.60295,
2000,1100,Developed economies,0,World,3,Re-exports,ICT00,Total ICT goods,38.2605,
2000,1100,Developed economies,0,World,24,Re-imports,ICT00,Total ICT goods,25.71906,
2000,112,Belarus,0,World,1,Imports,ICT00,Total ICT goods,2.21059,
2000,112,Belarus,0,World,2,Exports,ICT00,Total ICT goods,1.3752,
2000,1120,Developed economies: America,0,World,1,Imports,ICT00,Total ICT goods,16.90066,
2000,1120,Developed economies: America,0,World,2,Exports,ICT00,Total ICT goods,16.77162,
2000,1120,Developed economies: America,0,World,3,Re-exports,ICT00,Total ICT goods,38.71673,
2000,1120,Developed economies: America,0,World,24,Re-imports,ICT00,Total ICT goods,42.25976,
2000,1130,Developed economies: Asia,0,World,1,Imports,ICT00,Total ICT goods,16.01493,
2000,1130,Developed economies: Asia,0,World,2,Exports,ICT00,Total ICT goods,22.09848,
2000,1140,Developed economies: Europe,0,World,1,Imports,ICT00,Total ICT goods,12.87199,
2000,1140,Developed economies: Europe,0,World,2,Exports,ICT00,Total ICT goods,10.90754,
2000,1140,Developed economies: Europe,0,World,3,Re-exports,ICT00,Total ICT goods,2.93002,
2000,1140,Developed economies: Europe,0,World,24,Re-imports,ICT00,Total ICT goods,16.50881,
2000,1150,Developed economies: Oceania,0,World,1,Imports,ICT00,Total ICT goods,14.53824,
2000,1150,Developed economies: Oceania,0,World,2,Exports,ICT00,Total ICT goods,2.68356,
2000,1150,Developed economies: Oceania,0,World,3,Re-exports,ICT00,Total ICT goods,15.49739,
2000,1150,Developed economies: Oceania,0,World,24,Re-imports,ICT00,Total ICT goods,5.35596,
2000,116,Cambodia,0,World,1,Imports,ICT00,Total ICT goods,2.0963,
2000,116,Cambodia,0,World,2,Exports,ICT00,Total ICT goods,0.0351,
2000,120,Cameroon,0,World,1,Imports,ICT00,Total ICT goods,2.79712,
2000,120,Cameroon,0,World,2,Exports,ICT00,Total ICT goods,0.00355,
2000,1200,Developing economies,0,World,1,Imports,ICT00,Total ICT goods,20.63981,
2000,1200,Developing economies,0,World,2,Exports,ICT00,Total ICT goods,22.49575,
2000,1200,Developing economies,0,World,3,Re-exports,ICT00,Total ICT goods,25.45422,
2000,1200,Developing economies,0,World,24,Re-imports,ICT00,Total ICT goods,39.69778,
2000,1210,Developing economies: Africa,0,World,1,Imports,ICT00,Total ICT goods,6.70049,
2000,1210,Developing economies: Africa,0,World,2,Exports,ICT00,Total ICT goods,0.89478,
2000,1210,Developing economies: Africa,0,World,3,Re-exports,ICT00,Total ICT goods,1.86891,
2000,1220,Developing economies: America,0,World,1,Imports,ICT00,Total ICT goods,14.0861,
2000,1220,Developing economies: America,0,World,2,Exports,ICT00,Total ICT goods,11.0913,
2000,1220,Developing economies: America,0,World,3,Re-exports,ICT00,Total ICT goods,2.57017,
2000,1220,Developing economies: America,0,World,24,Re-imports,ICT00,Total ICT goods,0.10796,
2000,1230,Developing economies: Asia,0,World,1,Imports,ICT00,Total ICT goods,23.66743,
2000,1230,Developing economies: Asia,0,World,2,Exports,ICT00,Total ICT goods,27.17828,
