People who used the Internet to buy something online in the past year (%) | 2017,,,
RANK,COUNTRY/ECONOMY,VALUE,SCORE
1,Denmark,77.97,100
2,Netherlands,75.72,97.11
3,Norway,75.63,96.99
4,United Kingdom,74.74,95.86
5,"Korea, Rep.",72.47,92.94
6,Sweden,71.65,91.9
7,United States,70.43,90.33
8,New Zealand,69.11,88.63
9,Canada,68.57,87.95
10,Australia,67.69,86.81
11,Germany,66.84,85.73
12,Finland,60.76,77.92
13,Ireland,59.49,76.29
14,Belgium,57.27,73.44
15,Switzerland,56.02,71.84
16,France,55.51,71.18
17,Italy,54.94,70.45
18,Spain,54.18,69.47
19,Czech Republic,54.05,69.31
20,Luxembourg,51.12,65.55
21,United Arab Emirates,49.62,63.63
22,Singapore,48.03,61.58
23,Poland,47.79,61.28
24,Estonia,46.69,59.87
25,Malta,46.59,59.74
26,Japan,45.9,58.85
27,Slovenia,45.5,58.35
28,China,45.28,58.06
29,Austria,44.14,56.59
30,Hong Kong (China),42.55,54.55
31,Slovakia,41.74,53.52
32,Lithuania,41.24,52.88
33,Israel,40.22,51.57
34,Latvia,34.51,44.25
35,Malaysia,33.9,43.46
36,Cyprus,32.33,41.45
37,Belarus,30.03,38.49
38,Croatia,29.62,37.96
39,Hungary,28.76,36.86
40,Russian Federation,26.9,34.47
41,"Iran, Islamic Rep.",25.71,32.95
42,Portugal,25.15,32.24
43,Bahrain,25.04,32.09
44,Saudi Arabia,24.93,31.95
45,Uruguay,24.27,31.1
46,Chile,22.92,29.38
47,Greece,22.16,28.4
48,Bulgaria,21.78,27.91
49,Ukraine,21.7,27.8
50,Turkey,21.31,27.31
51,Kuwait,20.21,25.89
52,Serbia,19.64,25.17
53,Viet Nam,18.74,24
54,Moldova,18.37,23.53
55,Costa Rica,18.06,23.13
56,North Macedonia,16.85,21.59
57,Thailand,16.82,21.54
58,Trinidad and Tobago,16.47,21.09
59,Romania,15.61,19.99
60,Kazakhstan,14.68,18.79
61,Argentina,14.46,18.52
62,Mauritius,14.42,18.46
63,Brazil,14.21,18.19
64,Lebanon,13.78,17.64
65,Montenegro,13.45,17.23
66,Venezuela,12.91,16.52
67,Namibia,12.14,15.54
68,Bosnia and Herzegovina,11.77,15.07
69,Indonesia,9.88,12.64
70,Kenya,9.25,11.83
71,Philippines,9.09,11.62
72,Armenia,8.51,10.88
73,Colombia,8.43,10.78
74,South Africa,7.86,10.05
75,Tajikistan,7.55,9.65
76,Dominican Republic,7.44,9.51
77,Mongolia,7.4,9.46
78,Jordan,7.1,9.08
79,Mexico,6.99,8.94
80,Albania,6.67,8.51
81,Panama,6.12,7.81
82,Ecuador,6.03,7.7
83,Lao PDR,5.57,7.11
84,Tanzania,5.35,6.82
85,Bolivia,5.18,6.61
86,Zambia,5.09,6.5
87,Guatemala,5.07,6.47
88,Azerbaijan,4.82,6.15
89,Tunisia,4.67,5.96
90,Peru,4.36,5.56
91,Georgia,4.34,5.54
92,Mozambique,4.3,5.48
93,Ghana,4.24,5.41
94,Nigeria,4.09,5.21
95,Uganda,3.85,4.91
96,Zimbabwe,3.79,4.83
97,Botswana,3.61,4.6
98,Honduras,3.56,4.53
99,Côte d'Ivoire,3.24,4.12
100,El Salvador,3.08,3.91
101,Cambodia,3.05,3.88
102,India,2.86,3.63
103,Kyrgyzstan,2.85,3.62
104,Algeria,2.8,3.56
105,Cameroon,2.76,3.51
106,Guinea,2.74,3.47
107,Sri Lanka,2.72,3.45
108,Mali,2.62,3.32
109,Benin,2.61,3.31
110,Senegal,2.55,3.24
111,Paraguay,2.54,3.22
112,Egypt,2.43,3.09
113,Malawi,2.31,2.93
114,Lesotho,2.05,2.59
115,"Congo, Dem. Rep.",1.83,2.31
116,Nepal,1.75,2.2
117,Chad,1.67,2.1
118,Morocco,1.62,2.04
119,Burkina Faso,1.59,2
120,Bangladesh,1.27,1.59
121,Madagascar,0.99,1.24
122,Rwanda,0.99,1.23
123,Pakistan,0.85,1.05
124,Ethiopia,0.03,0
,Angola,n/a,n/a
,Burundi,n/a,n/a
,Cabo Verde,n/a,n/a
,Eswatini,n/a,n/a
,Gambia,n/a,n/a
,Iceland,n/a,n/a
,Jamaica,n/a,n/a
,Oman,n/a,n/a
,Qatar,n/a,n/a
,Yemen,n/a,n/a
