Country,Inherent Cyber Risk
Albania,55.0
Algeria,48.9
Argentina,61.7
Armenia,46.3
Australia,63.5
Austria,62.7
Azerbaijan,19.7
Bahrain,7.1
Bangladesh,72.0
Belgium,61.0
Benin,100.0
Bolivia,71.2
Bosnia,45.2
Botswana,82.6
Brazil,64.1
Brunei Darussalam,19.7
Bulgaria,65.7
Cambodia,54.4
Cameroon,55.8
Canada,59.6
Chad,66.4
Chile,56.6
China,36.0
Colombia,58.0
Costa Rica,66.9
Côte d’Ivoire,66.6
Croatia,58.6
Cyprus,63.8
Czechia,67.1
Denmark,56.2
Dominican Republic,51.7
Ecuador,65.0
Egypt,34.1
El Salvador,68.2
Emirates,7.4
Estonia,61.6
Ethiopia,58.7
Finland,61.5
France,55.9
Georgia,55.5
Germany,62.5
Ghana,84.9
Greece,60.8
Guatemala,63.9
Guinea,66.3
Haiti,59.5
Honduras,69.3
Hong Kong,41.0
Hungary,48.2
Iceland,55.5
India,86.6
Indonesia,59.4
Iran,26.0
Ireland,64.8
Israel,44.1
Italy,71.2
Jamaica,73.9
Japan,60.5
Jordan,37.6
Kazakhstan,28.0
Kenya,75.4
Kuwait,16.8
Kyrgyz Republic,65.5
Laos,54.3
Latvia,54.1
Lebanon,40.0
Lithuania,66.6
Luxembourg,56.8
Malawi,90.6
Malaysia,36.1
Mali,72.1
Malta,64.0
Mauritius,68.2
Mexico,54.8
Moldova,41.3
Mongolia,76.5
Montenegro,52.6
Morocco,32.8
Mozambique,76.6
Nepal,76.2
Netherlands,59.2
New Zealand,60.8
Nicaragua,62.4
Nigeria,75.4
North Macedonia,49.0
Norway,56.2
Oman,21.3
Pakistan,69.3
Panama,68.5
Paraguay,55.7
Peru,61.2
Philippines,62.4
Poland,55.2
Portugal,70.6
Qatar,16.7
Romania,62.1
Russia,17.9
Rwanda,56.7
Saudi Arabia,0.0
Senegal,80.5
Serbia,50.1
Singapore,33.1
Slovakia,56.2
Slovenia,65.7
South Africa,73.2
South Korea,47.8
Spain,60.8
Sri Lanka,68.1
Sweden,58.4
Switzerland,59.3
Taiwan,62.0
Tajikistan,56.6
Tanzania,70.0
Thailand,47.3
Trinidad and Tobago,59.7
Tunisia,56.9
Turkey,23.5
Uganda,65.1
Ukraine,59.5
United Kingdom,59.7
United States,62.2
Uruguay,69.6
Venezuela,29.6
Vietnam,36.4
Zambia,80.7
Zimbabwe,62.9
