"Percentage of Population Using Internet by Age, Sex, Variable, Country and Year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1990,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
16 - 74,Female,Weekly users of Internet,Albania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.4,98.6,..
,,,Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.1,..,..,..
,,,Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Austria,..,..,..,..,..,31.0,39.0,43.0,49.0,55.0,59.0,61.0,65.0,71.0,70.0,73.0,73.0,76.0,78.0,81.0,84.0,83.0,..
,,,Azerbaijan,..,..,..,..,..,..,..,..,..,..,7.5,11.8,11.9,22.4,32.3,65.2,66.3,69.4,70.1,70.8,70.9,71.4,..
,,,Belarus,..,..,..,..,..,..,..,..,..,..,..,25.7,24.0,32.0,40.6,44.9,50.1,54.8,58.8,63.9,70.6,75.9,..
,,,Belgium,..,..,..,..,..,..,..,48.0,54.0,59.0,61.0,66.0,70.0,75.0,75.0,78.0,81.0,83.0,82.0,85.0,85.0,87.0,..
,,,Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62.5,68.3,67.5,..
,,,Bulgaria,..,..,..,..,..,..,12.0,..,21.0,28.0,32.0,38.0,41.0,45.0,50.0,50.0,53.0,54.0,57.0,61.0,62.0,66.0,..
,,,Croatia,..,..,..,..,..,..,..,..,..,29.0,31.0,41.0,42.0,48.0,51.0,56.0,63.0,61.0,67.0,58.0,71.0,74.0,..
,,,Cyprus,..,..,..,..,..,..,23.0,24.0,27.0,32.0,32.0,42.0,48.0,51.0,55.0,60.0,64.0,68.0,73.0,79.0,84.0,85.0,..
,,,Czechia,..,..,..,..,..,17.0,22.0,23.0,33.0,39.0,48.0,52.0,55.0,60.0,66.0,69.0,73.0,76.0,77.0,78.0,83.0,84.0,..
,,,Denmark,..,..,..,..,..,60.0,66.0,71.0,76.0,74.0,78.0,81.0,85.0,86.0,88.0,90.0,92.0,93.0,95.0,95.0,95.0,95.0,..
,,,Estonia,..,..,..,..,..,..,44.0,50.0,55.0,59.0,62.0,68.0,71.0,73.0,74.0,77.0,81.0,85.0,85.0,86.0,87.0,88.0,..
,,,Finland,..,..,..,..,..,56.0,63.0,60.0,70.0,73.0,77.0,79.0,81.0,85.0,87.0,88.0,88.0,90.0,91.0,92.0,93.0,94.0,..
,,,France,..,..,..,..,..,..,..,..,37.0,52.0,64.0,65.0,71.0,72.0,77.0,76.0,78.0,80.0,82.0,83.0,85.0,86.0,..
,,,Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.4,96.8,97.8,97.8,..
,,,Germany,..,..,..,..,..,..,44.0,47.0,54.0,58.0,62.0,66.0,70.0,73.0,74.0,76.0,79.0,82.0,85.0,85.0,89.0,90.0,..
,,,Greece,..,..,..,..,..,11.0,14.0,15.0,18.0,23.0,28.0,33.0,36.0,44.0,48.0,52.0,57.0,61.0,64.0,65.0,68.0,72.0,..
,,,Hungary,..,..,..,..,..,..,19.0,33.0,40.0,47.0,54.0,55.0,58.0,64.0,68.0,70.0,73.0,70.0,77.0,75.0,74.0,79.0,..
,,,Iceland,..,..,..,..,..,72.0,75.0,79.0,82.0,84.0,87.0,89.0,89.0,92.0,94.0,94.0,96.0,..,..,98.0,99.0,98.0,..
,,,Ireland,..,..,..,..,..,23.0,26.0,32.0,42.0,47.0,59.0,60.0,64.0,73.0,74.0,75.0,77.0,79.0,80.0,80.0,80.0,90.0,..
,,,Israel,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Italy,..,..,..,..,..,20.0,20.0,23.0,26.0,28.0,32.0,37.0,42.0,46.0,47.0,52.0,55.0,59.0,64.0,66.0,70.0,72.0,..
,,,Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Latvia,..,..,..,..,..,..,27.0,36.0,45.0,51.0,55.0,60.0,62.0,66.0,69.0,71.0,71.0,75.0,76.0,78.0,81.0,82.0,..
,,,Lithuania,..,..,..,..,..,..,25.0,29.0,37.0,44.0,49.0,54.0,57.0,60.0,64.0,65.0,69.0,69.0,72.0,76.0,78.0,82.0,..
,,,Luxembourg,..,..,..,..,..,43.0,49.0,51.0,55.0,63.0,66.0,78.0,81.0,82.0,86.0,91.0,91.0,95.0,95.0,96.0,92.0,91.0,..
,,,Malta,..,..,..,..,..,..,..,30.0,33.0,38.0,43.0,54.0,55.0,64.0,64.0,64.0,69.0,74.0,76.0,79.0,80.0,85.0,..
,,,Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95.8,93.9,95.9,96.5,97.8,95.8,99.2,97.8,..
,,,Netherlands,..,..,..,..,..,..,..,68.0,71.0,77.0,80.0,83.0,86.0,88.0,89.0,91.0,90.0,92.0,92.0,94.0,94.0,95.0,..
,,,North Macedonia,..,..,..,..,..,..,10.0,..,16.0,20.0,33.0,45.0,47.0,..,50.0,59.0,62.0,66.0,69.0,72.0,76.0,80.0,..
,,,Norway,..,..,..,..,..,59.0,63.0,67.0,73.0,78.0,83.0,84.0,88.0,89.0,91.0,92.0,92.0,95.0,96.0,96.0,97.0,97.0,..
,,,Poland,..,..,..,..,..,..,21.0,28.0,32.0,37.0,43.0,50.0,53.0,56.0,58.0,59.0,62.0,64.0,69.0,72.0,74.0,78.0,..
,,,Portugal,..,..,..,..,..,..,23.0,25.0,28.0,31.0,34.0,38.0,42.0,48.0,51.0,54.0,57.0,61.0,66.0,69.0,70.0,71.0,..
,,,Romania,..,..,..,..,..,..,9.0,..,17.0,20.0,25.0,30.0,33.0,36.0,42.0,44.0,46.0,49.0,54.0,59.0,67.0,70.0,..
,,,Russian Federation,..,..,..,..,..,..,56.0,63.0,60.0,70.0,73.0,77.0,79.0,81.0,..,60.0,..,..,..,..,..,..,..
,,,Serbia,..,..,..,..,..,..,..,..,..,20.6,28.3,31.1,34.2,37.6,43.0,47.6,55.9,58.8,63.0,64.4,..,..,..
,,,Slovakia,..,..,..,..,..,..,36.0,39.0,39.0,49.0,59.0,65.0,70.0,71.0,71.0,74.0,76.0,73.0,77.0,78.0,78.0,81.0,..
,,,Slovenia,..,..,..,..,..,..,31.0,39.0,42.0,48.0,51.0,57.0,62.0,61.0,62.0,66.0,68.0,68.0,72.0,76.0,77.0,80.0,..
,,,Spain,..,..,..,..,..,26.0,27.0,30.0,34.0,39.0,44.0,48.0,54.0,58.0,61.0,63.0,69.0,73.0,75.0,79.0,82.0,88.0,..
,,,Sweden,..,..,..,..,..,64.0,73.0,72.0,76.0,72.0,81.0,85.0,88.0,89.0,89.0,92.0,89.0,88.0,91.0,95.0,92.0,96.0,..
,,,Switzerland,..,..,15.8,26.1,32.7,38.3,43.9,52.0,57.0,62.0,66.0,70.4,73.0,77.6,79.9,79.3,80.7,83.2,85.9,88.1,87.6,89.9,91.0
,,,Turkey,..,..,..,..,..,..,6.0,7.0,..,15.0,37.0,21.0,25.0,..,28.0,30.0,36.0,39.0,46.0,53.0,62.0,66.0,..
,,,Ukraine,..,..,..,..,..,..,..,..,..,3.5,7.0,12.2,17.9,24.0,30.0,40.6,47.0,49.9,54.5,60.8,65.4,71.8,..
,,,United Kingdom,..,..,..,..,..,43.0,43.0,47.0,51.0,61.0,66.0,73.0,78.0,79.0,84.0,85.0,89.0,88.0,93.0,92.0,94.0,94.0,..
,,,United States,9.0,22.0,50.0,61.0,..,..,65.0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Uzbekistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.9,43.7,57.4,..
16 - 24,Female,Weekly users of Internet,Albania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.4,99.9,..
