Region,CountryName,ISO3,IncomeGroup,Cost_100_MB_USD,Cost_100_MB_Share_GNICM,Cost_500_MB_USD,Cost_500_MB_Share_GNICM,Cost_1_GB_USD,Cost_1_GB_Share_GNICM,Cost_2_GB_USD,Cost_2_GB_Share_GNICM,Cost_5_GB_USD,Cost_5_GB_Share_GNICM,Cost_10_GB_USD,Cost_10_GB_Share_GNICM,USDex,GNIpc_LCU_monthly,GNIpc_USD.Atlas_monthly
Asia,Afghanistan,AFG,Low income,2.35,5.46%,2.35,5.46%,2.35,5.46%,3.66,8.49%,4.44,10.31%,7.83,18.16%,76.53,"3,299",45
Africa,Angola,AGO,Lower middle income,1.16,0.81%,3.32,2.32%,3.32,2.32%,4.65,3.24%,8.64,6.02%,17.28,12.05%,580.60,"83,300",254
Americas,Argentina,ARG,Upper middle income,5.68,1.04%,5.68,1.04%,5.68,1.04%,5.68,1.04%,8.24,1.50%,12.78,2.33%,70.40,"38,598",933
Africa,Burundi,BDI,Low income,0.52,2.48%,1.84,8.69%,2.92,13.83%,3.93,18.62%,6.4,30.32%,10.67,50.53%,1907.12,"40,276",23
Africa,Benin,BEN,Lower middle income,3.46,3.39%,3.46,3.39%,4.32,4.24%,6.92,6.79%,10.37,10.18%,20.75,20.36%,578.36,"58,950",104
Africa,Burkina Faso,BFA,Low income,2.59,4.07%,2.59,4.07%,4.32,6.79%,6.91,10.86%,13.83,21.72%,25.93,40.73%,578.58,"36,825",66
Asia,Bangladesh,BGD,Lower middle income,0.68,0.43%,1.84,1.15%,2.23,1.39%,3.4,2.12%,3.52,2.20%,5.42,3.38%,84.88,"13,610",162
Americas,Belize,BLZ,Upper middle income,17.5,4.80%,17.5,4.80%,17.5,4.80%,17.5,4.80%,17.5,4.80%,34.5,9.47%,2.00,729,371
Americas,Bolivia,BOL,Lower middle income,1.3,0.45%,2.89,1.00%,5.79,1.99%,8.1,2.79%,12.45,4.29%,20.26,6.98%,6.91,"2,006",294
Americas,Brazil,BRA,Upper middle income,5.57,1.07%,5.57,1.07%,5.57,1.07%,5.57,1.07%,5.57,1.07%,11.14,2.15%,5.38,"2,789",761
Africa,Botswana,BWA,Upper middle income,4.75,0.85%,4.75,0.85%,8.06,1.44%,8.06,1.44%,19.1,3.41%,27.59,4.92%,11.78,"6,599",638
Africa,Central African Republic,CAF,Low income,4.84,11.40%,6.91,16.29%,10.37,24.44%,15.56,36.66%,25.93,61.10%,43.21,101.83%,578.58,"24,551",43
Asia,China,CHN,Upper middle income,1.43,0.17%,2.86,0.34%,2.86,0.34%,4.28,0.51%,8.57,1.02%,17.14,2.04%,7.00,"5,893",868
Africa,Cote d'Ivoire,CIV,Lower middle income,4.84,2.59%,4.84,2.59%,4.84,2.59%,8.64,4.62%,17.28,9.24%,20.74,11.09%,578.58,"108,175",191
Africa,Cameroon,CMR,Lower middle income,1.24,1.00%,2.18,1.76%,2.18,1.76%,3.58,2.89%,8.99,7.25%,17.28,13.95%,578.58,"71,710",125
Africa,D.R Congo,COD,Low income,2.8,7.23%,7,18.08%,8,20.67%,16,41.33%,25,64.59%,40,103.34%,1.00,"72,586",43
Africa,Congo Brazzaville,COG,Lower middle income,3.46,2.29%,4.32,2.86%,8.47,5.60%,17.28,11.43%,31.11,20.58%,43.21,28.58%,578.58,"87,475",146
Americas,Colombia,COL,Upper middle income,6.72,1.50%,6.72,1.50%,6.72,1.50%,8.91,1.99%,11.21,2.50%,22.28,4.96%,3792.44,"1,702,643",543
Africa,Comoros,COM,Lower middle income,5.65,4.78%,5.65,4.78%,5.65,4.78%,11.3,9.56%,18.44,15.61%,23.05,19.52%,433.77,"51,238",118
