#,Year,Country,Mbps
1,2021,United Arab Emirates,190.03
2,2021,South Korea,189.2
3,2021,Qatar,170.77
4,2021,China,157.72
5,2021,Cyprus,154.13
6,2021,Norway,152.53
7,2021,Saudi Arabia,151.13
8,2021,Kuwait,140.16
9,2021,Australia,122.27
10,2021,Bulgaria,120.44
11,2021,Luxembourg,110.72
12,2021,Switzerland,109.65
13,2021,Netherlands,100.65
14,2021,United States,91.01
15,2021,Sweden,90.57
16,2021,Denmark,89.44
17,2021,Oman,85.96
18,2021,Singapore,85.93
19,2021,Canada,85.91
20,2021,New Zealand,84.22
21,2021,United Kingdom,79.01
22,2021,Bahrain,78.82
23,2021,Hong Kong (SAR),78.06
24,2021,Finland,76.78
25,2021,Greece,76.36
26,2021,Taiwan,74.62
27,2021,France,73.27
28,2021,Croatia,71.51
29,2021,Belgium,70.49
30,2021,Germany,70.48
31,2021,Austria,67.05
32,2021,Macau (SAR),66.67
33,2021,Estonia,65.12
34,2021,Lithuania,63.33
35,2021,Japan,61.59
36,2021,Brunei,59.34
37,2021,Romania,57.71
38,2021,Slovenia,57.64
39,2021,Hungary,57.13
40,2021,Czechia,56.89
41,2021,Maldives,56.83
42,2021,North Macedonia,56.55
43,2021,Albania,56.43
44,2021,Spain,53.01
45,2021,Poland,51.9
46,2021,Malta,51.77
47,2021,Ireland,51.71
48,2021,Italy,50.7
49,2021,Slovakia,50.23
50,2021,Portugal,49.96
51,2021,Thailand,48.89
52,2021,Serbia,48.57
53,2021,South Africa,47.15
54,2021,Israel,46.3
55,2021,Turkey,45.42
56,2021,Latvia,44.55
57,2021,Jamaica,42.95
58,2021,Vietnam,42.46
59,2021,Morocco,39.56
60,2021,Mauritius,39.35
61,2021,Moldova,39.3
62,2021,Lebanon,39.07
63,2021,Iraq,38.52
64,2021,Trinidad and Tobago,38.32
65,2021,Georgia,38.01
66,2021,Azerbaijan,37.24
67,2021,Suriname,35.92
68,2021,The Bahamas,34.67
69,2021,Mexico,34.35
70,2021,Bosnia and Herzegovina,34.32
71,2021,Uruguay,34.01
72,2021,Philippines,33.69
73,2021,Brazil,33.33
74,2021,Armenia,33.13
75,2021,Costa Rica,33.08
76,2021,Botswana,32.19
77,2021,Dominican Republic,32.13
78,2021,Cameroon,31.76
79,2021,Iran,31.65
80,2021,Montenegro,31.55
81,2021,Laos,31.18
82,2021,Ukraine,31.04
83,2021,Tunisia,30.8
84,2021,Kazakhstan,30.43
85,2021,Argentina,30.05
86,2021,Guatemala,28.9
87,2021,Kosovo,28.06
88,2021,Malaysia,28.02
89,2021,Honduras,27.18
90,2021,Russia,27.07
91,2021,Ecuador,25.17
92,2021,Jordan,25.12
93,2021,Egypt,24.99
94,2021,Kyrgyzstan,24.92
95,2021,Peru,24.38
96,2021,Nigeria,23.61
97,2021,Angola,23.55
98,2021,Cambodia,23.48
99,2021,El Salvador,23.22
100,2021,Senegal,22.94
101,2021,Nicaragua,22.74
102,2021,Mongolia,22.7
103,2021,Republic of the Union of Myanmar,22.67
104,2021,Bolivia,22.48
105,2021,Syria,22.39
106,2021,Fiji,22.33
107,2021,Ethiopia,21.92
108,2021,Mozambique,21.8
109,2021,Kenya,21.5
110,2021,Indonesia,21.35
111,2021,Cuba,20.98
112,2021,Nepal,20.57
113,2021,Pakistan,20.33
114,2021,Chile,20.27
115,2021,Haiti,19.95
116,2021,Paraguay,19.77
117,2021,Panama,19.45
118,2021,Uzbekistan,18.61
119,2021,Belarus,18.33
120,2021,Colombia,18.18
121,2021,Namibia,17.92
122,2021,India,17.77
123,2021,Algeria,17.71
124,2021,Samoa,17.46
125,2021,Libya,17.41
126,2021,Uganda,17.07
127,2021,Côte d'Ivoire,16.51
128,2021,Sri Lanka,16.02
129,2021,Zambia,15.48
130,2021,Tajikistan,15.16
131,2021,Sudan,14.34
132,2021,Tanzania,14.14
133,2021,Ghana,13.38
134,2021,Somalia,13.36
135,2021,Bangladesh,12.6
136,2021,Zimbabwe,11.71
137,2021,Palestine,7.62
138,2021,Venezuela,7.61
139,2021,Afghanistan,6.71
