Rank,Country,National Cyber Security Index,Difference,
1,Greece,96.1,32.35,
2,Czech Republic,92.21,23.25,
3,Estonia,90.91,15.05,
4,Portugal,89.61,21.76,
5,Lithuania,88.31,20.01,
6,Spain,88.31,15.7,
7,Poland,87.01,21.66,
8,Belgium,85.71,11.32,
9,Finland,85.71,6.23,
10,France,84.42,6.63,
11,Croatia,83.12,18.95,
12,Slovakia,83.12,17.43,
13,Netherlands,81.82,-1.32,
14,Denmark,81.82,-2.82,
15,Germany,80.52,-0.17,
16,Singapore,80.52,-0.42,
17,United States,79.22,-1.14,
18,Serbia,77.92,18.39,
19,United Kingdom,77.92,-3.47,
20,Italy,76.62,9.58,
21,Switzerland,76.62,-7.29,
22,Ukraine,75.32,22.51,
23,Malaysia,72.73,10.12,
24,Romania,71.43,11.95,
25,Latvia,71.43,4.89,
26,Saudi Arabia,68.83,6.49,
27,Austria,68.83,-7.73,
28,Canada,66.23,-10.08,
29,Australia,66.23,-12.51,
30,Russian Federation,64.94,2.48,
31,Hungary,64.94,0.26,
32,Israel,64.94,-9.37,
33,Philippines,63.64,17.31,
34,Ireland,63.64,-12.52,
35,Japan,63.64,-15.28,
36,Luxembourg,62.34,-17.65,
37,Korea (Republic of),62.34,-19.21,
38,Norway,62.34,-19.7,
39,Bangladesh,59.74,29.08,
40,India,59.74,23.8,
41,Chile,59.74,-0.14,
42,Paraguay,57.14,15.68,
43,Slovenia,57.14,-13.05,
44,Sweden,57.14,-26.29,
45,Georgia,55.84,2.91,
46,North Macedonia,55.84,1.65,
47,Qatar,55.84,-10.34,
48,New Zealand,55.84,-22.45,
49,Iceland,55.84,-24.34,
50,Benin,54.55,28.72,
51,Nigeria,54.55,26.33,
52,Turkey,54.55,-1.47,
53,Dominican Republic,53.25,7.81,
54,Costa Rica,53.25,-5.03,
55,Belarus,53.25,-9.08,
56,Bulgaria,51.95,-9.86,
57,Uganda,50.65,24,
58,Moldova (Republic of),50.65,-5.14,
59,Malta,50.65,-22.01,
60,Kenya,49.35,13.19,
61,Bosnia and Herzegovina,49.35,1.54,
62,Panama,48.05,1.13,
63,Mauritius,48.05,-6.26,
64,Argentina,48.05,-11.08,
65,Uruguay,48.05,-15.19,
66,Colombia,46.75,-3.46,
67,Brazil,46.75,-9.14,
68,Kazakhstan,45.45,-14.19,
69,Pakistan,42.86,14.12,
70,Sri Lanka,42.86,1.98,
71,Thailand,42.86,-12.22,
72,Zambia,41.56,13.59,
73,Albania,41.56,-6.25,
74,Cyprus,41.56,-27.63,
75,Peru,40.26,-5.83,
76,United Arab Emirates,40.26,-28,
77,Indonesia,38.96,-6.05,
78,Mexico,37.66,-12.98,
79,Azerbaijan,37.66,-17.72,
80,Vietnam,36.36,-10.63,
81,Egypt,35.06,-9.37,
82,Ecuador,35.06,-10.24,
83,China,35.06,-22.16,
84,Brunei Darussalam,35.06,-32.44,
85,Rwanda,33.77,4.25,
86,Algeria,33.77,-7.16,
87,Trinidad and Tobago,33.77,-18.24,
88,Montenegro,33.77,-23.91,
89,Oman,33.77,-26.04,
90,Ethiopia,32.47,12.48,
91,Cameroon,32.47,5.64,
92,Venezuela,32.47,-10.67,
93,Côte d'Ivoire,31.17,-0.14,
94,Ghana,31.17,-7.57,
95,Tunisia,31.17,-13.58,
96,Uzbekistan,31.17,-17.83,
97,Armenia,31.17,-23.59,
98,Nepal,28.57,-1.74,
99,Guatemala,28.57,-5.94,
100,Bolivia,28.57,-11.34,
101,Jamaica,28.57,-19.31,
102,South Africa,27.27,-20.16,
103,Bahrain,25.97,-40.82,
104,Tonga,23.38,-20.02,
105,Morocco,23.38,-20.33,
106,Bahamas,23.38,-41.72,
107,Nicaragua,22.08,-10.62,
108,Botswana,22.08,-19.34,
109,Papua New Guinea,22.08,,
110,Malawi,20.78,-0.53,
111,Liberia,19.48,,
112,Mali,19.48,-4.82,
113,El Salvador,19.48,-18.28,
114,Kyrgyzstan,19.48,-21.67,
115,Suriname,19.48,-32.02,
116,Chad,18.18,4.43,
117,Lao PDR,18.18,-14.93,
118,Bhutan,18.18,-18.72,
119,Mongolia,18.18,-27.34,
120,Zimbabwe,15.58,-11.91,
121,Senegal,15.58,-16.17,
122,Syrian Arab Republic,15.58,-17.82,
123,Cambodia,15.58,-18.83,
124,Barbados,15.58,-57.52,
