Indicator,Country,Variable,Unit,Scope,Time,Value,Flags
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Austria,"Individuals who, in the last 12 months, haven't ordered goods or services over the internet, because of trust concerns about receiving or returning goods, complaint / redress concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2005,10.3582,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Austria,"Individuals who, in the last 12 months, haven't ordered goods or services over the internet, because of trust concerns about receiving or returning goods, complaint / redress concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2006,14.6973,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Austria,"Individuals who, in the last 12 months, haven't ordered goods or services over the internet, because of trust concerns about receiving or returning goods, complaint / redress concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2009,25.081,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Austria,"Individuals who, in the last 12 months, haven't ordered goods or services over the internet, because of trust concerns about receiving or returning goods, complaint / redress concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2015,17.0493,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Austria,"Individuals who, in the last 12 months, haven't ordered goods or services over the internet, because of trust concerns about receiving or returning goods, complaint / redress concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2017,15.11467,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Austria,"Individuals who, in the last 12 months, haven't ordered goods or services over the internet, because of trust concerns about receiving or returning goods, complaint / redress concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",All individuals (aged 16-74),2019,16.72749,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Austria,"Individuals who, in the last 12 months, haven't ordered goods or services over the internet, because of trust concerns about receiving or returning goods, complaint / redress concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2005,7.9119,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Austria,"Individuals who, in the last 12 months, haven't ordered goods or services over the internet, because of trust concerns about receiving or returning goods, complaint / redress concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2006,13.7518,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Austria,"Individuals who, in the last 12 months, haven't ordered goods or services over the internet, because of trust concerns about receiving or returning goods, complaint / redress concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2009,24.0688,
"Individuals who did not buy online for payment security, privacy and post-transaction trust concerns",Austria,"Individuals who, in the last 12 months, haven't ordered goods or services over the internet, because of trust concerns about receiving or returning goods, complaint / redress concerns","Percentage of individuals who ordered goods or services, over the internet, for private use, more than a year ago or who never did",Individuals aged 16-24,2015,12.671,
