Administrations,Items,2015,2016,2017,2018,2019
Afghanistan,8.5 Percentage of the population having mail delivered at home,,60,60,50,50
Albania,8.5 Percentage of the population having mail delivered at home,,99.7,96.2,,96.5
Algeria,8.5 Percentage of the population having mail delivered at home,,,100,90,90
Angola,8.5 Percentage of the population having mail delivered at home,"15,00",15,15,21,ND
Antigua and Barbuda,8.5 Percentage of the population having mail delivered at home,"80,00",93,40,,
Argentina,8.5 Percentage of the population having mail delivered at home,"93,00",,,,
Armenia,8.5 Percentage of the population having mail delivered at home,"93,00",100,100,100,100
Australia,8.5 Percentage of the population having mail delivered at home,ND,ND,,ND,ND
Austria,8.5 Percentage of the population having mail delivered at home,"99,00",99,99,99,99
Azerbaijan,8.5 Percentage of the population having mail delivered at home,ND,ND,,ND,ND
Bahamas,8.5 Percentage of the population having mail delivered at home,,,,5,
Bahrain (Kingdom of),8.5 Percentage of the population having mail delivered at home,,70,70,,75
Barbados,8.5 Percentage of the population having mail delivered at home,"100,00",100,100,100,100
Belarus,8.5 Percentage of the population having mail delivered at home,"100,00",100,100,100,100
Belgium,8.5 Percentage of the population having mail delivered at home,"100,00",100,100,100,100
Belize,8.5 Percentage of the population having mail delivered at home,"90,00",90,,90,90
Benin,8.5 Percentage of the population having mail delivered at home,"6,00",6,6,,6
Bermuda,8.5 Percentage of the population having mail delivered at home,"98,00",,,,94
Bhutan,8.5 Percentage of the population having mail delivered at home,,30,30,30,30
Bolivia,8.5 Percentage of the population having mail delivered at home,"35,00",,,,31
Bosnia and Herzegovina,8.5 Percentage of the population having mail delivered at home,"90,00",93.5,96.5,96.5,96
Botswana,8.5 Percentage of the population having mail delivered at home,NA,NG,,1.3,1.33
Brazil,8.5 Percentage of the population having mail delivered at home,"85,53",85.9,96.94,97.32,ND
Brunei Darussalam,8.5 Percentage of the population having mail delivered at home,"85,00",89,92,90,85
Bulgaria (Rep.),8.5 Percentage of the population having mail delivered at home,ND,100,87,87,87
Burkina Faso,8.5 Percentage of the population having mail delivered at home,"0,00",0,NA,NG,ND
Burundi,8.5 Percentage of the population having mail delivered at home,"2,00",3,2.5,3,3
Cambodia,8.5 Percentage of the population having mail delivered at home,,ND,50,5,5
Cameroon,8.5 Percentage of the population having mail delivered at home,,,,5,5
Canada,8.5 Percentage of the population having mail delivered at home,"89,00",89,89,90,90
Cape Verde,8.5 Percentage of the population having mail delivered at home,"39,00",,ND,,
Cayman Islands,8.5 Percentage of the population having mail delivered at home,,,,0,0
Chad,8.5 Percentage of the population having mail delivered at home,ND,ND,,,0.5
Chile,8.5 Percentage of the population having mail delivered at home,"91,70",91.7,91.7,ND,90
China (People's Rep.),8.5 Percentage of the population having mail delivered at home,"99,99",ND,99.99,99.99,99.99
Colombia,8.5 Percentage of the population having mail delivered at home,"75,00",99.63,96.4,98.96,80
Comoros,8.5 Percentage of the population having mail delivered at home,"10,00",10,15,20,3
Congo (Rep.),8.5 Percentage of the population having mail delivered at home,,29.7,29.7,30.3,ND
Costa Rica,8.5 Percentage of the population having mail delivered at home,"97,00",99.5,99.5,98,
Côte d'Ivoire (Rep.),8.5 Percentage of the population having mail delivered at home,ND,19,1,0,ND
Croatia,8.5 Percentage of the population having mail delivered at home,ND,79,78,77,81
Cuba,8.5 Percentage of the population having mail delivered at home,,,,97,97
Cyprus,8.5 Percentage of the population having mail delivered at home,"98,00",98,98,98,
Czech Rep.,8.5 Percentage of the population having mail delivered at home,"99,99",100,100,100,100
Democratic Republic of the Congo,8.5 Percentage of the population having mail delivered at home,"22,00",,30,,30
Denmark,8.5 Percentage of the population having mail delivered at home,"100,00",100,100,100,100
Djibouti,8.5 Percentage of the population having mail delivered at home,"0,00",0,0.02,0.2,0.3
Dominica (Commonwealth of),8.5 Percentage of the population having mail delivered at home,,,,14.3,
Dominican Republic,8.5 Percentage of the population having mail delivered at home,"98,00",98,98,,
Ecuador,8.5 Percentage of the population having mail delivered at home,"57,34",52.18,,64.5,64.51
Egypt,8.5 Percentage of the population having mail delivered at home,,100,100,100,
El Salvador,8.5 Percentage of the population having mail delivered at home,"95,00",88,83,75,85
Eritrea,8.5 Percentage of the population having mail delivered at home,"20,00",,,9,
