user_loc,fr_loc,scaled_sci
HN,BJ,3388
HN,GP,858
HN,BN,405
HN,AG,3154
HN,CI,1481
HN,BB,2085
HN,BR,2304
HN,CH,2066
HN,GT,106509
HN,CA,2674
HN,GA,1123
HN,CY,621
HN,AZ,366
HN,GB,929
HN,GE,285
HN,FJ,624
HN,AT,537
HN,GU,841
HN,GW,1653
HN,CO,14965
HN,DE,828
HN,CD,1174
HN,DJ,849
HN,BE,639
HN,GM,2612
HN,BZ,232787
HN,BF,1067
HN,BS,6175
HN,BD,893
HN,HN,11193009
HN,CM,1167
BE,BA,12918
BE,AE,4705
BE,AW,18170
BE,BB,2501
BE,AM,10078
BE,AR,1380
BE,BE,5319117
BE,AL,22672
BE,BD,410
BE,AU,5093
BE,AG,2714
BE,AZ,1640
BE,AO,6070
BE,AT,16205
CA,BD,2169
CA,BR,1617
CA,BO,754
CA,AG,77552
CA,BT,3276
CA,AE,15074
CA,BA,6036
CA,AW,10925
CA,BW,3315
CA,BB,78271
CA,BJ,4003
CA,BI,18952
CA,AL,6379
CA,BE,6895
CA,AM,3802
CA,AR,1107
CA,BN,5573
CA,BY,2048
CA,BZ,13490
CA,CA,1353784
CA,BG,3116
CA,BF,5696
CA,AU,19159
CA,AZ,1341
CA,BS,67737
CA,AO,1650
CA,AT,5278
CA,BH,8925
SI,MU,1912
SI,IN,227
SI,BO,399
SI,PH,550
SI,LK,678
SI,ES,5794
SI,LS,232
SI,CM,675
SI,MA,995
SI,BR,600
SI,FI,9473
SI,GR,8164
SI,BZ,3078
SI,MW,343
SI,GF,1383
SI,GT,265
SI,KG,604
SI,BS,1119
SI,BT,599
SI,SI,48677887
SI,FJ,452
SI,LB,1381
SI,BD,282
SI,RO,5248
SI,AE,2993
SI,MY,523
SI,KR,690
SI,BA,1317027
SI,BW,422
SI,OM,697
SI,HK,1167
SI,MO,1128
SI,PA,772
SI,BB,1857
SI,KY,8687
SI,MM,78
SI,HU,15449
SI,DK,10278
SI,MG,880
SI,MN,738
SI,RW,1099
SI,SA,493
SI,PF,2142
SI,JO,851
SI,ML,672
SI,GU,873
SI,IM,3332
SI,QA,2274
SI,NI,410
SI,GA,890
SI,MX,501
SI,RS,308001
SI,MR,238
SI,AM,1241
SI,GD,1192
SI,PT,7273
SI,ME,302138
SI,MQ,1107
SI,PE,473
SI,DZ,612
SI,CA,4173
SI,LY,403
SI,BJ,3498
SI,CR,1011
SI,BN,688
SI,HT,313
SI,NP,467
SI,LA,147
SI,GN,459
SI,BI,537
SI,AR,1404
SI,IS,28842
SI,FR,4545
SI,DE,30112
SI,EG,604
SI,AW,3262
SI,HR,535512
SI,BE,13643
SI,JP,974
SI,LT,6622
SI,NG,611
SI,CL,884
SI,KZ,976
SI,AG,1649
SI,NA,703
SI,LC,1641
SI,AL,18000
SI,KE,697
SI,ET,353
SI,GH,1116
SI,KW,1030
SI,EC,505
SI,MK,532174
SI,CH,77295
SI,PY,544
SI,BY,6103
SI,RE,1156
SI,MD,3317
SI,PK,503
SI,EE,10690
SI,CY,12596
SI,IE,9391
SI,GP,1282
SI,MV,5743
SI,KM,644
SI,PG,293
SI,MT,37889
SI,CV,2845
SI,CF,586
SI,PL,4475
SI,CG,536
SI,JE,5762
SI,NO,10867
SI,GB,6915
SI,AU,6299
SI,GM,7062
SI,BF,651
SI,NL,14097
SI,CD,298
SI,NE,504
SI,KH,224
SI,NZ,6377
SI,KI,433
SI,SC,3327
SI,GW,1399
SI,IT,17732
SI,LR,1211
SI,LU,51567
SI,MZ,357
SI,BG,16005
SI,NC,1206
SI,DJ,282
SI,ID,337
SI,JM,1450
SI,SB,486
SI,GQ,831
SI,GE,2236
SI,CO,558
SI,AZ,1081
SI,CI,500
SI,CZ,13516
SI,AO,465
SI,PR,863
SI,SG,1990
SI,CW,2165
SI,AT,198260
SI,DO,1966
SI,GY,436
SI,BH,1086
SI,LV,10309
SI,SE,14418
SI,HN,237
GN,FJ,917
GN,ES,14014
GN,GF,32487
GN,BR,1202
GN,CM,173992
GN,AG,3821
GN,BO,609
GN,AE,7537
GN,BA,500
GN,GN,38971754
GN,AW,1133
GN,BB,1965
GN,DK,906
GN,FR,82894
GN,BW,27883
GN,GD,4417
GN,BT,321
GN,CY,52210
GN,GA,275007
GN,FI,1306
GN,DZ,29947
GN,BJ,121005
GN,AM,474
GN,BN,579
GN,BI,56364
GN,AL,1285
GN,AR,644
GN,CO,910
GN,EG,6527
GN,BG,581
BT,BI,613
BT,AM,584
BT,BJ,1462
BT,AL,341
BT,AR,284
BT,BD,5710
BT,BN,2782
BT,BG,445
BT,AU,59645
BT,BF,325
BT,BE,1666
BT,AZ,434
BT,AO,510
BT,AT,1481
BT,BH,42433
AZ,AG,475
AZ,AE,3636
AZ,AR,293
AZ,AM,138039
AZ,AW,379
AZ,AL,1587
AZ,AU,527
AZ,AZ,8643109
AZ,AO,1112
AZ,AT,3085
BD,BA,1323
BD,AW,366
BD,AM,242
BD,AG,679
BD,AE,82807
BD,BB,399
BD,BD,1338981
BD,AR,305
BD,AL,562
BD,AU,2453
BD,AZ,994
BD,AO,2105
BD,AT,721
QA,FJ,5357
QA,FI,3196
QA,GR,9165
QA,IN,33384
QA,BO,752
QA,KE,151666
QA,PH,83179
QA,GT,574
QA,GF,1577
QA,BD,202203
QA,BA,6854
QA,ES,2649
QA,MN,711
QA,BR,973
QA,MA,13353
QA,LK,298170
QA,HU,1617
QA,QA,3251521
QA,KI,4064
QA,EE,1471
QA,GU,24404
QA,IM,8209
QA,KR,4168
QA,BT,44347
QA,JO,72132
QA,BB,2352
QA,HK,14314
QA,AW,4762
QA,NO,4609
QA,MW,3480
QA,PL,961
QA,GD,3046
QA,LY,9687
QA,FR,4341
QA,GN,12576
QA,LS,2248
QA,MQ,719
QA,MM,1418
QA,MG,3060
QA,PF,1179
QA,AG,4292
QA,CM,5390
QA,AE,325801
QA,BS,3813
QA,MO,30296
QA,BW,3923
QA,PE,678
QA,NI,1386
QA,PT,6371
QA,ML,3793
QA,MX,553
QA,PY,1749
QA,DZ,4730
QA,ET,55621
QA,BI,10651
QA,KW,233630
QA,ME,4005
QA,ID,3853
QA,MR,46060
QA,IS,5153
QA,KH,1623
QA,BJ,3203
QA,NC,715
QA,CO,920
QA,LA,1148
QA,DK,3420
QA,EG,39444
QA,NL,3654
QA,GP,983
QA,AR,662
QA,EC,844
QA,LT,1185
QA,LC,2693
QA,GA,3006
QA,GH,27548
QA,CL,576
QA,CH,6207
QA,BY,2316
QA,MU,22031
QA,MK,7481
QA,MD,2047
QA,KM,11719
QA,CD,2530
QA,NE,4872
QA,CY,30950
QA,AU,11202
QA,LB,89888
QA,PA,1595
QA,GB,9444
QA,PG,4035
QA,LU,5253
QA,MV,167704
QA,OM,328978
QA,CF,5623
QA,KG,3109
QA,IE,11325
QA,MZ,3746
QA,HR,3781
QA,MY,33436
QA,DE,4191
QA,CV,2188
QA,CG,3364
QA,JE,5317
QA,NZ,13841
QA,KY,39822
QA,IT,5095
QA,LR,10872
QA,CA,11409
QA,BF,4251
QA,JM,4021
QA,GQ,7495
QA,JP,4765
QA,BZ,2330
QA,BE,3124
QA,NP,409749
QA,DJ,24349
QA,GM,32375
QA,AL,2843
QA,HT,1870
QA,AM,1750
QA,GW,3137
QA,NG,7169
QA,CR,1767
QA,AZ,2503
QA,BN,56301
QA,NA,5385
QA,KZ,1420
QA,PK,42733
QA,GE,2716
QA,CI,2995
QA,BG,1555
QA,CZ,1185
QA,MT,31365
QA,AO,2492
QA,PR,759
QA,CW,2404
QA,AT,3504
QA,DO,1459
QA,GY,5089
QA,BH,364094
QA,LV,1684
QA,HN,1301
GY,BZ,895021
