Firms with website (% of total) | 2018,,,,,,,
"Source: OECD, ICT Access and Use by Businesses, OECD Telecommunications and Internet Statistics (database) (https://doi.org/10.1787/9d2cb97b-en); World Bank, Enterprise Surveys (www. enterprisesurveys.org)",,,,,,,
RANK,COUNTRY/ECONOMY,VALUE,SCORE,,,,
1,Finland,95.64,100,,,,
2,Denmark,93.92,98.01,,,,
3,Japan,92.4,96.24,,,,
4,Netherlands,91.89,95.65,,,,
5,Switzerland,91.74,95.48,,,,
6,Sweden,89.65,93.05,,,,
7,Austria,89.45,92.82,,,,
8,Germany,88.21,91.38,,,,
9,Belgium,86.72,89.65,,,,
10,United Kingdom,83.88,86.35,,,,
11,Luxembourg,83.67,86.11,,,,
12,Czech Republic,83.31,85.69,,,,
13,Malta,83.3,85.68,,,,
14,Slovenia,82.76,85.05,,,,
15,Iceland,82.57,84.83,,,,
16,Estonia,81.18,83.22,,,,
17,New Zealand,81.05,83.07,,,,
18,Lithuania,79.96,81.8,,,,
19,Serbia,79.1,80.8,,,,
20,Chile,78.7,80.34,,,,
21,Ireland,78.68,80.32,,,,
22,Canada,78.5,80.11,,,,
23,Ecuador,78.3,79.87,,,,
24,Norway,78.22,79.79,,,,
25,Australia,77.37,78.79,,,,
26,Jordan,77.1,78.48,,,,
27,Spain,75.87,77.05,,,,
28,Armenia,75.6,76.74,,,,
29,Croatia,74.9,75.93,,,,
30,Belarus,73.5,74.3,,,,
31,Slovakia,73.18,73.94,,,,
32,United States,72.85,73.55,,,,
33,Italy,72.08,72.66,,,,
34,Paraguay,71.6,72.1,,,,
35,France,71.54,72.02,,,,
36,Cyprus,71.5,71.98,,,,
37,Poland,70.22,70.49,,,,
38,Argentina,69.3,69.43,,,,
39,Peru,69.2,69.31,,,,
40,Uruguay,69.1,69.19,,,,
41,Bosnia and Herzegovina,68.1,68.03,,,,
42,Colombia,67.81,67.7,,,,
43,Romania,67.8,67.68,,,,
44,Israel,67.2,66.99,,,,
45,Tunisia,66.3,65.94,,,,
46,China,66.1,65.71,,,,
47,"Korea, Rep.",65.44,64.94,,,,
48,Latvia,64.15,63.45,,,,
49,Ukraine,63.9,63.16,,,,
50,Lebanon,63.5,62.69,,,,
50,North Macedonia,63.5,62.69,,,,
52,Eswatini,62.5,61.53,,,,
53,Hungary,62.47,61.49,,,,
54,Albania,59.8,58.4,,,,
55,Greece,59.3,57.81,,,,
56,Zambia,59,57.47,,,,
57,Portugal,58.61,57.01,,,,
58,Russian Federation,58.5,56.89,,,,
59,Guatemala,58,56.31,,,,
60,Kyrgyzstan,57.2,55.38,,,,
61,Morocco,55.4,53.29,,,,
62,Costa Rica,54,51.66,,,,
63,Brazil,52.9,50.38,,,,
64,Philippines,52.4,49.81,,,,
65,Egypt,51.7,48.99,,,,
66,Turkey,51.51,48.78,,,,
67,Venezuela,51.5,48.76,,,,
68,Georgia,51.2,48.41,,,,
69,Kazakhstan,50.4,47.48,,,,
70,Bolivia,49.4,46.32,,,,
71,India,48.9,45.74,,,,
72,Viet Nam,48.6,45.39,,,,
73,Moldova,48.1,44.81,,,,
74,Kenya,47.3,43.88,,,,
75,Pakistan,46.9,43.42,,,,
76,Bulgaria,45.7,42.03,,,,
77,Thailand,45.5,41.79,,,,
78,Malawi,44.9,41.1,,,,
79,Honduras,43.5,39.47,,,,
80,Rwanda,42.6,38.43,,,,
81,El Salvador,42.5,38.31,,,,
82,Mali,42.2,37.96,,,,
83,Dominican Republic,42,37.73,,,,
84,Mexico,41.45,37.09,,,,
85,Montenegro,41,36.57,,,,
86,Panama,40.5,35.99,,,,
87,Mozambique,40.3,35.76,,,,
88,Namibia,39.4,34.71,,,,
89,Zimbabwe,38.7,33.9,,,,
90,Benin,38.3,33.44,,,,
91,Mongolia,37.5,32.51,,,,
92,Botswana,36.6,31.46,,,,
93,Jamaica,36.4,31.23,,,,
94,South Africa,36,30.77,,,,
95,Mauritius,35.9,30.65,,,,
96,Ethiopia,34.8,29.37,,,,
97,Senegal,34.6,29.14,,,,
98,Ghana,33.2,27.51,,,,
99,Azerbaijan,33,27.28,,,,
100,Malaysia,31.5,25.54,,,,
101,Lao PDR,30.9,24.84,,,,
102,Trinidad and Tobago,30.8,24.73,,,,
103,Madagascar,29.5,23.22,,,,
104,Angola,28.9,22.52,,,,
105,Tajikistan,28.2,21.71,,,,
106,Bangladesh,26.3,19.5,,,,
107,Nepal,26.1,19.27,,,,
108,Burundi,25.6,18.69,,,,
109,Cambodia,24.2,17.07,,,,
110,Cameroon,22.6,15.21,,,,
110,Tanzania,22.6,15.21,,,,
112,Gambia,22.4,14.98,,,,
113,Nigeria,22.3,14.86,,,,
114,Yemen,21,13.35,,,,
115,Indonesia,20.5,12.77,,,,
116,Cabo Verde,19.2,11.26,,,,
116,Uganda,19.2,11.26,,,,
118,Guinea,19,11.03,,,,
119,Sri Lanka,18.6,10.56,,,,
120,Côte d'Ivoire,18.1,9.98,,,,
121,Burkina Faso,17.2,8.94,,,,
122,"Congo, Dem. Rep.",17,8.71,,,,
123,Lesotho,14.9,6.27,,,,
124,Chad,9.5,0,,,,
,Algeria,n/a,n/a,,,,
,Bahrain,n/a,n/a,,,,
,Hong Kong (China),n/a,n/a,,,,
,"Iran, Islamic Rep.",n/a,n/a,,,,
,Kuwait,n/a,n/a,,,,
,Oman,n/a,n/a,,,,
,Qatar,n/a,n/a,,,,
,Saudi Arabia,n/a,n/a,,,,
,Singapore,n/a,n/a,,,,
,United Arab Emirates,n/a,n/a,,,,
