Region,Subregion,Country_Name,ISO3,Cost_100_MB_USD,Cost_100_MB_Share_GNICM,Cost_500_MB_USD,Cost_500_MB_Share_GNICM,Cost_1_GB_USD,Cost_1_GB_Share_GNICM,Cost_2_GB_USD,Cost_2_GB_Share_GNICM,Cost_5_GB_USD,Cost_5_GB_Share_GNICM,Cost_10_GB_USD,Cost_10_GB_Share_GNICM,GBs_per_2%_GNICM
Asia,Southern Asia,Afghanistan,AFG,1.91,0.04,1.91,0.04,1.91,0.04,2.55,0.06,6.38,0.14,12.74,0.28,0.48
Africa,Northern Africa,Algeria,DZA,6.70,0.02,6.70,0.02,6.70,0.02,12.57,0.04,16.76,0.05,16.76,0.05,1.01
Africa,Middle Africa,Angola,AGO,2.13,0.01,6.10,0.02,6.10,0.02,9.15,0.03,15.25,0.05,30.49,0.11,0.92
Americas,Southern America,Argentina,ARG,6.84,0.01,6.84,0.01,6.84,0.01,6.84,0.01,8.44,0.01,15.05,0.01,3.01
Asia,Southern Asia,Bangladesh,BGD,0.59,0.00,1.89,0.01,2.24,0.02,3.43,0.02,4.73,0.03,7.69,0.05,1.30
Americas,Central America,Belize,BLZ,17.38,0.04,17.38,0.04,17.38,0.04,17.38,0.04,17.38,0.04,34.75,0.09,0.45
Africa,Western Africa,Benin,BEN,4.28,0.06,4.28,0.06,4.28,0.06,6.85,0.09,10.28,0.14,20.55,0.28,0.34
Americas,Southern America,Bolivia,BOL,1.30,0.00,2.90,0.01,5.79,0.02,7.24,0.03,12.16,0.04,24.32,0.09,0.97
Africa,Southern Africa,Botswana,BWA,5.59,0.01,8.85,0.01,8.85,0.01,13.51,0.02,32.01,0.05,62.29,0.10,1.46
Americas,Southern America,Brazil,BRA,9.83,0.01,9.83,0.01,9.83,0.01,9.83,0.01,13.47,0.02,16.38,0.02,1.55
Africa,Western Africa,Burkina Faso,BFA,2.57,0.05,2.57,0.05,4.28,0.08,6.85,0.12,13.70,0.25,25.69,0.47,0.26
Africa,Eastern Africa,Burundi,BDI,0.55,0.02,2.18,0.09,3.17,0.14,3.51,0.15,8.42,0.36,16.37,0.70,0.15
Asia,South-Eastern Asia,Cambodia,KHM,1.00,0.01,1.00,0.01,2.00,0.02,2.50,0.02,4.50,0.04,8.50,0.07,1.15
Africa,Middle Africa,Cameroon,CMR,1.32,0.01,2.91,0.02,3.43,0.03,5.14,0.04,8.56,0.07,17.13,0.14,0.70
Africa,Western Africa,Cape Verde,CPV,5.09,0.02,5.09,0.02,5.09,0.02,5.09,0.02,5.09,0.02,10.19,0.04,1.13
Africa,Middle Africa,Central African Republic,CAF,5.14,0.13,7.34,0.18,9.05,0.23,13.58,0.34,25.69,0.64,42.82,1.07,0.09
Africa,Middle Africa,Chad,TCD,5.14,0.09,10.28,0.18,11.99,0.21,17.13,0.31,20.55,0.37,34.25,0.61,0.09
Asia,Eastern Asia,China,CHN,5.57,0.01,5.57,0.01,5.57,0.01,8.50,0.01,12.90,0.02,20.23,0.03,2.83
Americas,Southern America,Colombia,COL,9.26,0.02,9.26,0.02,9.26,0.02,12.35,0.02,28.41,0.06,56.81,0.11,1.11
Africa,Eastern Africa,Comoros,COM,5.99,0.05,5.99,0.05,5.99,0.05,9.13,0.08,17.12,0.16,22.82,0.21,0.37
Africa,Middle Africa,Congo Brazzaville,COG,3.67,0.03,4.53,0.03,8.73,0.06,17.13,0.13,30.83,0.23,42.82,0.31,0.31
Americas,Central America,Costa Rica,CRI,6.75,0.01,6.75,0.01,6.75,0.01,6.75,0.01,20.26,0.02,33.76,0.04,2.84
Africa,Western Africa,Cote d'Ivoire,CIV,3.43,0.03,3.43,0.03,6.85,0.05,8.56,0.06,17.13,0.13,25.69,0.19,0.39
Americas,Caribbean,Cuba,CUB,7.01,NA,7.01,NA,10.01,NA,20.02,NA,40.03,NA,80.06,NA,NA
Africa,Middle Africa,D.R. Congo,COD,10.71,0.26,10.71,0.26,10.71,0.26,13.21,0.32,25.00,0.61,50.00,1.22,0.08
Americas,Caribbean,Dominican Republic,DOM,7.90,0.01,7.90,0.01,7.90,0.01,11.85,0.02,16.59,0.03,16.59,0.03,1.56
Americas,Southern America,Ecuador,ECU,10.00,0.02,10.00,0.02,10.00,0.02,10.00,0.02,20.00,0.04,40.00,0.08,1.02
Africa,Northern Africa,Egypt,EGY,0.29,0.00,0.59,0.00,1.18,0.01,2.35,0.01,4.71,0.02,8.82,0.04,3.97
Americas,Central America,El Salvador,SLV,10.00,0.03,10.00,0.03,10.00,0.03,15.00,0.05,15.00,0.05,15.00,0.05,0.64
Africa,West Africa,Equatorial Guinea,GNQ,25.69,NA,29.11,NA,34.25,NA,68.51,NA,137.01,NA,274.02,NA,NA
Africa,Eastern Africa,Ethiopia,ETH,3.13,0.05,3.13,0.05,3.48,0.05,6.61,0.10,14.70,0.22,24.34,0.37,0.38
Oceania,Melanesia,Fiji,FJI,13.94,0.03,13.94,0.03,13.94,0.03,13.94,0.03,13.94,0.03,13.94,0.03,0.70
Africa,Middle Africa,Gabon,GAB,5.14,0.01,5.14,0.01,6.85,0.01,10.28,0.02,25.69,0.05,25.69,0.05,1.65
Africa,Western Africa,Gambia,GMB,0.81,0.01,2.92,0.05,5.04,0.09,9.98,0.17,15.53,0.27,26.21,0.45,0.23
Asia,Western Asia,Georgia,GEO,1.82,0.01,1.82,0.01,1.82,0.01,3.28,0.01,4.37,0.01,8.74,0.03,3.78
Africa,Western Africa,Ghana,GHA,0.82,0.00,2.45,0.01,3.60,0.02,6.46,0.04,10.08,0.06,17.17,0.10,0.99
Americas,Central America,Guatemala,GTM,12.91,0.04,12.91,0.04,12.91,0.04,12.91,0.04,12.91,0.04,19.56,0.05,0.57
Africa,Western Africa,Guinea,GIN,3.22,0.05,3.22,0.05,3.65,0.05,5.47,0.08,9.63,0.14,16.14,0.23,0.38
Africa,Western Africa,Guinea-Bissau,GNB,5.14,0.08,7.34,0.12,12.48,0.20,17.13,0.27,17.13,0.27,25.69,0.41,0.10
Americas,Southern America,Guyana,GUY,2.20,0.01,5.75,0.01,8.14,0.02,16.28,0.04,32.83,0.08,54.58,0.14,0.97
Americas,Caribbean,Haiti,HTI,2.03,0.03,2.03,0.03,2.03,0.03,2.03,0.03,3.26,0.05,5.09,0.08,0.66
Americas,Central America,Honduras,HND,18.76,0.10,18.76,0.10,18.76,0.10,22.28,0.11,28.14,0.14,49.58,0.26,0.21
Asia,Southern Asia,India,IND,0.43,0.00,0.51,0.00,0.75,0.00,0.75,0.00,1.46,0.01,2.86,0.02,4.47
Asia,South-Eastern Asia,Indonesia,IDN,3.86,0.01,3.86,0.01,3.86,0.01,4.07,0.01,8.14,0.03,12.21,0.04,1.66
Asia,Southern Asia,Iran,IRN,1.92,NA,1.92,NA,1.92,NA,3.84,NA,6.12,NA,8.82,NA,NA
Americas,Caribbean,Jamaica,JAM,2.03,0.00,3.93,0.01,7.72,0.02,10.98,0.03,16.69,0.04,22.76,0.05,1.08
