Country Name,Indicator,data_col,higher_is_better,Pillar,Sub-Pillar,indicator_score,country_sub_pillar_score,country_sub_pillar_rank,country_pillar_score,country_pillar_rank,data_availability,country_pillar_availability,Data Source,Data Link,Year
Germany,"Cloud Services (Spend, IT Forecast Data)",18.2,True,Business,Technology Adoption,1.90818,4.376244534444444,10,4.329397146874871,11,100.0,100.0,Statista,https://www.statista.com,2018
Japan,"Cloud Services (Spend, IT Forecast Data)",20.3,True,Business,Technology Adoption,2.01297,4.1947643333333335,20,3.9471490300686334,28,66.66666666666666,100.0,Statista,https://www.statista.com,2018
United States of America (the),"Cloud Services (Spend, IT Forecast Data)",18.0,True,Business,Technology Adoption,1.8982,4.039284250000001,27,4.679573421062759,1,77.77777777777779,100.0,Statista,https://www.statista.com,2018
United Kingdom of Great Britain and Northern Ireland (the),"Cloud Services (Spend, IT Forecast Data)",19.8,True,Business,Technology Adoption,1.9880200000000001,4.232284975000001,15,4.332976272885185,10,88.88888888888889,100.0,Statista,https://www.statista.com,2018
Australia,"Cloud Services (Spend, IT Forecast Data)",16.1,True,Business,Technology Adoption,1.80339,4.063444166666667,26,4.087538596225902,18,66.66666666666666,100.0,Statista,https://www.statista.com,2018
Singapore,"Cloud Services (Spend, IT Forecast Data)",20.7,True,Business,Technology Adoption,2.03293,4.594197200000001,5,4.653328502577223,2,55.55555555555556,100.0,Statista,https://www.statista.com,2018
Canada,"Cloud Services (Spend, IT Forecast Data)",17.0,True,Business,Technology Adoption,1.8483,4.142535666666667,23,4.2785052683834826,14,66.66666666666666,100.0,Statista,https://www.statista.com,2018
France,"Cloud Services (Spend, IT Forecast Data)",17.3,True,Business,Technology Adoption,1.86327,4.037625629444445,28,3.982531886081428,26,100.0,100.0,Statista,https://www.statista.com,2018
Italy,"Cloud Services (Spend, IT Forecast Data)",15.0,True,Business,Technology Adoption,1.7485,3.797255006322222,35,3.1166606347015264,95,100.0,100.0,Statista,https://www.statista.com,2018
Spain,"Cloud Services (Spend, IT Forecast Data)",16.6,True,Business,Technology Adoption,1.82834,3.869367569944445,33,3.6623118607801857,39,100.0,100.0,Statista,https://www.statista.com,2018
Poland,"Cloud Services (Spend, IT Forecast Data)",14.7,True,Business,Technology Adoption,1.73353,3.6135163256666667,46,3.24122442899712,86,100.0,100.0,Statista,https://www.statista.com,2018
Republic of Korea (the),"Cloud Services (Spend, IT Forecast Data)",19.9,True,Business,Technology Adoption,1.99301,4.2033305,19,3.863264980673119,33,66.66666666666666,100.0,Statista,https://www.statista.com,2018
Mexico,"Cloud Services (Spend, IT Forecast Data)",9.1,True,Business,Technology Adoption,1.4540899999999999,2.9416921666666664,83,3.442415423669333,66,66.66666666666666,100.0,Statista,https://www.statista.com,2018
Malaysia,"Cloud Services (Spend, IT Forecast Data)",13.5,True,Business,Technology Adoption,1.6736499999999999,3.6782993333333334,43,3.9154892425320127,31,66.66666666666666,100.0,Statista,https://www.statista.com,2018
South Africa,"Cloud Services (Spend, IT Forecast Data)",10.3,True,Business,Technology Adoption,1.51397,2.730615166666667,100,2.8544787847012767,124,66.66666666666666,100.0,Statista,https://www.statista.com,2018
Turkey,"Cloud Services (Spend, IT Forecast Data)",11.1,True,Business,Technology Adoption,1.55389,3.486953625,52,3.4022122169319555,68,88.88888888888889,100.0,Statista,https://www.statista.com,2018
Argentina,"Cloud Services (Spend, IT Forecast Data)",10.8,True,Business,Technology Adoption,1.53892,3.0322606666666663,80,2.756082121750667,137,66.66666666666666,100.0,Statista,https://www.statista.com,2018
Brazil,"Cloud Services (Spend, IT Forecast Data)",11.5,True,Business,Technology Adoption,1.57385,3.0366684999999998,79,2.88986541620416,115,66.66666666666666,100.0,Statista,https://www.statista.com,2018
Thailand,"Cloud Services (Spend, IT Forecast Data)",11.1,True,Business,Technology Adoption,1.55389,3.3305795000000002,62,3.593155255574178,46,66.66666666666666,100.0,Statista,https://www.statista.com,2018
India,"Cloud Services (Spend, IT Forecast Data)",6.9,True,Business,Technology Adoption,1.3443100000000001,2.936036833333333,84,3.4953275495993466,60,66.66666666666666,100.0,Statista,https://www.statista.com,2018
Russian Federation (the),"Cloud Services (Spend, IT Forecast Data)",15.7,True,Business,Technology Adoption,1.78343,3.5122155,51,3.211197769521148,87,66.66666666666666,100.0,Statista,https://www.statista.com,2018
China,"Cloud Services (Spend, IT Forecast Data)",12.7,True,Business,Technology Adoption,1.63373,3.4829241999999994,53,3.6605058995041553,40,55.55555555555556,100.0,Statista,https://www.statista.com,2018
Indonesia,"Cloud Services (Spend, IT Forecast Data)",8.2,True,Business,Technology Adoption,1.40918,2.9443535,82,3.3405073700228662,75,66.66666666666666,100.0,Statista,https://www.statista.com,2018
Viet Nam,"Cloud Services (Spend, IT Forecast Data)",8.6,True,Business,Technology Adoption,1.4291399999999999,3.2930713333333337,66,3.32541568340137,77,66.66666666666666,100.0,Statista,https://www.statista.com,2018
Albania,Ease of finding skilled employees,3.89,True,Business,Startup Environment,3.88422,4.300470930211533,38,3.2851176394038446,81,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Algeria,Ease of finding skilled employees,4.12,True,Business,Startup Environment,4.11376,2.31842462377494,170,2.7631207182660913,136,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Angola,Ease of finding skilled employees,2.76,True,Business,Startup Environment,2.75648,1.8735605103363255,180,1.7685685452859972,184,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Argentina,Ease of finding skilled employees,4.19,True,Business,Startup Environment,4.18362,3.1313605936503337,132,2.756082121750667,137,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Armenia,Ease of finding skilled employees,4.03,True,Business,Startup Environment,4.02394,4.1735945961795995,45,3.4595925632393105,65,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Australia,Ease of finding skilled employees,4.57,True,Business,Startup Environment,4.56286,5.087570125004372,5,4.087538596225902,18,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Austria,Ease of finding skilled employees,4.45,True,Business,Startup Environment,4.4431,3.488272259810327,107,3.656464423123442,41,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Azerbaijan,Ease of finding skilled employees,4.79,True,Business,Startup Environment,4.78242,5.017464135003601,6,3.9871538168617557,25,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Bahrain,Ease of finding skilled employees,4.91,True,Business,Startup Environment,4.9021799999999995,3.7949448652995996,77,3.6813394056309776,38,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Bangladesh,Ease of finding skilled employees,3.67,True,Business,Startup Environment,3.6646599999999996,2.893826653820523,149,2.4893238866423966,158,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Barbados,Ease of finding skilled employees,4.61,True,Business,Startup Environment,4.60278,3.661189824561404,89,2.754914636319035,138,50.0,66.66666666666666,World Bank: GovData,https://datacatalog.worldbank.org,2019
Belgium,Ease of finding skilled employees,4.73,True,Business,Startup Environment,4.72254,4.628200017785372,14,4.082550031595123,20,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Benin,Ease of finding skilled employees,4.65,True,Business,Startup Environment,4.6427000000000005,3.502562540136,103,2.723923270511444,142,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Bolivia (Plurinational State of),Ease of finding skilled employees,3.68,True,Business,Startup Environment,3.67464,2.244060737720729,173,2.3297319685574656,169,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Bosnia and Herzegovina,Ease of finding skilled employees,3.29,True,Business,Startup Environment,3.2854200000000002,3.2170343517053843,124,2.8067547039740166,133,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Botswana,Ease of finding skilled employees,3.98,True,Business,Startup Environment,3.9740399999999996,3.3167538784684623,118,2.6727290113122653,145,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Brazil,Ease of finding skilled employees,3.38,True,Business,Startup Environment,3.37524,2.892758070097481,150,2.88986541620416,115,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Brunei Darussalam,Ease of finding skilled employees,3.99,True,Business,Startup Environment,3.98402,5.0104391799926,7,3.9170770852663,30,83.33333333333334,66.66666666666666,World Bank: GovData,https://datacatalog.worldbank.org,2019
Bulgaria,Ease of finding skilled employees,3.62,True,Business,Startup Environment,3.6147600000000004,3.2008915270570584,125,3.284715313470686,82,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Burkina Faso,Ease of finding skilled employees,3.86,True,Business,Startup Environment,3.85428,3.1546409570536005,131,2.2438458639634224,171,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Burundi,Ease of finding skilled employees,4.63,True,Business,Startup Environment,4.622739999999999,3.8781355555555552,70,2.824244407011852,130,50.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Cabo Verde,Ease of finding skilled employees,4.21,True,Business,Startup Environment,4.20358,3.048690787682067,140,2.7496068905806887,139,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Cambodia,Ease of finding skilled employees,3.5,True,Business,Startup Environment,3.495,3.541917680274596,98,2.855189147304866,123,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Cameroon,Ease of finding skilled employees,4.42,True,Business,Startup Environment,4.4131599999999995,3.4235308231082002,109,2.783030557460511,134,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Canada,Ease of finding skilled employees,4.87,True,Business,Startup Environment,4.86226,5.1945256213637805,3,4.2785052683834826,14,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Chad,Ease of finding skilled employees,3.85,True,Business,Startup Environment,3.8443000000000005,3.058001960784314,138,2.1918920224031044,173,50.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Chile,Ease of finding skilled employees,4.86,True,Business,Startup Environment,4.85228,4.277510715476867,40,3.7292524885984,37,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
China,Ease of finding skilled employees,4.58,True,Business,Startup Environment,4.57284,3.6559257150374664,91,3.6605058995041553,40,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Colombia,Ease of finding skilled employees,4.31,True,Business,Startup Environment,4.30338,4.6092926159257335,16,3.5765755377219115,48,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Costa Rica,Ease of finding skilled employees,4.81,True,Business,Startup Environment,4.802379999999999,4.235749778556204,42,3.3593227570215123,71,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Croatia,Ease of finding skilled employees,3.15,True,Business,Startup Environment,3.1456999999999997,3.236483314924923,122,3.09645338602553,97,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Cyprus,Ease of finding skilled employees,4.73,True,Business,Startup Environment,4.72254,4.423698565177067,28,3.5073976914423555,59,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Czechia,Ease of finding skilled employees,3.25,True,Business,Startup Environment,3.2455,3.376466292955292,114,3.6375079143992646,44,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Denmark,Ease of finding skilled employees,4.92,True,Business,Startup Environment,4.91216,4.903750012997394,8,4.4639410435980205,4,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Dominican Republic (the),Ease of finding skilled employees,4.11,True,Business,Startup Environment,4.10378,2.93988708065013,145,3.0204821469955987,102,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Ecuador,Ease of finding skilled employees,4.16,True,Business,Startup Environment,4.15368,2.558396662823349,160,2.606277345843339,149,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Egypt,Ease of finding skilled employees,4.01,True,Business,Startup Environment,4.003979999999999,3.357729560928533,115,3.1399802008128446,93,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
El Salvador,Ease of finding skilled employees,3.79,True,Business,Startup Environment,3.78442,3.9102757101246626,69,2.9243106205832206,113,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Estonia,Ease of finding skilled employees,3.53,True,Business,Startup Environment,3.52494,4.446396928462765,27,4.013966412327589,24,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Ethiopia,Ease of finding skilled employees,3.64,True,Business,Startup Environment,3.6347199999999997,2.3205026965866353,169,2.5133438178277676,156,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Finland,Ease of finding skilled employees,5.2,True,Business,Startup Environment,5.1916,4.422562451529683,29,4.449479533918069,7,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
France,Ease of finding skilled employees,4.58,True,Business,Startup Environment,4.57284,4.229423454788172,43,3.982531886081428,26,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Gabon,Ease of finding skilled employees,3.84,True,Business,Startup Environment,3.83432,3.773106666666667,81,2.8076681944444446,132,50.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Gambia (the),Ease of finding skilled employees,4.61,True,Business,Startup Environment,4.60278,4.164593333333333,46,3.001275377403889,104,50.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Georgia,Ease of finding skilled employees,3.56,True,Business,Startup Environment,3.55488,4.814626257258,10,3.4749732242710003,64,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Germany,Ease of finding skilled employees,4.9,True,Business,Startup Environment,4.8922,4.447402638260167,26,4.329397146874871,11,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Ghana,Ease of finding skilled employees,4.61,True,Business,Startup Environment,4.60278,3.672993335332399,86,2.9373958217108,111,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Greece,Ease of finding skilled employees,4.27,True,Business,Startup Environment,4.263459999999999,3.3944311143961126,113,2.8794305648033074,117,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Guatemala,Ease of finding skilled employees,4.16,True,Business,Startup Environment,4.15368,4.0009462539418,62,3.1706933115778226,91,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Guinea,Ease of finding skilled employees,3.98,True,Business,Startup Environment,3.9740399999999996,3.0244757564462,142,2.925109374134845,112,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Haiti,Ease of finding skilled employees,2.94,True,Business,Startup Environment,2.93612,2.1377426143790847,175,1.9584122754058058,180,50.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Honduras,Ease of finding skilled employees,4.03,True,Business,Startup Environment,4.02394,3.5565504691898275,97,2.942567032647165,109,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Hungary,Ease of finding skilled employees,3.0,True,Business,Startup Environment,2.9959999999999996,4.050476570826994,57,3.638038698022887,43,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Iceland,Ease of finding skilled employees,5.17,True,Business,Startup Environment,5.1616599999999995,4.029961746104267,58,3.753900746318962,36,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
India,Ease of finding skilled employees,4.17,True,Business,Startup Environment,4.16366,3.9177482105647057,68,3.4953275495993466,60,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Indonesia,Ease of finding skilled employees,4.55,True,Business,Startup Environment,4.5428999999999995,3.7852443521535997,79,3.3405073700228662,75,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Iran (Islamic Republic of),Ease of finding skilled employees,3.89,True,Business,Startup Environment,3.88422,2.457866332299357,167,2.6274762672197856,148,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Ireland,Ease of finding skilled employees,4.72,True,Business,Startup Environment,4.71256,4.472773057602509,25,4.110935639455518,17,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Israel,Ease of finding skilled employees,5.31,True,Business,Startup Environment,5.301379999999999,4.3746896482899995,32,4.4553169094588885,5,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Italy,Ease of finding skilled employees,4.28,True,Business,Startup Environment,4.27344,3.267093362692357,120,3.1166606347015264,95,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Jamaica,Ease of finding skilled employees,4.3,True,Business,Startup Environment,4.293399999999999,4.6413020633548,13,3.3440245397143777,74,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Japan,Ease of finding skilled employees,4.4,True,Business,Startup Environment,4.3932,3.865528465699233,72,3.9471490300686334,28,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Jordan,Ease of finding skilled employees,4.83,True,Business,Startup Environment,4.82234,4.544790229533133,19,3.910811472166044,32,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Kazakhstan,Ease of finding skilled employees,4.07,True,Business,Startup Environment,4.06386,4.382416436615533,30,3.3971902513874,69,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Kenya,Ease of finding skilled employees,4.87,True,Business,Startup Environment,4.86226,4.22848055636907,44,3.34704322232969,73,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Republic of Korea (the),Ease of finding skilled employees,4.91,True,Business,Startup Environment,4.9021799999999995,4.365514386297692,34,3.863264980673119,33,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Kuwait,Ease of finding skilled employees,4.28,True,Business,Startup Environment,4.27344,2.944297180647772,144,3.390940285208146,70,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Kyrgyzstan,Ease of finding skilled employees,3.59,True,Business,Startup Environment,3.5848199999999997,4.0552516827304,56,3.0571079247601336,100,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Lao People's Democratic Republic (the),Ease of finding skilled employees,4.19,True,Business,Startup Environment,4.18362,3.037883535167965,141,2.876158060632099,120,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Latvia,Ease of finding skilled employees,3.92,True,Business,Startup Environment,3.91416,4.285755150473333,39,3.6452787575114285,42,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Lebanon,Ease of finding skilled employees,5.07,True,Business,Startup Environment,5.06186,3.0989803547007333,135,3.074656263824689,98,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Lesotho,Ease of finding skilled employees,3.43,True,Business,Startup Environment,3.42514,3.1647688888888887,130,2.4010396230629625,162,50.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Lithuania,Ease of finding skilled employees,3.46,True,Business,Startup Environment,3.4550799999999997,3.7831412979217895,80,3.51737706211266,57,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Luxembourg,Ease of finding skilled employees,4.38,True,Business,Startup Environment,4.37324,3.421501800712781,110,3.8191297848348156,35,100.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
North Macedonia,Ease of finding skilled employees,3.46,True,Business,Startup Environment,3.4550799999999997,4.0027643935754,61,3.2842599821818,83,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Madagascar,Ease of finding skilled employees,3.82,True,Business,Startup Environment,3.8143599999999998,3.051250234997333,139,2.513753411665778,155,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Malawi,Ease of finding skilled employees,3.76,True,Business,Startup Environment,3.75448,3.802424596177899,75,2.541968414891522,152,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Malaysia,Ease of finding skilled employees,5.07,True,Business,Startup Environment,5.06186,4.098661403409372,54,3.9154892425320127,31,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Mali,Ease of finding skilled employees,3.96,True,Business,Startup Environment,3.9540800000000003,3.2222846593256,123,2.703707741782978,144,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Malta,Ease of finding skilled employees,3.55,True,Business,Startup Environment,3.5449,2.991413533721765,143,3.276187473969477,84,83.33333333333334,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
Mauritania,Ease of finding skilled employees,3.68,True,Business,Startup Environment,3.67464,3.5021022222222222,104,2.391064257787407,164,50.0,100.0,World Bank: GovData,https://datacatalog.worldbank.org,2019
