Pillar,Sub-Pillar,Indicator,Weight
Business,Technology Adoption,,1
Business,Startup Environment,,1
Business,Financing Incentives,,1
Foundations,Digital Payments,,1
Foundations,Digital Legal Identity,,1
Foundations,Data Exchange,,1
Government,Capabilities,,1
Government,Digital Public Services,,1
Government,Funding and procurement,,1
Infrastructure,Connectivity Technology,,1
Infrastructure,Innovation Ecosystem,,1
People,Digital Literacy Skills,,1
People,Usage and ownership,,1
People,Digital Wellbeing,,1
People,Culture,,1
Regulation,Cybersecurity,,1
Regulation,Ethical Standards,,1
Strategy,Ambition,,1
Business,Technology Adoption,"Cloud Services (Spend, IT Forecast Data)",1
Business,Startup Environment,Ease of finding skilled employees,1
Business,Startup Environment,Ease of Getting Credit,1
Business,Technology Adoption,ICT task-intensive jobs as a percentage of total employment,1
Business,Technology Adoption,"Networking Services (Spend, IT Forecast Data)",1
Business,Startup Environment,Regulatory Quality,1
Business,Technology Adoption,Share of business with internet,1
Business,Technology Adoption,Share of businesses with broadband,1
Business,Technology Adoption,Share of businesses with online presence,1
Business,Technology Adoption,Size of digital economy (% of transactions),1
Business,Technology Adoption,Size of gig economy (% of GDP),1
Business,Startup Environment,"Amount invested into startups yearly from private, public, blended sources (respectively)",1
Business,Startup Environment,Strength of legal rights index,1
Business,Startup Environment,Time required to start a business (days),1
Business,Technology Adoption,UNCTAD Business-to-Consumer (B2C) E-commerce Index,1
Business,Financing Incentives,Venture Capital Availability,1
Foundations,Digital Payments,% Making online transactions - Women,1
Foundations,Digital Payments,% of population using digital financial services,1
Foundations,Digital Legal Identity,% of population with ID (all),1
Foundations,Digital Legal Identity,% of population with ID (female),1
Foundations,Digital Legal Identity,can ID be used for transactions,1
Foundations,Digital Payments,Digital payments penetration,1
Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,1
Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,1
Foundations,Digital Payments,% Making online transactions - Men,1
Foundations,Digital Payments,% of population with digital finance account,1
Foundations,Digital Payments,% of population with digital finance account - registered,1
Foundations,Data Exchange,Open data index,1
Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,1
Government,Capabilities,% of digital skills certifications / training courses completed,1
Government,Digital Public Services,E-Participation index,1
Government,Funding and procurement,ICT investment as a percentage of GDP,1
Government,Digital Public Services,Online-Service-Index (OSI),1
Government,Funding and procurement,R&D spending (% of GDP),1
Government,Digital Public Services,Security incidents (# of relevant issues),1
Government,Digital Public Services,"Use of public services online (% of services online, penetration, frequency of use)",1
Infrastructure,Connectivity Technology,% of population covered by electricity,1
Infrastructure,Connectivity Technology,% of population covered by internet connectivity,1
Infrastructure,Connectivity Technology,% of population covered by mobile 2G+ data connectivity,1
Infrastructure,Connectivity Technology,% of population covered by mobile 3G+ data connectivity,1
Infrastructure,Connectivity Technology,% of population covered by mobile 4G+ data connectivity,1
Infrastructure,Connectivity Technology,% of population covered by mobile 5G+ data connectivity,1
Infrastructure,Innovation Ecosystem,Angel Ecosystem size,1
Infrastructure,Innovation Ecosystem,Availability of scientists and engineers,1
Infrastructure,Innovation Ecosystem,Banking Ecosystem size,1
Infrastructure,Connectivity Technology,Broadband Density,1
Infrastructure,Connectivity Technology,Cellphone Signal Density,1
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Country)",1
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Industry)",1
Infrastructure,Innovation Ecosystem,"Country, Industry, Skill Migration Data (Skill)",1
Infrastructure,Innovation Ecosystem,Digital Finance Ecosystem size,1
Infrastructure,Innovation Ecosystem,Digital Work Ecosystem size,1
Infrastructure,Connectivity Technology,Electricity Density,1
Infrastructure,Connectivity Technology,Electricity Environmental Sustainability,1
Infrastructure,Connectivity Technology,Electricity supply quality,1
Infrastructure,Connectivity Technology,Global Cybersecurity Index (GCI),1
Infrastructure,Connectivity Technology,GSMA Mobile Connectivity Index ,1
Infrastructure,Connectivity Technology,Individuals using the Internet (% of population),1
Infrastructure,Innovation Ecosystem,International industrial applications by origin (Hague System),1
Infrastructure,Innovation Ecosystem,International industrial designs by origin (Hague System),1
Infrastructure,Innovation Ecosystem,International patent applications by origin (PCT System),1
Infrastructure,Connectivity Technology,ISP internet download speed average ,1
Infrastructure,Connectivity Technology,ISP Speeds - Mobile,1
Infrastructure,Connectivity Technology,Logistics Performance Index (LPI) - Infrastructure Rating,1
Infrastructure,Innovation Ecosystem,Mobile app creation/bn PPP$ GDP,1
Infrastructure,Connectivity Technology,Mobile cellular subscriptions (per 100 people),1
Infrastructure,Connectivity Technology,Mobile dowload speed at the slowest hour of the day,1
Infrastructure,Connectivity Technology,National cyber security index,1
Infrastructure,Innovation Ecosystem,Patents by origin/bn PPP$ GDP,1
Infrastructure,Connectivity Technology,Postal Coverage,1
Infrastructure,Innovation Ecosystem,Scientific and technical articles/bn PPP$ GDP,1
Infrastructure,Connectivity Technology,Spectrum Allocated to Mobile Providers,1
Infrastructure,Connectivity Technology,Telecommunication Infrastructure Index (TII),1
People,Digital Literacy Skills,% of internet users who own cryptocurrency,1
People,Usage and ownership,% of population using digital financial services,1
People,Usage and ownership,% of population using Facebook,1
People,Digital Literacy Skills,% of population using internet (all),1
People,Digital Literacy Skills,% of population using internet (female),1
People,Digital Literacy Skills,% of population using internet (male),1
People,Usage and ownership,% of population with a smartphone,1
People,Digital Wellbeing,Automation-led unemployment,1
People,Usage and ownership,E-commerce activity (% of individuals buying online and frequency),1
People,Digital Wellbeing,"E-waste generated, kilograms per inhabitant",1
People,Usage and ownership,Financial Inclusiveness,1
People,Usage and ownership,Gender gap for social media use,1
People,Usage and ownership,Gender gap in internet usage,1
People,Usage and ownership,Gender gap in mobile usage,1
People,Usage and ownership,Global Crypto Adoption Index,1
People,Digital Wellbeing,Global Wellbeing Initiative (World Happiness Index),1
People,Digital Wellbeing,Gross National Wellbeing,1
People,Usage and ownership,Households with a computer and with Internet access,1
People,Digital Literacy Skills,Human Capital Index (HCI),1
People,Usage and ownership,Internet Usage,1
People,Culture,"Level of satisfaction for online public services (% of users, by type of interaction and service)",1
People,Usage and ownership,Mobile Device Penetration (female),1
People,Usage and ownership,Mobile Device Penetration,1
People,Culture,Number of mobile apps available in national language(s),1
People,Digital Wellbeing,Percentage of individuals not buying online due to concerns about returning products,1
People,Digital Wellbeing,Percentage of individuals not buying online due to payment security concerns,1
People,Culture,Share of individuals using the Internet to interact with public authorities,1
People,Usage and ownership,Social media penetration,1
People,Usage and ownership,Tax as % of total cost of mobile ownership,1
People,Digital Wellbeing,Device Addiction (time of use on internet / on devices),1
People,Culture,UNDP Human Development Index (HDI) ,1
Regulation,Cybersecurity,# key internet controls employed,1
Regulation,Ethical Standards,Rule of Law Index,1
Strategy,Ambition,SDG Index,1
