Ascension,,Cable & Wireless plc. (C&W).,34.94,Data refer to 31st December.,38.17,Cable & Wireless,33.00,Cable & Wireless South Atlantic Ltd,35.00,36.00,ITU estimate.,41.03,data_country,data_year
Australia,,ITU estimate.,46.76,,52.69,Australian Bureau of Statistics.,74.25,Australian Bureau of Statistics,76.00,79.49,Australian Bureau of Statistics,79.00,,
Austria,,Austria Internet Monitor.,33.73,"Regular users of the Internet, Population age 14+.",39.19,Eurostat.,73.45,Eurostat.,75.17,78.74,Eurostat.,80.03,,
Azerbaijan,,,0.15,,0.31,State Statistical Committee,27.40,ITU estimate.,46.00,50.00,ITU estimate.,54.20,,
Bahamas,,ITU estimate.,8.00,Estimated based on 3 times the number of subscribers.,11.80,BAHAMAS TELECOMMUNICATIONS COMPANY LTD.,33.88,BAHAMAS TELECOMMUNICATIONS COMPANY LTD.,43.00,65.00,ITU estimate.,71.75,,
Bahrain,,,6.15,,15.04,Telecommunications Regulatory Authority (TRA),53.00,Telecommunications Regulatory Authority (TRA),55.00,77.00,Telecommunications Regulatory Authority (TRA),88.00,,
Bangladesh,,ITU estimate.,0.07,,0.13,ITU estimate.,3.10,ITU estimate.,3.70,4.50,ITU estimate.,5.00,,
Barbados,,ITU estimate.,3.97,,11.94,ITU estimate.,64.70,ITU estimate.,65.10,66.50,ITU estimate.,71.20,,
Belarus,,Beltelecom.,1.86,,4.30,National Statistical Committee of the Republic of Belarus (Belstat),27.43,National Statistical Committee of the Republic of Belarus,31.80,39.65,National Statistical Committee of the Republic of Belarus (Belstat),46.91,,
Belgium,,Institut belge des services postaux et des télécommunications (IBPT).,29.43,,31.29,Belgian Institute for Postal Services and Telecommunications ,70.00,Eurostat.,75.00,81.61,Eurostat.,80.72,,
Belize,,,5.96,,,ITU estimate.,27.20,ITU estimate.,28.20,30.70,ITU estimate.,31.00,,
Benin,,,0.23,,0.36,Autorité Transitoire de Régulation des Postes et Télécommunications,2.24,NSO.,3.13,4.15,ITU estimate.,4.50,,
Bermuda,,,42.95,,47.51, Bermuda Government Department of Statistics.,83.25,ITU estimate.,84.21,88.34,ITU estimate.,91.30,,
Bhutan,,,0.40,,0.86,Bhutan InfoComm and Media Authority,7.17,"ITU estimate.
",13.60,14.40,ITU estimate.,15.60,,
Bolivia (Plurinational State of),,SITTEL. ITU estimate.,1.44,,2.12,ITU estimate.,16.80,ITU estimate.,22.40,30.00,Instituto Nacional de Estadística,35.34,,
