Indicator,Country,2000_value,2000_notes,2000_source,2001_value,2001_notes,2001_source,2002_value,2002_notes,2002_source,2003_value,2003_notes,2003_source,2004_value,2004_notes,2004_source,2005_value,2005_notes,2005_source,2006_value,2006_notes,2006_source,2007_value,2007_notes,2007_source,2008_value,2008_notes,2008_source,2009_value,2009_notes,2009_source,2010_value,2010_notes,2010_source,2011_value,2011_notes,2011_source,2012_value,2012_notes,2012_source,2013_value,2013_notes,2013_source,2014_value,2014_notes,2014_source,2015_value,2015_notes,2015_source,2016_value,2016_notes,2016_source,2017_value,2017_notes,2017_source,2018_value,2018_notes,2018_source,2019_value,2019_notes,2019_source,data_country,data_year
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Afghanistan,0,,Ministry of Communications.,0,,Ministry of Communications.,25000,,TSI.,200000,,Ministry of Communications.,600000,,Ministry of Communications.,1200000,,Ministry of Communications.,2520366,,Ministry of Communications.,4668096,,Africa & Middle East Telecom Week.,7898909,,Ministry of Communications.,10500000,,ITU estimate.,10215840,,ITU estimate.,13797879,,Ministry of Communications & Information Technology,15340115,,ITU research based on ATRA website.,16807156,,Afghanistan Telecommunication Regulatory Authority ; Ministry of Communications & Information Technology,18407168,,Afghanistan Telecommunication Regulatory Authority ; Ministry of Communications & Information Technology,19709038,,Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT),21602982,,Afghanistan Telecom Regulatory Authority,23929713,,Afghanistan Telecom Regulatory Authority,21976355,,Afghanistan Telecom Regulatory Authority,22580071,,Afghanistan Telecom Regulatory Authority,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Albania,29791,,,392650,,,851000,,,1100000,,,1259590,,,1530244,,,1909885,,,2322436,,Ministry of Transport and Telecommunications.,1859632,Break in comparability: from this year data refer to subscriptions active in the last 90 days.,ITU estimate,2463741,,ITU estimate,2692372,,ITU estimate,3100000,,Minister for Innovation and ICT,3500000,,Minister for Innovation and ICT,3685983,,Ministry of Innovation and Public Administration/National Agency for Information Society,3359654,,National Agency on Information Society,3400955,,Minister of State for the Innovation and Public Administration,3369756,,AKEP,3625699,,Ministry of Infrastructure and Energy,2714878,,Ministry of Infrastructure and Energy,2630076,,Ministry of Infrastructure and Energy,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Algeria,86000,,Ministère des Postes et Télécommunications (MPT).,100000,,Ministère des Postes et Télécommunications (MPT).,450244,,Ministère des Postes et Télécommunications (MPT).,1446927,,Ministère des Postes et Télécommunications (MPT).,4882414,,Autorité de Régulation de la Poste et des Télecommunications (ARPT).,13661355,,Autorité de Régulation de la Poste et des Télecommunications (ARPT).,20997954,,Autorité de Régulation de la Poste et des Télecommunications (ARPT).,27562721,,Autorité de Régulation de la Poste et des Télecommunications (ARPT).,27031472,,Autorité de Régulation de la Poste et des Télecommunications (ARPT).,32729824,,Autorité de Régulation de la Poste et des Télecommunications (ARPT).,32780165,,Autorité de Régulation de la Poste et des Télécommunications,35615926,,Autorité de Régulation de la Poste et des Télécommunications,37527703,,Ministère de la Poste et des Technologies de l'Information et de la Communication,39517045,Source: ARPT.,Ministère de la Poste et des Technologies de l'Information et de la Communication,43298174,Source: ARPT.,Ministère de la Poste et des Technologies de l'Information et de la Communication,43227643,Source: ARPT.,Ministère de la  Poste et des Technologies de l'Information et de la Communication,47041321,source : ARPT.,Ministère de la Poste; des Télécommunications; des Technologies et du Numérique,45845665,L'écart est dû à : ; - L'audit régulier de  l’ARPCE sur les données déclarées le mois d’avril par les trois opérateurs téléphoniques.; -Seul les abonnées actives qui sont concernés par cet indicateur,Ministère de la Poste et des Télécommunications,47154264,L'écart est dû à : ; - L'audit régulier de  l’ARPCE sur les données déclarées le mois d’avril par les trois opérateurs téléphoniques.; -Seul les abonnées actives qui sont concernés par cet indicateur,Ministère de la Poste et des Télécommunications,47081131,,Ministère de la Poste et des Télécommunications,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,American Samoa,1992,,,2156,,,2036,,,2100,,,2250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Andorra,23543,,,29429,,,32790,,,51893,,,58366,,,64560,,,69004,,,63503,,Servei de Telecomunicacions d'Andorra (STA).,64202,,Servei de Telecomunicacions d'Andorra (STA).,64549,,Servei de Telecomunicacions d'Andorra (STA).,65495,,Servei de Telecomunicacions d'Andorra,65044,,Servei de Telecomunicacions d'Andorra,63865,,Servei de Telecomunicacions d'Andorra,63931,,Servei de Telecomunicacions d'Andorra,66241,,Servei de Telecomunicacions d'Andorra,71336,,Andorra Telecom SAU,76132,,Andorra Telecom SAU,80337,,Andorra Telecom SAU,82614,,Andorra Telecom SAU,87909,,Andorra Telecom SAU,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Angola,25806,,Empresa de Telecommunicações de Angola.,75000,,Instituto Angolano das Comunicações.,140000,,Instituto Angolano das Comunicações.,350000,,Instituto Angolano das Comunicações.,740000,,Instituto Angolano das Comunicações.,1611118,,Instituto Angolano das Comunicações.,3054620,June.,Instituto Angolano das Comunicações.,4961536,,Instituto Angolano das Comunicações.,6773356,,Instituto Angolano das Comunicações.,8109421,,Instituto Angolano das Comunicações.,9403365,,ITU estimate.,12073218,,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,12785109,,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,13285198,,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,14052558,,ANGOLAN COMMUNICATIONS REGULATORY AUTHORITY,13884532,,Angolan Institute of Communications,13001124,,Angolan Institute of Communications,13323952,,Angolan Institute of Communications,13288421,,Angolan Institute of Communications,14830154,,Angolan Institute of Communications,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Anguilla,2163,,Cable and Wireless (W.I.) Ltd  (C&W).,1773,,Cable and Wireless (W.I.) Ltd  (C&W).,3042,,Public Utilities Commission.,4427,,Public Utilities Commission.,7229,,Cable and Wireless (W.I.) Ltd  (C&W).,13061,,Cable and Wireless (W.I.) Ltd  (C&W).,17150,,Public Utilities Commission.,23526,,Ministry of Infrastructure; Communication & Utilities,26484,,Ministry of Infrastructure; Communication & Utilities,24820,,Ministry of Infrastructure; Communication & Utilities,25695,,Public Utilities Commission,26019,,public utilities commission,26100,,ITU estimate.,26000,,ITU estimate.,26000,,ITU estimate.,26000,,ITU estimate.,,,,,,,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Antigua and Barbuda,22000,,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,25000,Data at 31st December 2001.,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,38205,,Caribbean Telecommunications Union.,46100,,ITU estimate.,54000,,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,86000,,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,110177,,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,112381,,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,136592,,Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.,134925,Numbers are down due to data cleanse.,Ministry of Information; Broadcasting; Telecommunications; Science & Technology.,167970,,Telecom Divison/Ministry of Information; Broadcasting; Telecommunications; Science & Technology,176008,,Telecom Divison/Ministry of Information; Broadcasting; Telecommunications; Science & Technology,127381,Numbers are down due to data cleanse.,Telecom Divison/Ministry of Telecommunications; Science & Technology,114358,,Telecom Divison/Ministry of Telecommunications; Science & Technology,120041,,Ministry of Information; Broadcasting; Telecommunications; and Information Technology,176000,,ITU estimate.,180000,,ITU estimate.,184000,,ITU estimate.,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Argentina,6487950,,Comisión Nacional de Comunicaciones.,6741791,,Comisión Nacional de Comunicaciones.,6566740,,Comisión Nacional de Comunicaciones.,7842233,,Comisión Nacional de Comunicaciones.,13512383,,Comisión Nacional de Comunicaciones.,22156426,,Comisión Nacional de Comunicaciones.,31510390,,Comisión Nacional de Comunicaciones.,40401771,,Comisión Nacional de Comunicaciones.,46508774,,Comisión Nacional de Comunicaciones.,52482780,,Comisión Nacional de Comunicaciones,57082298,,Comisión Nacional de Comunicaciones,60722729,,Comisión Nacional de Comunicaciones,64327647,,Comisión Nacional de Comunicaciones,67361515,,Comisión Nacional de Comunicaciones,61234216,,Ente Nacional de Comunicaciones,61842011,preliminary,Ente Nacional de Comunicaciones,63719805,,Ente Nacional de Comunicaciones,61897379,,Ente Nacional de Comunicaciones,58598041,,Ente Nacional de Comunicaciones,56352947,,Ente Nacional de Comunicaciones,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Armenia,17486,,Ministry of Transport and Communications.,25504,,Ministry of Transport and Communications.,71349,,Ministry of Transport and Communications.,114379,,Ministry of Transport and Communications.,203309,,Ministry of Transport and Communications.,318044,,Ministry of Transport and Communications.,1259762,,RCC.,1876411,,RCC.,1442000,,Ministry of Transport and Communications,2191500,,Ministry of Transport and Communications,3865354,,Ministry of Transport and Communications,3211215,Break in comparability due to adjustment in activity criterion to 3 months.,Ministry of Transport and Communication of Armenia,3322837,,Ministry of Transport and Communications,3346275,,Ministry of Transport and Communication of Armenia,3459137,,Ministry of Transport and Communication of Armenia,3464490,,Ministry of Transport and Communication of Armenia,3434567,,Ministry of Transport; Communication and Information Technologies of Armenia,3488524,,Ministry of Transport; Communication and Information Technologies of Armenia,3579257,,Ministry of Transport; Communication and Information Technologies of Armenia,3618747,,Ministry of Transport; Communication and Information Technologies of Armenia,,
