Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Land area (sq. km),AG.LND.TOTL.K2,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
Africa Eastern and Southern,AFE,Land area (sq. km),AG.LND.TOTL.K2,,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14777964.27,14676964.27,14676964.27,14676964.27,14676964.27,14676964.27,14676964.27,14676964.27,14676964.27,14676964.27,14676964.27,14676964.27,14806228.6,14806282.05,14806278.62,14806251.57,14806236.33,14806235.25,14806927.65,14807137.36,14807138.97,14807144.33,14807112.68,14807162.34,14807070.34,14807044.03,14807043.23,14807043.23,14807043.23
Afghanistan,AFG,Land area (sq. km),AG.LND.TOTL.K2,,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860
Africa Western and Central,AFW,Land area (sq. km),AG.LND.TOTL.K2,,9046580,9046580,9046580,9046580,9046580,9046580,9046580,9046580,9046580,9046580,9046580,9046580,9046580,9046180,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780,9045780
Angola,AGO,Land area (sq. km),AG.LND.TOTL.K2,,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700
Albania,ALB,Land area (sq. km),AG.LND.TOTL.K2,,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400
Andorra,AND,Land area (sq. km),AG.LND.TOTL.K2,,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470
Arab World,ARB,Land area (sq. km),AG.LND.TOTL.K2,,13716804.27,13716804.27,13716804.27,13716804.27,13716804.27,13716804.27,13716804.27,13716804.27,13716804.27,13716804.27,13716804.27,13716804.27,13716764.27,13716764.27,13716764.27,13716764.27,13716764.27,13716764.27,13716764.27,13716764.27,13716764.27,13716764.27,13716764.27,13716764.27,13716764.27,13716764.27,13716764.27,13716764.27,13716764.27,13716764.27,13716764.27,13716784.27,13716784.27,13716784.27,13716784.27,13716784.27,13716784.27,13716784.27,13716784.27,13716784.27,13716784.27,13716784.27,13716604.27,13716594.27,13716604.27,13716664.27,13716684.27,13716694.27,13714184.27,13714176.27,13082202.86,13082210.89,13082017.2,13081869.42,13081879.21,13081769.2,13081768.95,13081763.72,13081763.72,13081763.72
United Arab Emirates,ARE,Land area (sq. km),AG.LND.TOTL.K2,,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020
Argentina,ARG,Land area (sq. km),AG.LND.TOTL.K2,,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690
