2015,2016,2017,Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type
14.1,17,,AFG,Afghanistan,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,130,132,AFG,Afghanistan,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
21.1,29,,AGO,Angola,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,113,113,AGO,Angola,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
51,62,,ALB,Albania,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,59,59,ALB,Albania,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
73.4,87,,ARE,United Arab Emirates,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,25,23,ARE,United Arab Emirates,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
51.9,45,,ARG,Argentina,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,57,81,ARG,Argentina,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
36.6,47,,ARM,Armenia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,87,78,ARM,Armenia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
81.4,92,,AUS,Australia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,12,14,AUS,Australia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
76,91,,AUT,Austria,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,21,17,AUT,Austria,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
50.5,58,,AZE,Azerbaijan,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,60,68,AZE,Azerbaijan,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
10.6,10,,BDI,Burundi,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,135,140,BDI,Burundi,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
76,88,,BEL,Belgium,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,22,22,BEL,Belgium,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
15.3,15,,BEN,Benin,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,123,138,BEN,Benin,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
14.9,18,,BFA,Burkina Faso,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,125,128,BFA,Burkina Faso,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
16.7,35,,BGD,Bangladesh,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,121,103,BGD,Bangladesh,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
56.4,66,,BGR,Bulgaria,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,50,50,BGR,Bulgaria,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
66.5,,,BHR,Bahrain,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,32,,BHR,Bahrain,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
40.7,66,,BIH,Bosnia and Herzegovina,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,81,52,BIH,Bosnia and Herzegovina,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
50,71,,BLR,Belarus,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,62,44,BLR,Belarus,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
,49,,BLZ,Belize,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,,77,BLZ,Belize,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
30.8,,,BOL,Bolivia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,97,,BOL,Bolivia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
56.2,62,,BRA,Brazil,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,51,62,BRA,Brazil,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
27.8,36,,BTN,Bhutan,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,104,100,BTN,Bhutan,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
38.6,43,,BWA,Botswana,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,85,87,BWA,Botswana,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
86.3,92,,CAN,Canada,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,4,15,CAN,Canada,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
83.3,96.43,,CHE,Switzerland,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,9,2,CHE,Switzerland,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
60.3,64,,CHL,Chile,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,43,54,CHL,Chile,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
49.1,60,,CHN,China,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,64,65,CHN,China,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
15.4,,,CIV,Cote d'Ivoire,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,122,,CIV,Cote d'Ivoire,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
20,35,,CMR,Cameroon,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,116,107,CMR,Cameroon,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
,16,,COG,"Congo, Rep.",24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,,135,COG,"Congo, Rep.",24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
44.6,55,,COL,Colombia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,72,71,COL,Colombia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
,8,,COM,Comoros,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,,141,COM,Comoros,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
52.4,62,,CRI,Costa Rica,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,55,61,CRI,Costa Rica,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
64.8,86,,CYP,Cyprus,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,36,27,CYP,Cyprus,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
71.7,84,,CZE,Czech Republic,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,29,29,CZE,Czech Republic,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
78,93.5,,DEU,Germany,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,17,9,DEU,Germany,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
,18,,DJI,Djibouti,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,,129,DJI,Djibouti,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
78.7,93,,DNK,Denmark,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,16,13,DNK,Denmark,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
39.9,42,,DOM,Dominican Republic,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,83,88,DOM,Dominican Republic,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
32.3,38,,DZA,Algeria,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,95,97,DZA,Algeria,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
45,41,,ECU,Ecuador,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,71,91,ECU,Ecuador,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
39.9,29,,EGY,"Egypt, Arab Rep.",24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,82,116,EGY,"Egypt, Arab Rep.",24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
75,80,,ESP,Spain,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,24,33,ESP,Spain,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
72.3,90,,EST,Estonia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,27,21,EST,Estonia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
21.2,16,,ETH,Ethiopia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,112,133,ETH,Ethiopia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
84.3,93,,FIN,Finland,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,6,12,FIN,Finland,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
76.2,90,,FRA,France,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,19,20,FRA,France,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
,32,,GAB,Gabon,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,,110,GAB,Gabon,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
83.7,95.1,,GBR,United Kingdom,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,8,6,GBR,United Kingdom,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
39.2,57,,GEO,Georgia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,84,70,GEO,Georgia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
30.5,35,,GHA,Ghana,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,99,105,GHA,Ghana,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
7.9,7,,GIN,Guinea,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,136,142,GIN,Guinea,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
58.6,80,,GRC,Greece,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,46,34,GRC,Greece,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
21.4,,,GTM,Guatemala,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,111,,GTM,Guatemala,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
81.1,,,HKG,"Hong Kong SAR, China",24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,14,,HKG,"Hong Kong SAR, China",24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
30.5,37,,HND,Honduras,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,98,98,HND,Honduras,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
69.6,81,,HRV,Croatia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,30,32,HRV,Croatia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
,16,,HTI,Haiti,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,,134,HTI,Haiti,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
64.5,79,,HUN,Hungary,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,37,36,HUN,Hungary,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
33,36,,IDN,Indonesia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,93,101,IDN,Indonesia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
34,44,,IND,India,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,90,83,IND,India,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
77.7,90,,IRL,Ireland,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,18,19,IRL,Ireland,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
42.6,,,IRN,"Iran, Islamic Rep.",24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,77,,IRN,"Iran, Islamic Rep.",24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
14.3,14,,IRQ,Iraq,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,127,139,IRQ,Iraq,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
89,93,,ISL,Iceland,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,2,11,ISL,Iceland,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
76.1,81,,ISR,Israel,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,20,31,ISR,Israel,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
63.5,74,,ITA,Italy,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,38,40,ITA,Italy,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
47.6,65,,JAM,Jamaica,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,66,53,JAM,Jamaica,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
41.3,50,,JOR,Jordan,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,80,75,JOR,Jordan,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
86.1,93.6,,JPN,Japan,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,5,8,JPN,Japan,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
36.5,66,,KAZ,Kazakhstan,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,88,51,KAZ,Kazakhstan,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
37.9,45,,KEN,Kenya,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,86,82,KEN,Kenya,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
23.8,29,,KGZ,Kyrgyz Republic,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,109,117,KGZ,Kyrgyz Republic,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
19.5,29,,KHM,Cambodia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,119,115,KHM,Cambodia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
84.3,,,KOR,"Korea, Rep.",24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,7,,KOR,"Korea, Rep.",24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
61.9,63,,KWT,Kuwait,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,40,57,KWT,Kuwait,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
20.3,,,LAO,Lao PDR,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,115,,LAO,Lao PDR,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
57.4,63,,LBN,Lebanon,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,48,56,LBN,Lebanon,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
15.1,18,,LBR,Liberia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,124,130,LBR,Liberia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
33.2,52,,LKA,Sri Lanka,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,92,73,LKA,Sri Lanka,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
14.5,22,,LSO,Lesotho,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
