Country,"Bank assets, percent of GDP, 2017"
Hong Kong,256.63
China,174.54
Denmark,172.28
New Zealand,157.73
Japan,157.51
Lebanon,157.18
Singapore,151.67
Qatar,149.95
South Korea,141.52
Australia,140.47
Thailand,138.96
Vietnam,137.43
Sweden,135.27
Norway,134.37
Malaysia,131.91
United Kingdom,131.7
Spain,129.89
Portugal,125.85
Netherlands,123.33
Mauritius,121.75
Italy,118.1
Jordan,113.97
France,112.95
Greece,112.26
San Marino,110.9
UA Emirates,109.65
Luxembourg,109.09
Kuwait,108.57
Macao,108.2
Barbados,106.1
Brazil,105.26
Finland,100.34
Austria,97.14
Malta,92.55
Iceland,92.05
Germany,91.07
Tunisia,90
Egypt,89.26
Oman,88.57
Nepal,85.42
Morocco,84.1
Croatia,82.69
Panama,81.4
Chile,81.11
Belgium,80.91
Cambodia,80.17
Saint Lucia,79.43
South Africa,77.97
Fiji,77.03
Turkey,72.94
Israel,72.69
Aruba,72.35
Bahamas,70.71
Poland,70.11
Slovakia,68.45
India,68.35
Estonia,67.42
Vanuatu,67.02
Costa Rica,66.89
Sri Lanka,66.09
Saudi Arabia,65.46
USA,62.45
Czechia,61.28
Belize,61.12
Bosnia & Herz.,60.93
Bulgaria,60.86
Georgia,60.81
Honduras,60.8
Mongolia,60.6
Ant.& Barb.,60.53
Namibia,60
Slovenia,58.99
Montenegro,58.98
Tr.&Tobago,58.51
Philippines,58.33
Algeria,58.27
Russia,58.08
Bangladesh,57.37
St. Vincent & ...,57.23
Dominica,57.06
Albania,56.78
Bolivia,55.92
Bhutan,55.72
Grenada,54.94
Colombia,54.41
Hungary,54.3
Togo,53.94
Armenia,53.87
North Macedonia,53.54
Palestine,53.12
El Salvador,51.88
Ireland,50.8
Seychelles,48.58
Samoa,47.82
Latvia,46.93
Ukraine,46.43
Belarus,45.89
Guyana,45.58
Libya,45.12
Tonga,44.68
Lithuania,44.63
Maldives,44.63
Pakistan,44.58
Mozambique,44.03
Brunei,43.42
Kenya,42.88
Peru,41.52
Burma,41.47
Mexico,41.26
Guatemala,40.84
Paraguay,40.78
Suriname,39.76
Nicaragua,39.07
Indonesia,38.08
Romania,36.68
Senegal,36.33
Burkina Faso,36.22
Papua N.G.,34.36
Benin,34.15
Mali,33.42
Botswana,33.24
Angola,32.79
Ivory Coast,32.61
Djibouti,32.09
Ecuador,31.58
Domin. Rep.,31.14
Kazakhstan,30.1
Uruguay,30.04
Comoros,28.04
Azerbaijan,27.92
R. of Congo,27.72
Gambia,26.73
S.T.&Principe,26.17
Zimbabwe,25.63
Ghana,25.54
Burundi,24.85
Moldova,24.49
Rwanda,24.48
Swaziland,24.43
Solomon Isl.,22.62
Iraq,22.03
Kyrgyzstan,21.98
Niger,21.5
Argentina,20.79
Haiti,19.53
Nigeria,19.25
Gabon,19.16
Uganda,19.09
Lesotho,19.03
Cameroon,18.77
Tanzania,18.5
Cyprus,18.32
Zambia,17.43
Eq. Guinea,17.09
Madagascar,17.01
G.-Bissau,16.49
Chad,15.3
Sierra Leone,15.06
C.A. Republic,14.26
Sudan,11.86
Afghanistan,3.43
Mauritania,3.17
