2008,2009,2010,Country
76.94,76.01,82.06,Austria
79.33,77.31,86.52,Czech Republic
87.53,86.08,88.08,Estonia
,91.68,93.31,France
83.46,87.9,89.34,Germany
70.37,74.19,79.61,Hungary
,,95.43,Iceland
,76.11,86.84,Ireland
,82.92,84.12,Italy
,88.03,87.91,Luxembourg
,86.38,90.93,Netherlands
84.36,88.28,86.92,Norway
59.12,58.47,69.34,Poland
,81.7,84.75,Portugal
73.72,78.37,78.32,Slovak Republic
,,,Slovenia
,93.04,95.44,Spain
,88.3,91.41,Sweden
,,88.86,Turkey
,84.94,88.03,United Kingdom
