Cloud computing policy environment by category - country ranking 2018,
"Country ranking by cloud computing policy environment in 2018, by category*",
,"IT readiness, broadband deployment"
Germany,18.20
Japan,20.30
United States,18
United Kingdom,19.80
Australia,16.10
Singapore,20.70
Canada,17
France,17.30
Italy,15
Spain,16.60
Poland,14.70
Korea,19.90
Mexico,9.10
Malaysia,13.50
South Africa,10.30
Turkey,11.10
Argentina,10.80
Brazil,11.50
Thailand,11.10
India,6.90
Russia,15.70
China,12.70
Indonesia,8.20
Vietnam,8.60
