Location,Global Cybersecurity Index (GCI): Score (2018),data_country,data_year
Afghanistan,0.177,,
Albania,0.631,,
Algeria,0.262,,
Andorra,0.115,,
Angola,0.097,,
Antigua and Barbuda,0.247,,
Argentina,0.407,,
Armenia,0.495,,
Australia,0.89,,
Austria,0.826,,
Azerbaijan,0.653,,
Bahamas,0.147,,
Bahrain,0.585,,
Bangladesh,0.525,,
Barbados,0.173,,
Belarus,0.578,,
Belgium,0.814,,
Belize,0.129,,
Benin,0.485,,
Bhutan,0.181,,
Bolivia,0.139,,
Bosnia and Herzegovina,0.204,,
Botswana,0.44,,
Brazil,0.577,,
Brunei,0.624,,
Bulgaria,0.721,,
Burkina Faso,0.4,,
Burundi,0.087,,
Cambodia,0.161,,
Cameroon,0.432,,
Canada,0.892,,
Cape Verde,0.051,,
Central African Republic,0.036,,
Chad,0.098,,
Chile,0.47,,
China,0.828,,
Colombia,0.565,,
Comoros,0.015,,
Congo,0.167,,
Costa Rica,0.221,,
Croatia,0.84,,
Cuba,0.481,,
Cyprus,0.652,,
Czech Republic,0.569,,
Democratic Republic of the Congo,0.008,,
Denmark,0.852,,
Djibouti,0.063,,
Dominican Republic,0.43,,
Ecuador,0.367,,
Egypt,0.842,,
El Salvador,0.124,,
Equatorial Guinea,0.031,,
Eritrea,0.02,,
Estonia,0.905,,
Ethiopia,0.278,,
Fiji,0.194,,
Finland,0.856,,
France,0.918,,
Gabon,0.318,,
Gambia,0.28,,
Georgia,0.857,,
Germany,0.849,,
Ghana,0.437,,
Greece,0.527,,
Grenada,0.143,,
Guatemala,0.251,,
Guinea,0.191,,
Guinea-Bissau,0.055,,
Guyana,0.132,,
Haiti,0.046,,
Honduras,0.044,,
Hungary,0.812,,
Iceland,0.449,,
India,0.719,,
Indonesia,0.776,,
Iran,0.641,,
Iraq,0.263,,
Ireland,0.784,,
Israel,0.783,,
Italy,0.837,,
Ivory Coast,0.456,,
Jamaica,0.407,,
Japan,0.88,,
Jordan,0.556,,
Kazakhstan,0.778,,
Kenya,0.748,,
Kiribati,0.028,,
"Korea, People's Republic of",0.02,,
"Korea, Republic of",0.873,,
Kuwait,0.6,,
Kyrgyzstan,0.254,,
Laos,0.195,,
Latvia,0.748,,
Lebanon,0.186,,
Lesotho,0.051,,
Liberia,0.206,,
Libya,0.206,,
Liechtenstein,0.543,,
Lithuania,0.908,,
Luxembourg,0.889,,
Macedonia,0.8,,
Madagascar,0.196,,
Malawi,0.275,,
Malaysia,0.893,,
Maldives,0.004,,
Mali,0.085,,
Malta,0.479,,
Marshall Islands,0.072,,
Mauritania,0.107,,
Mauritius,0.88,,
Mexico,0.629,,
Micronesia,0.04,,
Moldova,0.662,,
Monaco,0.751,,
Mongolia,0.465,,
Montenegro,0.639,,
Morocco,0.429,,
Mozambique,0.158,,
Myanmar,0.172,,
Namibia,0.127,,
Nauru,0.101,,
Nepal,0.26,,
Netherlands,0.885,,
New Zealand,0.789,,
Nicaragua,0.129,,
Nigeria,0.65,,
Norway,0.892,,
Oman,0.868,,
Pakistan,0.407,,
Palestine,0.307,,
Panama,0.369,,
Papua New Guinea,0.131,,
Paraguay,0.603,,
Peru,0.401,,
Philippines,0.643,,
Poland,0.815,,
Portugal,0.758,,
Qatar,0.86,,
Romania,0.568,,
Russia,0.836,,
Rwanda,0.697,,
Samoa,0.367,,
San Marino,0.075,,
Sao Tome and Principe,0.064,,
Saudi Arabia,0.881,,
Senegal,0.305,,
Serbia,0.643,,
Seychelles,0.259,,
Sierra Leone,0.138,,
Singapore,0.898,,
Slovakia,0.729,,
Slovenia,0.701,,
Solomon Islands,0.061,,
Somalia,0.07,,
South Africa,0.652,,
South Sudan,0.065,,
Spain,0.896,,
Sri Lanka,0.466,,
St. Christopher-Nevis,0.065,,
St. Lucia,0.096,,
St. Vincent and the Grenadines,0.169,,
Sudan,0.294,,
Suriname,0.11,,
Swaziland,0.133,,
Sweden,0.81,,
Switzerland,0.788,,
Syria,0.237,,
Tajikistan,0.263,,
Tanzania,0.642,,
Thailand,0.796,,
Timor-Leste,0.082,,
Togo,0.087,,
Tonga,0.208,,
Trinidad and Tobago,0.188,,
Tunisia,0.536,,
Turkey,0.853,,
Turkmenistan,0.115,,
Tuvalu,0.057,,
Uganda,0.621,,
Ukraine,0.661,,
United Arab Emirates,0.807,,
United Kingdom,0.931,,
United States,0.926,,
Uruguay,0.681,,
Uzbekistan,0.666,,
Vanuatu,0.098,,
Vatican,0.021,,
Venezuela,0.354,,
Vietnam,0.693,,
Yemen,0.019,,
Zambia,0.436,,
Zimbabwe,0.186,,
