2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Country Name,Country Code,Indicator Name,Indicator Code,
,,,,,,,8.58,8.72033977508545,,8.90189075469971,Afghanistan,AFG,Expected Years of School,HD.HCI.EYRS,
,,,,,,,6.73,6.79572248458862,,6.91584062576294,Afghanistan,AFG,"Expected Years of School, Female",HD.HCI.EYRS.FE,
,,,,,,,9.21,9.5441370010376,,9.65538787841797,Afghanistan,AFG,"Expected Years of School, Male",HD.HCI.EYRS.MA,
0.595864593982697,,,,,,,0.591,0.595864593982697,,0.618072211742401,Afghanistan,AFG,Fraction of Children Under 5 Not Stunted,HD.HCI.STNT,
0.605092763900757,,,,,,,,0.605092763900757,,0.618776202201843,Afghanistan,AFG,"Fraction of Children Under 5 Not Stunted, Female",HD.HCI.STNT.FE,
0.586935997009277,,,,,,,,0.586935997009277,,0.617406904697418,Afghanistan,AFG,"Fraction of Children Under 5 Not Stunted, Male",HD.HCI.STNT.MA,
,,,,,,,355,354.7587890625,,354.7587890625,Afghanistan,AFG,Harmonized Test Scores,HD.HCI.HLOS,
,,,,,,,350,350.146148681641,,350.146148681641,Afghanistan,AFG,"Harmonized Test Scores, Female",HD.HCI.HLOS.FE,
,,,,,,,358,357.794738769531,,357.794738769531,Afghanistan,AFG,"Harmonized Test Scores, Male",HD.HCI.HLOS.MA,
,,,,,,,0.389,0.393489241600037,,0.400284141302109,Afghanistan,AFG,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,
,,,,,,,0.363,0.363862872123718,,0.368523985147476,Afghanistan,AFG,"Human Capital Index (HCI), Female (scale 0-1)",HD.HCI.OVRL.FE,
,,,,,,,0.35,0.351570188999176,,0.355721712112427,Afghanistan,AFG,"Human Capital Index (HCI), Female, Lower Bound (scale 0-1)",HD.HCI.OVRL.LB.FE,
,,,,,,,0.375,0.375342547893524,,0.380444347858429,Afghanistan,AFG,"Human Capital Index (HCI), Female, Upper Bound (scale 0-1)",HD.HCI.OVRL.UB.FE,
,,,,,,,0.376,0.381032466888428,,0.38714861869812,Afghanistan,AFG,"Human Capital Index (HCI), Lower Bound (scale 0-1)",HD.HCI.OVRL.LB,
,,,,,,,0.395,0.405022948980331,,0.411275178194046,Afghanistan,AFG,"Human Capital Index (HCI), Male (scale 0-1)",HD.HCI.OVRL.MA,
,,,,,,,0.378,0.38912296295166,,0.394788265228271,Afghanistan,AFG,"Human Capital Index (HCI), Male, Lower Bound (scale 0-1)",HD.HCI.OVRL.LB.MA,
