,overall LPI score,overall LPI rank,Customs,Infrastructure,International shipments,Logistics quality and competence,Tracking and tracing,Timeliness,data_country,data_year
,,,,,,,,,,
rank,score,rank,score,score,score,score,score,score,rank,rank
3,4.20,1,4.09,4.37,3.86,4.31,4.24,4.39,3,3
7,4.05,2,4.05,4.24,3.92,3.98,3.88,4.28,7,7
1,4.04,3,3.66,3.98,3.99,4.13,4.05,4.41,1,1
12,4.03,4,3.71,4.18,3.88,4.08,4.09,4.25,12,12
10,4.03,5,3.99,4.25,3.59,4.09,4.05,4.25,10,10
11,4.02,6,3.92,4.21,3.68,4.09,4.02,4.25,11,11
6,4.00,7,3.89,4.06,3.58,4.10,4.08,4.32,6,6
2,3.99,8,3.92,3.96,3.53,4.01,4.18,4.41,2,2
5,3.99,9,3.77,4.03,3.67,4.05,4.11,4.33,5,5
8,3.97,10,3.82,4.00,3.56,3.89,4.32,4.28,8,8
4,3.96,11,3.63,4.02,3.85,3.92,3.96,4.38,4,4
15,3.92,12,3.81,3.97,3.77,3.93,3.92,4.14,15,15
13,3.90,13,3.63,4.02,3.51,3.97,4.10,4.24,13,13
19,3.89,14,3.78,4.05,3.51,3.87,4.09,4.08,19,19
9,3.88,15,3.71,3.99,3.43,4.02,3.92,4.26,9,9
14,3.84,16,3.59,4.00,3.55,3.84,4.00,4.15,14,14
20,3.83,17,3.62,3.84,3.83,3.80,3.83,4.06,20,20
21,3.75,18,3.87,3.97,3.25,3.71,3.82,3.98,21,21
17,3.74,19,3.47,3.85,3.51,3.66,3.85,4.13,17,17
22,3.73,20,3.60,3.75,3.38,3.90,3.81,3.96,22,22
24,3.70,21,3.52,3.69,3.43,3.69,3.94,3.94,24,24
16,3.68,22,3.29,3.46,3.75,3.72,3.70,4.13,16,16
18,3.64,23,3.17,3.25,3.83,3.71,3.72,4.13,18,18
26,3.63,24,3.53,3.63,3.37,3.76,3.61,3.90,26,26
25,3.61,25,3.40,3.73,3.33,3.59,3.75,3.92,25,25
27,3.61,26,3.29,3.75,3.54,3.59,3.65,3.84,27,27
35,3.60,27,3.47,3.72,3.48,3.57,3.67,3.72,35,35
23,3.54,28,3.25,3.21,3.68,3.58,3.51,3.95,23,23
33,3.51,29,3.36,3.29,3.42,3.60,3.62,3.76,33,33
36,3.47,30,3.00,3.38,3.75,3.42,3.56,3.70,36,36
32,3.42,31,3.35,3.27,3.22,3.21,3.67,3.79,32,32
28,3.41,32,3.14,3.14,3.46,3.41,3.47,3.81,28,28
34,3.38,33,3.17,3.19,3.51,3.19,3.41,3.74,34,34
31,3.32,34,3.27,3.21,3.27,3.13,3.20,3.80,31,31
38,3.31,35,3.42,3.26,3.19,3.05,3.27,3.70,38,38
30,3.31,36,3.32,3.10,3.26,3.15,3.21,3.80,30,30
48,3.31,37,3.32,3.33,2.78,3.39,3.50,3.59,48,48
46,3.28,38,2.87,3.13,3.31,3.33,3.40,3.60,46,46
40,3.27,39,2.95,3.01,3.16,3.40,3.45,3.67,40,40
37,3.23,40,2.77,3.19,2.79,3.61,3.35,3.70,37,37
53,3.22,41,2.90,3.15,3.35,3.30,3.15,3.46,53,53
42,3.20,42,2.84,3.17,3.30,3.06,3.18,3.66,42,42
29,3.20,43,2.87,3.16,3.30,3.05,2.97,3.80,29,29
52,3.18,44,2.96,2.91,3.21,3.13,3.32,3.50,52,52
45,3.15,45,3.05,2.89,3.15,3.00,3.15,3.62,45,45
41,3.15,46,2.67,2.90,3.23,3.10,3.30,3.67,41,41
44,3.15,47,2.71,3.21,3.06,3.05,3.23,3.63,44,44
39,3.12,48,2.58,2.91,3.18,3.07,3.26,3.68,39,39
47,3.10,49,2.98,3.01,2.93,3.10,3.01,3.59,47,47
71,3.08,50,2.78,2.89,3.21,3.23,3.14,3.23,71,71
49,3.05,51,2.77,2.85,3.10,3.02,3.00,3.53,49,49
