Country,Share of respondents who indicated they either owned or used cryptocurrencies in 55 countries worldwide in 2020,Units
Nigeria,31.9,in %
Vietnam,21.1,in %
Philippines,19.8,in %
South Africa,17.8,in %
Thailand,17.6,in %
Peru,16.1,in %
Turkey,16.1,in %
Colombia,15.3,in %
Argentina,14.4,in %
Indonesia,13,in %
Brazil,12.5,in %
Malaysia,12.3,in %
Chile,11.7,in %
Saudi Arabia,11.4,in %
Switzerland,11.1,in %
Greece,11.1,in %
Kenya,10.5,in %
Dominican Republic,10.3,in %
Netherlands,10,in %
United Arab Emirates,10,in %
Mexico,9.7,in %
Ireland,9.6,in %
Singapore,9.6,in %
Spain,9.4,in %
Morocco,9.3,in %
Czechia,9.2,in %
India,8.8,in %
Lithuania,8.7,in %
Egypt,8.3,in %
Norway,8.1,in %
Portugal,8.1,in %
Australia,7.8,in %
South Korea,7.6,in %
Serbia,7.5,in %
Russia,7.3,in %
Austria,7.2,in %
Poland,7.2,in %
China,6.9,in %
Hungary,6.4,in %
Romania,6.4,in %
Belgium,6.3,in %
United States,6.2,in %
France,5.6,in %
Pakistan,5.6,in %
Canada,5.2,in %
Germany,5.2,in %
"Taiwan, province of China",5.2,in %
Finland,5.1,in %
New Zealand,5.1,in %
Israel,4.9,in %
United Kingdom,4.7,in %
Italy,4.7,in %
Denmark,4.4,in %
Sweden,4.3,in %
Japan,3.7,in %
