"People who used a mobile phone or the internet to access a financial institution account in the past year (% with a financial institution account, age 15+) |    2017",
RANK,SCORE
1,100
2,97.24
3,93.95
4,93.08
5,89.01
6,86.73
7,84.4
8,82.82
9,82.64
10,81.53
11,79.37
12,75.65
13,73.15
14,71.2
15,70.34
16,69.36
17,66.56
18,66.35
19,66.23
20,60.65
21,60.62
22,59.89
23,59.16
24,58.94
25,58.49
26,57.53
27,56.92
28,55.84
29,52.51
30,52.32
31,51.17
32,50.93
33,50.73
34,50.6
35,48.77
36,46.58
37,46.32
38,46.02
39,44.27
40,43.89
41,43.79
42,43.4
43,43.39
44,42.11
45,40.98
46,40.46
47,40
48,39.41
49,38.84
50,36.31
51,36.21
52,35.69
53,35.3
54,34.56
55,34.3
56,34.02
57,33.51
58,32.53
59,32.31
60,31.01
61,30.94
62,30.8
63,30.59
64,30.31
65,29.47
66,28.29
67,28.13
68,27.88
69,27.27
70,26.71
71,25.65
72,24.23
73,24.15
74,23.87
75,23.59
76,23.33
77,22.93
78,22.52
79,19.93
80,19.7
81,19.4
82,18.74
83,18.11
84,17.67
85,17.52
86,17.15
87,16.91
88,16.85
89,16.36
90,16.28
91,16.25
92,16.23
93,15.9
94,14.96
95,14.35
96,14.08
97,13.55
98,13.18
99,12.98
100,12.96
101,12.41
102,11.51
103,10.71
104,10.62
105,10.37
106,10.29
107,10.13
108,9.92
109,9.8
110,9.76
111,9.24
112,8.62
113,7.65
114,6.93
115,6.34
116,5.99
117,5.27
118,5.12
119,4.16
120,3.56
121,3.38
122,0
,n/a
,n/a
,n/a
,n/a
,n/a
,n/a
,n/a
,n/a
,n/a
,n/a
,n/a
