2017,2018,2019,Country,
3.88,4.03,3.89,Albania,
3.98,3.84,4.12,Algeria,
No data,2.08,2.76,Angola,
4.35,4.1,4.19,Argentina,
3.82,3.87,4.03,Armenia,
5.03,4.81,4.57,Australia,
4.97,4.65,4.45,Austria,
4.72,4.72,4.79,Azerbaijan,
4.69,4.69,4.91,Bahrain,
3.65,3.66,3.67,Bangladesh,
No data,No data,4.61,Barbados,
4.84,4.73,4.73,Belgium,
4.9,4.82,4.65,Benin,
No data,3.51,3.68,Bolivia,
3.43,3.28,3.29,Bosnia and Herzegovina,
3.92,3.85,3.98,Botswana,
3.72,3.32,3.38,Brazil,
3.76,3.62,3.99,Brunei Darussalam,
3.16,3.34,3.62,Bulgaria,
No data,4.14,3.86,Burkina Faso,
3.63,3.63,4.63,Burundi,
4.25,4.09,4.21,Cabo Verde,
3.44,3.37,3.5,Cambodia,
4.49,4.37,4.42,Cameroon,
5.3,4.99,4.87,Canada,
3.8,3.89,3.85,Chad,
4.93,4.83,4.86,Chile,
4.58,4.58,4.58,China,
4.25,4.27,4.31,Colombia,
5.14,4.94,4.81,Costa Rica,
3.59,3.32,3.15,Croatia,
4.78,4.78,4.73,Cyprus,
3.57,3.32,3.25,Czech Republic,
4.92,4.86,4.92,Denmark,
3.81,4.01,4.11,Dominican Republic,
3.89,4.03,4.16,Ecuador,
3.63,3.62,4.01,"Egypt, Arab Rep.",
3.56,3.61,3.79,El Salvador,
3.88,3.55,3.53,Estonia,
3.69,3.69,3.64,Ethiopia,
5.61,5.34,5.2,Finland,
4.93,4.8,4.58,France,
No data,No data,3.84,Gabon,
4.26,4.51,4.61,"Gambia, The",
3.4,3.56,3.56,Georgia,
5.32,5.2,4.9,Germany,
4.51,4.61,4.61,Ghana,
4.5,4.39,4.27,Greece,
4.42,4.28,4.16,Guatemala,
3,3,3.98,Guinea,
3.16,3.01,2.94,Haiti,
4.01,4.03,4.03,Honduras,
2.86,2.95,3,Hungary,
5.3,4.97,5.17,Iceland,
4.46,4.68,4.17,India,
4.7,4.67,4.55,Indonesia,
4.05,4.01,3.89,"Iran, Islamic Rep.",
5.22,5.04,4.72,Ireland,
5.52,5.47,5.31,Israel,
4.69,4.48,4.28,Italy,
4.47,4.47,4.3,Jamaica,
4.53,4.6,4.4,Japan,
4.63,4.51,4.83,Jordan,
4.03,3.9,4.07,Kazakhstan,
4.85,4.88,4.87,Kenya,
4.76,4.8,4.91,"Korea, Rep.",
3.73,3.96,4.28,Kuwait,
3.6,3.54,3.59,Kyrgyz Republic,
3.96,3.82,4.19,Lao PDR,
3.72,3.82,3.92,Latvia,
4.92,4.85,5.07,Lebanon,
3.24,3.42,3.43,Lesotho,
3.55,3.71,No data,Liberia,
3.44,3.32,3.46,Lithuania,
4.26,4.25,4.38,Luxembourg,
No data,3.29,3.46,"Macedonia, FYR",
No data,No data,3.82,Madagascar,
3.61,3.86,3.76,Malawi,
5.36,5.28,5.07,Malaysia,
4.29,4.03,3.96,Mali,
3.92,3.72,3.55,Malta,
3.17,3.68,3.68,Mauritania,
4.06,3.97,4.04,Mauritius,
4.33,4.27,4.18,Mexico,
3.29,3.15,3.2,Moldova,
2.72,2.64,2.8,Mongolia,
3.67,3.96,4.03,Montenegro,
3.73,3.77,3.96,Morocco,
3.34,3.31,3.29,Mozambique,
3.54,3.51,3.9,Namibia,
3.79,3.84,3.97,Nepal,
5.27,5,4.81,Netherlands,
4.83,4.39,4.15,New Zealand,
3.4,3.32,3.32,Nicaragua,
4.02,3.8,3.95,Nigeria,
5.66,5.24,5.24,Norway,
3.54,4.35,4.55,Oman,
4.07,4.24,4.32,Pakistan,
3.69,3.4,3.61,Panama,
3.25,3.19,3.23,Paraguay,
3.73,3.64,3.64,Peru,
4.46,4.89,5.03,Philippines,
4.35,4.14,4.09,Poland,
4.81,4.7,4.57,Portugal,
4.86,5.04,5.25,Qatar,
3.23,3.24,3.25,Romania,
4.24,4.39,4.52,Russian Federation,
3.84,4.17,4.12,Rwanda,
4.24,4.52,5.02,Saudi Arabia,
4.65,4.61,4.8,Senegal,
3.73,4.1,4.44,Serbia,
3.53,3.94,4.12,Seychelles,
3.36,3.5,No data,Sierra Leone,
5.09,5.1,5.13,Singapore,
3.41,3.27,3.43,Slovak Republic,
4.36,4.26,4.26,Slovenia,
3.81,4.02,3.94,South Africa,
4.54,4.61,4.63,Spain,
4.18,4.29,4.45,Sri Lanka,
4.93,4.97,4.82,Sweden,
5.43,5.21,4.92,Switzerland,
5.02,5.01,5.15,"Taiwan, China",
3.87,3.94,4.18,Tajikistan,
3.96,4.02,4.29,Tanzania,
3.87,3.9,4.02,Thailand,
4.34,4.48,4.35,Trinidad and Tobago,
4.15,4.17,4.01,Tunisia,
3.86,3.46,3.92,Turkey,
4.43,4.6,4.45,Uganda,
4.53,4.38,4.4,Ukraine,
5.01,5.07,5.15,United Arab Emirates,
4.98,5.15,5.05,United Kingdom,
5.67,5.75,5.32,United States,
4,3.97,4.12,Uruguay,
3.46,3.25,3.39,"Venezuela, RB",
3.8,3.68,3.96,Vietnam,
3.41,3.39,3.71,"Yemen, Rep.",
4.63,4.65,4.76,Zambia,
4.31,4.17,4.38,Zimbabwe,
