country,broadband,mobile,pop2021
Singapore,226.6,60.52,5896.686
Hong Kong,210.73,50.96,7552.81
Romania,193.47,40.35,19127.774
Switzerland,178.81,64.1,8715.494
Thailand,175.22,34.38,69950.85
France,173.05,49.82,65426.179
Denmark,162.08,63.86,5813.298
Monaco,162.06,,39.511
Hungary,161.51,44.52,9634.164
United States,161.14,47.13,332915.073
Spain,157.22,39.03,46745.216
Liechtenstein,156.94,,38.25
Sweden,156.34,53.13,10160.169
South Korea,155.39,121,51305.186
Macau,154.57,53.3,658.394
Andorra,150.39,,77.355
Canada,145.24,75.71,38067.903
Norway,141.57,79.49,5465.63
Luxembourg,139.4,52,634.814
China,138.66,113.35,1444216.107
Chile,136.11,19.31,19212.361
New Zealand,135.92,56.49,4860.643
Taiwan,135.4,54.24,23855.01
Japan,132.75,35.52,126050.804
Portugal,126.33,42,10167.925
Netherlands,124.36,79.7,17173.099
Lithuania,122.04,54.68,2689.862
United Arab Emirates,118.52,109.43,9991.089
Germany,114.66,43.96,83900.473
Latvia,113.73,35.46,1866.942
Poland,111.75,40.73,37797.005
Kuwait,111.03,57.39,4328.55
Israel,110.98,22.36,8789.774
Malta,108.71,39.97,442.784
Finland,103.81,51.81,5548.36
Panama,99.45,17.72,4381.579
San Marino,98.59,,34.017
Barbados,98.28,,287.711
Belgium,97.94,57.6,11632.326
Slovenia,93.05,41.94,2078.724
Ireland,92.74,30.8,4982.907
Malaysia,91.49,25.04,32776.194
Moldova,91.38,37.96,4024.019
Qatar,89.59,92.85,2930.528
Slovakia,89.38,40.01,5460.721
Russia,77.51,23.22,145912.025
Estonia,75.82,47.38,1325.185
United Kingdom,75,35.98,68207.116
Saudi Arabia,73.45,76.37,35340.683
Austria,73.29,55.7,9043.07
Italy,72.52,41.06,60367.477
Czech Republic,72.28,47.57,10724.555
Brazil,67.86,28.36,213993.437
Serbia,67.49,50.49,8697.55
Trinidad and Tobago,65.99,39.86,1403.375
Bulgaria,64.65,75.66,6896.663
Belarus,64.44,14.23,9442.862
Ukraine,60.64,25.49,43466.819
Jordan,57.88,23.69,10269.021
Vietnam,56.83,33.18,98168.833
Australia,55.97,72.39,25788.215
Uruguay,54.45,34,3485.151
Bahrain,49.92,,1748.296
Grenada,49.36,,113.021
Montenegro,49.32,19.97,628.053
Kazakhstan,49.12,,18994.962
Mongolia,47.44,20.04,3329.289
Ghana,46.48,15.37,31732.129
India,46.47,12.07,1393409.038
Argentina,45.84,,45605.826
Oman,45.65,39.2,5223.375
