,Latest,All,Gender,Urban,Rural,data_country,data_year
,year,Individuals,Male,Total,Total,,
,2020,72.2,73.2,...,...,,
,2018,49.0,55.1,56.2,34.1,,
,2017,91.6,92.9,...,...,,
,2017,74.3,75.2,74.3,...,,
,2019,66.5,65.8,70.8,59.9,,
,2017,86.5,87.0,87.0,82.8,,
,2020,87.5,89.2,...,...,,
,2019,81.1,84.2,92.8,67.7,,
,2020,99.5,99.4,...,...,,
,2019,12.9,...,...,...,,
,2020,85.1,84.2,...,...,,
,2020,91.5,91.9,...,...,,
,2020,55.1,56.7,...,...,,
,2020,73.2,77.8,...,...,,
,2019,73.9,74.4,74.4,69.7,,
,2017,77.7,76.8,...,...,,
,2019,95.0,91.8,...,...,,
,2020,70.2,71.6,...,...,,
,2019,61.9,62.9,69.0,47.5,,
,2020,78.8,78.8,...,...,,
,2017,23.2,27.4,...,...,,
,2017,82.3,84.0,...,...,,
,2020,70.1,69.7,...,...,,
,2019,65.0,64.1,...,...,,
,2020,80.5,80.1,...,...,,
,2019,36.3,39.8,53.6,16.1,,
,2020,78.3,81.8,...,...,,
,2019,68.0,60.7,84.1,13.8,,
,2017,68.1,67.5,...,...,,
,2020,90.8,90.5,...,...,,
,2020,81.3,83.0,...,...,,
,2020,96.5,97.4,97.6,96.0,,
,2017,55.7,59.9,...,...,,
,2018,74.8,74.6,78.1,60.5,,
,2016,54.1,54.6,...,...,,
,2020,71.9,73.2,...,...,,
,2019,50.5,52.4,59.7,35.0,,
,2020,89.1,88.5,88.7,89.8,,
,2016,15.4,...,...,...,,
,2020,92.2,93.0,...,...,,
,2019,83.3,84.6,83.7,82.0,,
,2020,72.5,73.3,...,...,,
,2020,89.8,92.4,...,...,,
,2020,78.1,80.9,...,...,,
,2019,44.4,47.3,...,...,,
,2018,21.8,29.4,...,...,,
,2018,32.5,...,...,...,,
,2020,92.4,93.7,...,...,,
,2020,84.8,84.4,...,...,,
,2018,99.0,98.6,...,...,,
,2018,20.1,25.0,...,...,,
,2020,53.7,56.7,...,...,,
,2020,84.1,90.9,...,...,,
,2017,49.4,64.5,...,...,,
,2020,92.0,91.0,...,...,,
,2019,86.8,87.5,86.1,95.1,,
,2018,74.4,77.1,...,...,,
,2018,68.2,64.8,...,...,,
,2019,92.7,94.6,95.5,91.2,,
,2020,85.9,87.1,...,...,,
,2019,22.6,25.1,...,...,,
,2020,96.5,97.3,...,...,,
,2018,89.4,89.9,...,...,,
,2020,98.6,98.5,...,...,,
,2020,88.9,88.2,90.0,86.5,,
,2019,42.3,38.3,...,...,,
,2020,83.1,82.0,...,...,,
,2020,98.8,98.8,...,...,,
,2019,86.5,87.3,...,...,,
,2020,89.6,91.3,...,...,,
,2020,86.9,86.8,...,...,,
,2020,64.9,65.9,...,...,,
,2020,72.0,72.7,...,...,,
,2020,62.5,60.9,...,...,,
,2020,81.4,81.9,...,...,,
,2020,84.1,87.3,...,...,,
,2017,7.8,9.6,17.8,2.6,,
,2017,23.6,28.6,...,...,,
,2020,91.3,93.2,...,...,,
,2017,10.2,16.0,...,...,,
,2020,81.4,83.5,...,...,,
,2020,97.0,97.0,...,...,,
,2020,95.2,94.4,...,...,,
,2019,17.1,21.3,...,...,,
,2019,70.6,72.3,70.8,69.7,,
,2019,63.6,63.4,...,...,,
,2020,74.5,73.4,...,...,,
,2020,65.3,68.0,...,...,,
,2019,43.0,...,...,...,,
,2020,86.8,87.0,...,...,,
,2020,78.3,79.7,...,...,,
,2019,77.7,77.3,...,...,,
,2020,99.7,100.0,...,...,,
,2020,78.5,80.1,...,...,,
,2020,85.0,85.5,...,...,,
,2020,97.9,97.5,...,...,,
,2020,78.4,81.8,...,...,,
,2020,75.9,75.0,...,...,,
,2020,89.9,90.2,...,...,,
,2020,86.6,87.2,...,...,,
,2020,93.2,93.2,...,...,,
,2016,14.1,16.9,...,...,,
,2020,94.5,95.4,...,...,,
,2019,93.1,95.1,93.7,91.5,,
,2020,89.0,88.3,...,...,,
,2016,13.5,19.0,...,...,,
,2020,77.8,79.0,...,...,,
,2017,12.4,16.3,...,...,,
,2019,66.7,72.5,...,...,,
,2020,77.7,83.3,...,...,,
,2019,70.1,72.4,...,...,,
,2020,100.0,100.0,...,...,,
,2020,94.8,95.2,...,...,,
,2019,89.4,...,...,...,,
,2019,83.4,82.8,...,...,,
,2019,70.4,74.9,...,...,,
,2020,70.3,73.8,...,...,,
,2018,14.3,15.5,...,...,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
