Country,Type,Title of Legislation/Draft Legislation,Links to laws,data_country,data_year
Albania,Legislation,"Law No. 9887 on the Protection of Personal Data, 2008 (in English)",https://www.idp.al/wp-content/uploads/2019/10/LDP_english_version_amended_2014.pdf,,
Algeria,Legislation,Loi n° 18-07 du 10 juin 2018 relative à la protection des personnes physiques dans le traitement des données à caractère personnel. (in French),https://www.joradp.dz/Jo2000/2018/034/FP10.pdf,,
Andorra,Legislation,Qualified law 15/2003 on personal data protection  (in Catalan),https://www.afapdp.org/wp-content/uploads/2018/05/Andorre-Loi-n%C2%B015-2003-relative-a-la-protection-des-donnees-personnelles-2003.pdf,,
Angola,Legislation,Lei No. 22/11 da Protecção de Dados Pessoais de 17 de Junho (in Portuguese),https://media2.mofo.com/documents/Law_22_11_Data_Privacy_Law.pdf,,
Angola,Legislation,"Regulamento das Tecnologias e dos Serviços da Sociedade da Informação, Decreto Presidencial n.º202/11",https://www.inacom.gov.ao/fotos/frontend_6/editor2/1_lei_202_de_2011-22_de_julho_de_2011.pdf,,
Antigua and Barbuda,Legislation,Data Protection Act 2013 (in English),http://laws.gov.ag/wp-content/uploads/2019/02/a2013-10.pdf,,
Argentina,Legislation,Ley 25.326 de Protección de los Datos Personales (in Spanish),http://servicios.infoleg.gob.ar/infolegInternet/anexos/60000-64999/64790/norma.htm,,
Armenia,Legislation,Law of the Republic of Armenia on the Protection of Personal Data (in English),http://www.foi.am/u_files/file/Personaldataprotectionlaw_ENG.pdf,,
Australia,Legislation,Privacy Act 1988 (in English),http://www.comlaw.gov.au/Details/C2015C00089,,
Austria,Legislation,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Austria,Legislation,Datenschutzgesetz 2000 (in German),https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=bundesnormen&Gesetzesnummer=10001597,,
Azerbaijan,Legislation,Law on Personal Data 2010 (in Azerbaijani),http://www.e-qanun.az/framework/19675,,
Bahamas,Legislation,Data Protection (Privacy of Personal Information) Act 2003 (in English),http://laws.bahamas.gov.bs/cms/images/LEGISLATION/PRINCIPAL/2003/2003-0003/DataProtectionPrivacyofPersonalInformationAct_1.pdf,,
Bahrain,Legislation,Law on the Protection of Personal Data (in arabic),http://www.legalaffairs.gov.bh/AdvancedSearchDetails.aspx?id=146182#.XkE3L2hKjDc,,
Barbados,Draft Legislation,"Bill - Data Protection passed in Senate and House of Assembly, 2019",https://www.barbadosparliament.com/uploads/bill_resolution/7b81b59260896178b5aa976fdb87bfee.pdf,,
Belarus,Legislation,"Law Of The Republic Of Belarus On Information, Informatization and Protection of information No. 455-Z/2008 (In Russian)",http://pravo.by/document/?guid=3871&p0=h10800455,,
Belarus,Legislation,"Law Of The Republic Of Belarus On Information, Informatization and Protection of information No. 455-Z/2008 (in English, unofficial translation)",http://www.e-belarus.org/docs/informationlawdraft.html,,
Belgium,Legislation,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Belgium,Legislation,Law on electronic communication (amended in 2014),https://www.legislationline.org/download/id/5514/file/Belgium_Privacy_Act_1992_as_of_2014_en.pdf,,
Benin,Legislation,Loi n° 2017-20 portant code du numérique en République du Bénin,https://www.afapdp.org/wp-content/uploads/2018/06/Benin-Loi-2017-20-Portant-code-du-numerique-en-Republique-du-Benin.pdf,,
Bhutan,Legislation,"Bhutan Information, Communications and Media Act 2018 (in English and Dzongkha)",https://www.dit.gov.bt/information-communications-and-media-act-bhutan-2018,,
Bolivia (Plurinational State of),Legislation,"Ley general de Telecomunicaciones, Tecnologías de Información y Comunicación – Ley 167 de 08 agosto de 2011 (in Spanish)",https://www.wipo.int/edocs/lexdocs/laws/es/bo/bo052es.pdf,,
Bosnia and Herzegovina,Legislation,Law on the Protection of Personal Data (Unofficial in English),https://rm.coe.int/CoERMPublicCommonSearchServices/DisplayDCTMContent?documentId=09000016806af037,,
Bosnia and Herzegovina,Legislation,General regulations of the Personal Data Protection Agency ,http://www.azlp.ba/propisi/default.aspx?id=8&langTag=en-US&template_id=149&pageIndex=1,,
Botswana,Draft Legislation,"Bill - Data protection Law 2018, maybe passing in 2020.",https://www.bocra.org.bw/sites/default/files/documents/DataProtectionAct.pdf,,
Brazil,Legislation,Protection of Personal Data Bill 2011 (in Portuguese),http://participacao.mj.gov.br/dadospessoais/texto-em-debate/anteprojeto-de-lei-para-a-protecao-de-dados-pessoais/,,
Brazil,Legislation,"Internet Act (Law Nº 12.965, April 23rd 2014). Articles 7 and 8. ",http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2014/lei/l12965.htm,,
