RANK,COUNTRY/ECONOMY,VALUE,SCORE
1,Finland,7.78,100
2,Switzerland,7.69,98.31
3,Denmark,7.69,98.28
4,Iceland,7.53,95.13
5,Norway,7.44,93.35
6,Netherlands,7.43,93.02
7,Luxembourg,7.4,92.6
8,Sweden,7.4,92.49
9,Ireland,7.25,89.67
10,Australia,7.23,89.26
11,New Zealand,7.21,88.69
12,Austria,7.2,88.5
13,United Kingdom,7.16,87.75
14,Canada,7.11,86.8
15,Germany,7.04,85.36
16,Czech Republic,7.03,85.33
17,Costa Rica,7,84.61
18,United States,6.94,83.55
19,Israel,6.93,83.23
20,Oman,6.85,81.77
21,Belgium,6.77,80.18
22,Malta,6.73,79.41
23,United Arab Emirates,6.71,78.97
24,France,6.69,78.56
25,Slovenia,6.67,78.08
26,Uruguay,6.6,76.8
27,Saudi Arabia,6.56,76.03
28,Spain,6.46,73.99
29,El Salvador,6.45,73.94
30,Brazil,6.45,73.87
31,Italy,6.45,73.76
32,Mexico,6.43,73.49
33,Singapore,6.38,72.44
34,Qatar,6.37,72.36
35,Colombia,6.35,71.89
36,Kazakhstan,6.27,70.35
37,Philippines,6.27,70.26
38,Guatemala,6.26,70.15
39,Slovakia,6.24,69.79
40,Poland,6.24,69.76
41,Serbia,6.24,69.75
42,Mauritius,6.24,69.74
43,Bahrain,6.23,69.47
44,Trinidad and Tobago,6.19,68.77
45,Cyprus,6.14,67.69
46,Romania,6.13,67.56
47,Kuwait,6.11,67.09
48,Portugal,6.1,66.88
49,Panama,6.09,66.69
50,Argentina,6.09,66.68
51,Lithuania,6.06,66.26
52,Estonia,6.03,65.68
53,Thailand,6.02,65.44
54,Bosnia and Herzegovina,6.02,65.31
55,Dominican Republic,6,65.08
56,Hungary,6,65.01
57,Peru,6,64.99
58,Latvia,5.97,64.41
59,Greece,5.95,64.06
60,Chile,5.94,63.87
61,Honduras,5.93,63.63
62,Japan,5.91,63.19
63,"Korea, Rep.",5.9,63.09
64,Jamaica,5.89,62.83
65,Belarus,5.82,61.49
66,Ecuador,5.81,61.25
67,Moldova,5.8,61.14
68,Kyrgyzstan,5.69,58.81
69,Bolivia,5.67,58.6
70,Hong Kong (China),5.66,58.3
71,Paraguay,5.65,58.17
72,Croatia,5.63,57.64
73,Mongolia,5.56,56.41
74,Russian Federation,5.51,55.44
75,Senegal,5.49,54.95
76,Pakistan,5.47,54.61
77,Viet Nam,5.47,54.53
78,Tajikistan,5.46,54.46
79,Nepal,5.45,54.16
80,Malaysia,5.43,53.76
81,Côte d'Ivoire,5.39,53.05
82,Montenegro,5.39,52.93
83,Indonesia,5.35,52.15
84,Lao PDR,5.2,49.21
85,Azerbaijan,5.17,48.75
86,Gambia,5.16,48.56
87,China,5.14,48.18
88,Bangladesh,5.11,47.59
89,Bulgaria,5.11,47.47
90,Venezuela,5.08,46.93
91,Armenia,5.06,46.57
92,Morocco,5.06,46.46
93,South Africa,5.03,46.03
94,North Macedonia,5.02,45.65
95,"Iran, Islamic Rep.",5.01,45.46
96,Cambodia,5,45.31
97,Albania,5,45.25
98,Mali,4.99,45.11
99,Benin,4.98,44.88
100,Ghana,4.97,44.69
101,Uganda,4.95,44.32
102,Cameroon,4.94,44.1
103,Mozambique,4.93,44.01
104,Georgia,4.89,43.22
105,Turkey,4.87,42.83
106,Guinea,4.77,40.78
107,Algeria,4.74,40.32
108,Burkina Faso,4.74,40.25
109,Ukraine,4.7,39.48
110,Kenya,4.62,37.85
111,Jordan,4.45,34.58
112,Namibia,4.44,34.25
113,Eswatini,4.4,33.47
114,Nigeria,4.36,32.69
115,Madagascar,4.34,32.35
116,Egypt,4.33,32.13
117,Tunisia,4.32,31.89
118,"Congo, Dem. Rep.",4.31,31.8
119,Chad,4.25,30.61
120,Sri Lanka,4.21,29.88
121,Yemen,4.2,29.55
122,Ethiopia,4.1,27.64
123,Lebanon,4.02,26.16
124,Malawi,3.87,23.11
125,Angola,3.79,21.65
126,Burundi,3.78,21.27
127,Tanzania,3.64,18.61
128,Lesotho,3.51,16.09
129,Botswana,3.47,15.29
130,Zambia,3.31,12.06
131,Rwanda,3.27,11.3
132,India,3.25,10.92
133,Zimbabwe,2.69,0
,Cabo Verde,n/a,n/a
