Registered Population Above Cut-Off Age,,Country Characteristics,NID age,Data Source Category,Registered Population,By Gender,By Rural/Urban,By Age Group,data_country,data_year
id,,Region,Mandatory NID Age,Type,RPB (Registered Population Above Cut-off Age),RPB Male,RPB Rural,RPB 0-30,,
1,,SAS,0,Voter,"20,845,988","13,549,892",n/a,n/a,,
2,,ECS,16,Direct,"4,455,772","2,267,673",n/a,"1,863,436",,
3,,MEA,18,Voter,"23,251,503",n/a,n/a,n/a,,
4,,ECS,-,Voter,"24,512",n/a,n/a,n/a,,
5,,SSF,10,Voter,"9,317,294",n/a,n/a,n/a,,
6,,LCN,-,Voter,"51,258",n/a,n/a,n/a,,
7,,LCN,0,Voter,"33,454,411",n/a,n/a,n/a,,
8,,ECS,16,Voter,"2,588,590",n/a,n/a,n/a,,
9,,EAS,-,Voter,"16,117,860","7,847,109",n/a,"3,031,006",,
10,,ECS,0,Voter,"6,400,993","3,093,348",n/a,n/a,,
11,,ECS,16,Voter,"5,309,434","2,696,131",n/a,n/a,,
12,,LCN,0,Voter,"181,543",n/a,n/a,n/a,,
13,,MEA,0,Direct,"1,501,116","951,312",n/a,"737,139",,
14,,SAS,18,Voter,"101,843,667",n/a,n/a,n/a,,
15,,LCN,16,Voter,"249,024",n/a,n/a,n/a,,
16,,ECS,14,Direct,"8,703,439","4,031,289",n/a,"2,571,208",,
17,,ECS,12,Voter,"8,008,776",n/a,n/a,n/a,,
18,,LCN,-,Voter,"202,481","101,614",n/a,n/a,,
19,,SSF,18,Voter,"4,746,348",n/a,n/a,n/a,,
20,,SAS,15,Voter,"381,790","187,917",n/a,n/a,,
21,,LCN,18,Voter,"5,971,152",n/a,n/a,n/a,,
22,,ECS,18,Voter,"3,278,908",n/a,n/a,n/a,,
23,,SSF,16,Voter,"824,073",n/a,n/a,n/a,,
24,,LCN,18,Voter,"144,088,912","68,767,634",n/a,n/a,,
25,,EAS,12,Census,"422,678","216,832",n/a,n/a,,
26,,ECS,14,Voter,"6,838,235",n/a,n/a,n/a,,
27,,SSF,15,Voter,"5,517,015",n/a,n/a,n/a,,
28,,SSF,16,Voter,"3,848,119",n/a,n/a,n/a,,
29,,SSF,0,Voter,"347,828",n/a,n/a,n/a,,
30,,EAS,15,Voter,"9,675,453",n/a,n/a,n/a,,
31,,SSF,0,Voter,"5,481,226",n/a,n/a,n/a,,
32,,NAC,-,Voter,"25,939,742","12,870,134",n/a,n/a,,
33,,SSF,0,Voter,"1,954,433",n/a,n/a,n/a,,
34,,SSF,16,Voter,"6,252,548",n/a,n/a,n/a,,
35,,LCN,18,Direct,"12,997,140",n/a,n/a,"2,781,566",,
36,,EAS,16,Hukou,"1,382,710,000","708,150,000","589,730,000",n/a,,
37,,LCN,14,Voter,"36,025,318","17,419,011",n/a,n/a,,
38,,SSF,15,Voter,"301,006",n/a,n/a,n/a,,
39,,SSF,-,Voter,"40,287,385",n/a,n/a,n/a,,
40,,SSF,18,Voter,"2,221,596",n/a,n/a,n/a,,
41,,LCN,18,Voter,"3,322,329",n/a,n/a,n/a,,
42,,SSF,16,Direct,"7,579,824","4,775,289",n/a,n/a,,
43,,ECS,16,Voter,"3,825,242",n/a,n/a,n/a,,
44,,LCN,16,Voter,"8,926,575",n/a,n/a,n/a,,
45,,ECS,12,Voter,"550,876",n/a,n/a,n/a,,
46,,ECS,15,Voter,"8,366,433",n/a,n/a,n/a,,
47,,ECS,15,Voter,"4,145,105",n/a,n/a,n/a,,
48,,MEA,18,Voter,"194,000",n/a,n/a,n/a,,
49,,LCN,0,Voter,"70,541",n/a,n/a,n/a,,
50,,LCN,16,Direct,"7,304,764","3,699,271",n/a,"2,323,334",,
51,,LCN,18,Direct,"18,733,517","9,387,651",n/a,"9,826,537",,
52,,MEA,16,Voter,"59,078,138",n/a,n/a,n/a,,
53,,LCN,18,Direct,"6,020,209","2,911,016","2,348,166",n/a,,
54,,SSF,-,Voter,"325,555",n/a,n/a,n/a,,
55,,SSF,18,Voter,"1,173,706",n/a,n/a,n/a,,
56,,ECS,15,Direct,"1,282,902","597,661",n/a,"363,490",,
57,,SSF,16,Voter,"36,851,461",n/a,n/a,n/a,,
58,,EAS,18,Voter,"624,404","315,624",n/a,n/a,,
59,,ECS,0,Voter,"4,498,004","2,164,139",n/a,n/a,,
60,,ECS,16,Voter,"47,568,588",n/a,n/a,n/a,,
61,,SSF,16,Voter,"627,805",n/a,n/a,n/a,,
62,,SSF,18,Voter,"886,578",n/a,n/a,n/a,,
63,,ECS,14,Voter,"3,513,884",n/a,n/a,n/a,,
64,,ECS,16,Voter,"61,688,485",n/a,n/a,n/a,,
65,,SSF,15,Voter,"15,712,499",n/a,n/a,n/a,,
66,,ECS,12,Direct,"8,656,339","4,271,331",n/a,"1,935,746",,
67,,LCN,0,Voter,"62,147",n/a,n/a,n/a,,
68,,LCN,18,Voter,"7,522,920",n/a,n/a,n/a,,
69,,SSF,15,Voter,"6,042,634",n/a,n/a,n/a,,
70,,SSF,18,Voter,"775,508",n/a,n/a,n/a,,
71,,LCN,14,Voter,"570,708",n/a,n/a,n/a,,
72,,LCN,18,Voter,"6,189,253","3,076,918",n/a,n/a,,
73,,LCN,18,Direct,"6,149,112","3,034,974","2,864,256","2,335,432",,
74,,EAS,11,Voter,"3,779,085",n/a,n/a,n/a,,
75,,ECS,14,Direct,"9,970,906","4,798,425","3,019,125","3,260,535",,
76,,ECS,14,Voter,"246,542","122,899",n/a,n/a,,
77,,SAS,0,Direct/Web,"1,192,141,737","616,337,278",n/a,n/a,,
78,,EAS,17,Voter,"193,944,150",n/a,n/a,n/a,,
79,,MEA,15,Voter,"56,410,234",n/a,n/a,n/a,,
80,,MEA,0,Voter,"21,500,000",n/a,n/a,n/a,,
81,,ECS,-,Voter,"3,305,110",n/a,n/a,n/a,,
82,,MEA,16,Voter,"5,881,696",n/a,n/a,n/a,,
83,,ECS,15,Voter,"46,505,499",n/a,n/a,n/a,,
84,,LCN,18,Voter,"1,905,277","            933,405","         1,271,689","            476,223",,
85,,EAS,0,Voter,"101,280,758",n/a,n/a,n/a,,
86,,MEA,16,Voter,"4,130,145",n/a,n/a,n/a,,
87,,ECS,16,Voter,"9,810,920",n/a,n/a,n/a,,
88,,SSF,18,Direct,"26,039,353","13,072,113",n/a,"8,813,250",,
89,,EAS,-,Voter,"40,000",n/a,n/a,n/a,,
90,,EAS,17,Voter,"17,645,838",n/a,n/a,n/a,,
91,,EAS,17,Direct,"51,778,544","25,855,919","9,616,426","17,168,717",,
92,,ECS,16,Voter,"1,888,059",n/a,n/a,n/a,,
93,,MEA,0,Direct,"4,500,476","2,838,421",n/a,"2,109,814",,
94,,ECS,16,Direct,"3,981,070","1,930,283","2,819,165","1,370,630",,
95,,EAS,18,Voter,"3,733,932",n/a,n/a,n/a,,
96,,ECS,0,Direct,"2,287,971","1,067,183","988,958","788,144",,
97,,MEA,15,Voter,"3,258,573",n/a,n/a,n/a,,
98,,SSF,16,Direct,"1,384,254","648,559",n/a,"694,677",,
99,,SSF,0,Voter,"2,183,629","1,119,355",n/a,"1,137,671",,
100,,MEA,18,Voter,"1,509,218",n/a,n/a,n/a,,
101,,ECS,15,Voter,"19,806","9,627",n/a,n/a,,
102,,ECS,16,Voter,"2,559,398",n/a,n/a,n/a,,
103,,ECS,15,Voter,"246,974",n/a,n/a,n/a,,
104,,EAS,18,Voter,"305,615",n/a,n/a,n/a,,
105,,ECS,18,Direct,"1,757,858","886,107","705,284","327,163",,
106,,SSF,18,Voter,"7,971,790",n/a,n/a,n/a,,
107,,SSF,16,Direct,"9,168,689","4,201,171",n/a,"4,297,214",,
108,,EAS,12,Direct,"30,253,480","15,318,038",n/a,"15,591,987",,
109,,SAS,18,Direct,"378,104","193,982","248,595","211,989",,
110,,SSF,18,Direct,"14,861,697","7,617,124",n/a,"9,845,991",,
111,,MEA,14,Voter,"341,856",n/a,n/a,n/a,,
112,,EAS,-,Voter,"44,588",n/a,n/a,n/a,,
113,,SSF,15,Voter,"1,328,168",n/a,n/a,n/a,,
114,,SSF,18,Voter,"936,975",n/a,n/a,n/a,,
115,,LCN,18,Voter,"87,860,056","42,315,186",n/a,"25,659,321",,
116,,EAS,-,Voter,"117,977",n/a,n/a,n/a,,
117,,ECS,0,Direct,"4,106,470",n/a,n/a,n/a,,
118,,ECS,0,Voter,"7,245",n/a,n/a,n/a,,
119,,EAS,16,Direct,"2,165,254","1,055,747",n/a,n/a,,
120,,ECS,18,Direct,"670,163","337,155",n/a,"253,012",,
121,,MEA,18,Voter,"15,702,592",n/a,n/a,n/a,,
122,,SSF,0,Voter,"10,964,978",n/a,n/a,n/a,,
123,,EAS,10,Survey,"29,297,588",n/a,n/a,"9,556,912",,
124,,SSF,16,Direct/Survey,"1,386,354",n/a,n/a,"573,740",,
125,,EAS,-,Voter,"7,843",n/a,n/a,n/a,,
126,,SAS,16,Voter,"15,427,938","7,776,628",n/a,n/a,,
127,,ECS,18,Voter,"12,893,466",n/a,n/a,n/a,,
128,,EAS,-,Voter,"3,298,009",n/a,n/a,"604,331",,
129,,LCN,16,Voter,"3,800,000",n/a,n/a,n/a,,
130,,SSF,18,Voter,"7,581,486",n/a,n/a,n/a,,
131,,SSF,16,Direct,"28,500,000",n/a,n/a,n/a,,
132,,ECS,0,Voter,"3,765,245",n/a,n/a,n/a,,
133,,MEA,15,Voter,"525,785",n/a,n/a,n/a,,
134,,SAS,18,Voter,"97,021,554","54,596,506",n/a,n/a,,
135,,EAS,-,Voter,"15,890",n/a,n/a,n/a,,
136,,MEA,16,Voter,"2,087,721","1,066,264",n/a,"855,822",,
137,,LCN,18,Voter,"2,457,401",n/a,n/a,n/a,,
138,,EAS,18,Voter,"5,055,347",n/a,n/a,n/a,,
139,,LCN,18,Voter,"3,516,275",n/a,n/a,n/a,,
140,,LCN,17,Direct,"33,478,471","16,799,729",n/a,"17,884,564",,
141,,EAS,-,Voter,"54,363,844","26,311,706",n/a,"18,396,615",,
142,,ECS,18,Voter,"30,709,281",n/a,n/a,n/a,,
143,,ECS,10,Direct,"14,172,352","7,016,972",n/a,"4,092,169",,
144,,MEA,16,Voter,"85,000",n/a,n/a,n/a,,
145,,ECS,14,Direct,"22,238,427","10,862,020","9,688,715","7,493,692",,
146,,ECS,16,Direct,"116,903,120",n/a,n/a,n/a,,
147,,SSF,16,Voter,"6,897,076",n/a,n/a,n/a,,
148,,EAS,-,Voter,"100,097",n/a,n/a,n/a,,
149,,ECS,0,Voter,"33,985",n/a,n/a,n/a,,
150,,SSF,11,Voter,"111,222",n/a,n/a,n/a,,
151,,MEA,15,Voter,"1,480,000","1,350,000",n/a,n/a,,
152,,SSF,15,Voter,"6,219,446",n/a,n/a,n/a,,
153,,ECS,16,Voter,"6,739,441",n/a,n/a,n/a,,
154,,SSF,0,Voter,"71,932",n/a,n/a,n/a,,
155,,SSF,6,Direct,"5,072,088","2,478,500","4,188,108",n/a,,
156,,EAS,15,Voter,"2,516,608",n/a,n/a,n/a,,
157,,ECS,15,Voter,"4,426,760",n/a,n/a,n/a,,
158,,ECS,0,Voter,"1,713,473",n/a,n/a,n/a,,
159,,EAS,-,Voter,"287,438",n/a,n/a,n/a,,
160,,SSF,-,Voter,"3,200,602",n/a,n/a,n/a,,
161,,SSF,16,Voter,"25,388,082",n/a,n/a,n/a,,
162,,SSF,18,Voter,"3,932,599",n/a,n/a,n/a,,
163,,ECS,14,Voter,"36,520,913",n/a,n/a,n/a,,
164,,SAS,16,Voter,"15,760,867","7,659,781",n/a,n/a,,
165,,LCN,18,Voter,"42,185",n/a,n/a,n/a,,
166,,LCN,0,Voter,"161,883",n/a,n/a,n/a,,
167,,LCN,0,Voter,"89,527","45,823",n/a,n/a,,
168,,SSF,18,Voter,"13,126,989",n/a,n/a,n/a,,
169,,LCN,16,Voter,"356,223",n/a,n/a,n/a,,
170,,SSF,16,Voter,"415,012",n/a,n/a,n/a,,
171,,ECS,13,Voter,"7,359,962",n/a,n/a,n/a,,
172,,ECS,-,Voter,"5,356,538",n/a,n/a,n/a,,
173,,MEA,14,Voter,"8,834,994",n/a,n/a,n/a,,
174,,EAS,14,Voter,"18,786,940",n/a,n/a,n/a,,
175,,ECS,16,Voter,"4,401,516",n/a,n/a,n/a,,
176,,SSF,18,Voter,"23,253,982",n/a,n/a,n/a,,
177,,EAS,7,Direct,"66,188,503","32,464,906","43,491,958","26,473,458",,
178,,EAS,0,Voter,"760,907",n/a,n/a,n/a,,
179,,SSF,-,Voter,"3,509,258",n/a,n/a,n/a,,
180,,EAS,14,Voter,"59,000",n/a,n/a,n/a,,
181,,LCN,15,Voter,"1,100,000",n/a,n/a,n/a,,
182,,MEA,18,Voter,"5,308,354",n/a,n/a,n/a,,
183,,ECS,0,Direct,"80,810,525","40,535,135","6,049,393","39,504,291",,
184,,ECS,-,Voter,"3,291,312",n/a,n/a,n/a,,
