People who used the Internet to buy something online in the past year (%) | 2017,
RANK,SCORE
1,100
2,97.11
3,96.99
4,95.86
5,92.94
6,91.9
7,90.33
8,88.63
9,87.95
10,86.81
11,85.73
12,77.92
13,76.29
14,73.44
15,71.84
16,71.18
17,70.45
18,69.47
19,69.31
20,65.55
21,63.63
22,61.58
23,61.28
24,59.87
25,59.74
26,58.85
27,58.35
28,58.06
29,56.59
30,54.55
31,53.52
32,52.88
33,51.57
34,44.25
35,43.46
36,41.45
37,38.49
38,37.96
39,36.86
40,34.47
41,32.95
42,32.24
43,32.09
44,31.95
45,31.1
46,29.38
47,28.4
48,27.91
49,27.8
50,27.31
51,25.89
52,25.17
53,24
54,23.53
55,23.13
56,21.59
57,21.54
58,21.09
59,19.99
60,18.79
61,18.52
62,18.46
63,18.19
64,17.64
65,17.23
66,16.52
67,15.54
68,15.07
69,12.64
70,11.83
71,11.62
72,10.88
73,10.78
74,10.05
75,9.65
76,9.51
77,9.46
78,9.08
79,8.94
80,8.51
81,7.81
82,7.7
83,7.11
84,6.82
85,6.61
86,6.5
87,6.47
88,6.15
89,5.96
90,5.56
91,5.54
92,5.48
93,5.41
94,5.21
95,4.91
96,4.83
97,4.6
98,4.53
99,4.12
100,3.91
101,3.88
102,3.63
103,3.62
104,3.56
105,3.51
106,3.47
107,3.45
108,3.32
109,3.31
110,3.24
111,3.22
112,3.09
113,2.93
114,2.59
115,2.31
116,2.2
117,2.1
118,2.04
119,2
120,1.59
121,1.24
122,1.23
123,1.05
124,0
,n/a
,n/a
,n/a
,n/a
,n/a
,n/a
,n/a
,n/a
,n/a
,n/a
