Country,Score,Torrents Restricted?,Torrents Banned or Shut Down?,Pornography Restricted?,Pornography Banned?,Political Media Restricted?,Political Media Heavily Censored?,Social Media Restricted?,Social Media Banned?,VPNs Restricted,VPNs Banned?,Messaging and VoIP App Restrictions
Afghanistan,4,Y,N,Y,Y,Y,N,N,N,N,N,N
Albania,2,Y,N,N,N,Y,N,N,N,N,N,N
Algeria,5,Y,N,Y,N,Y,Y,Y,N,N,N,N
Andorra,1,Y,N,N,N,N,N,N,N,N,N,N
Angola,2,Y,N,N,N,Y,N,N,N,N,N,N
Argentina,3,Y,Y,N,N,Y,N,N,N,N,N,N
Armenia,3,Y,N,Y,Y,N,N,N,N,N,N,N
Australia,3,Y,Y,Y,N,N,N,N,N,N,N,N
Austria,2,Y,Y,N,N,N,N,N,N,N,N,N
Azerbaijan,5,Y,N,Y,N,Y,Y,Y,N,N,N,N
Bahrain,7,Y,N,Y,Y,Y,Y,Y,N,Y,N,N
Bangladesh,6,Y,N,Y,Y,Y,Y,Y,N,N,N,N
Belarus,8,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N
Belgium,2,Y,Y,N,N,N,N,N,N,N,N,N
Belize,2,Y,N,N,N,N,N,N,N,N,N,Y
Benin,2,Y,N,N,N,Y,N,N,N,N,N,N
Bhutan,3,Y,N,Y,N,Y,N,N,N,N,N,N
Bolivia,2,Y,N,N,N,Y,N,N,N,N,N,N
Bosnia and Herzegovina,1,Y,N,N,N,N,N,N,N,N,N,N
Botswana,2,Y,N,N,N,Y,N,N,N,N,N,N
Brazil,2,Y,N,N,N,N,N,N,N,N,N,Y
Brunei,5,Y,N,Y,Y,Y,Y,N,N,N,N,N
Bulgaria,2,Y,N,N,N,Y,N,N,N,N,N,N
Burkina Faso,1,Y,N,N,N,N,N,N,N,N,N,N
Burundi,4,Y,N,N,N,Y,N,Y,N,N,N,Y
Cambodia,6,Y,N,Y,Y,Y,Y,Y,N,N,N,N
Cameroon,4,Y,N,N,N,Y,Y,Y,N,N,N,N
Canada,2,Y,Y,N,N,N,N,N,N,N,N,N
Cape Verde,1,Y,N,N,N,N,N,N,N,N,N,N
Central African Republic,2,Y,N,N,N,Y,N,N,N,N,N,N
Chad,4,Y,N,N,N,Y,Y,Y,N,N,N,N
Chile,1,Y,N,N,N,N,N,N,N,N,N,N
China,11,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Colombia,2,Y,N,N,N,Y,N,N,N,N,N,N
Comoros,2,Y,N,N,N,Y,N,N,N,N,N,N
Congo-Brazzaville,3,Y,N,N,N,Y,N,Y,N,N,N,N
Costa Rica,1,Y,N,N,N,N,N,N,N,N,N,N
Côte D'Ivoire,2,Y,N,N,N,Y,N,N,N,N,N,N
Croatia,1,Y,N,N,N,N,N,N,N,N,N,N
Cuba,7,Y,N,Y,N,Y,Y,Y,N,Y,N,Y
Cyprus,1,Y,N,N,N,N,N,N,N,N,N,N
Czech Republic,1,Y,N,N,N,N,N,N,N,N,N,N
Democratic Republic of Congo,4,Y,N,N,N,Y,Y,Y,N,N,N,N
Denmark,2,Y,Y,N,N,N,N,N,N,N,N,N
Djibouti,4,Y,N,N,N,Y,Y,Y,N,N,N,N
Ecuador,3,Y,N,N,N,Y,N,Y,N,N,N,N
Egypt,7,Y,N,Y,N,Y,Y,Y,N,Y,N,Y
El Salvador,2,Y,N,N,N,Y,N,N,N,N,N,N
Equatorial Guinea,7,Y,N,Y,Y,Y,Y,Y,N,N,N,Y
Eritrea,7,Y,N,Y,Y,Y,Y,Y,Y,N,N,N
Estonia,1,Y,N,N,N,N,N,N,N,N,N,N
Eswatini,4,Y,N,N,N,Y,Y,Y,N,N,N,N
Ethiopia,4,Y,N,Y,N,Y,N,Y,N,N,N,N
Fiji,2,Y,N,N,N,Y,N,N,N,N,N,N
Finland,2,Y,Y,N,N,N,N,N,N,N,N,N
