Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Afghanistan,AFG,..,..,..,..,9,9,9,9,9,10,10,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Albania,ALB,..,..,..,..,7,6,6,6,8,8,8,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Algeria,DZA,..,..,..,..,2,2,2,2,2,2,2,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Angola,AGO,..,..,..,..,1,1,1,1,1,1,1,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Antigua and Barbuda,ATG,..,..,..,..,5,5,5,5,5,5,5,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Argentina,ARG,..,..,..,..,2,2,2,2,2,2,2,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Armenia,ARM,..,..,..,..,4,4,4,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Australia,AUS,..,..,..,..,11,11,11,11,11,11,11,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Austria,AUT,..,..,..,..,4,4,4,4,4,4,4,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Azerbaijan,AZE,..,..,..,..,2,2,2,2,2,8,12,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,"Bahamas, The",BHS,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Bahrain,BHR,..,..,..,..,1,1,1,1,1,1,3,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Bangladesh,BGD,..,..,..,..,5,5,5,5,5,5,5,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Barbados,BRB,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Belarus,BLR,..,..,..,..,1,1,1,1,3,3,3,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Belgium,BEL,..,..,..,..,4,4,4,4,4,8,8,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Belize,BLZ,..,..,..,..,4,4,4,4,4,4,4,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Benin,BEN,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Bhutan,BTN,..,..,..,..,4,4,4,4,4,4,4,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Bolivia,BOL,..,..,..,..,0,0,0,0,0,0,0,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Bosnia and Herzegovina,BIH,..,..,..,..,7,7,7,7,7,7,7,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Botswana,BWA,..,..,..,..,5,5,5,5,5,5,5,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Brazil,BRA,..,..,..,..,2,2,2,2,2,2,2,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Brunei Darussalam,BRN,..,..,..,..,4,4,4,5,12,12,12,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Bulgaria,BGR,..,..,..,..,8,8,8,8,8,8,8,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Burkina Faso,BFA,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Burundi,BDI,..,..,..,..,2,2,2,2,2,2,2,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Cabo Verde,CPV,..,..,..,..,1,1,1,1,1,1,1,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Cambodia,KHM,..,..,..,..,10,10,10,10,10,10,10,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Cameroon,CMR,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Canada,CAN,..,..,..,..,9,9,9,9,9,9,9,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Central African Republic,CAF,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Chad,TCD,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Chile,CHL,..,..,..,..,4,4,4,4,4,4,4,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,China,CHN,..,..,..,..,4,4,4,4,4,4,4,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Colombia,COL,..,..,..,..,3,11,11,11,11,11,11,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Comoros,COM,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,"Congo, Dem. Rep.",COD,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,"Congo, Rep.",COG,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Costa Rica,CRI,..,..,..,..,2,2,10,10,10,10,10,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Cote d'Ivoire,CIV,..,..,..,..,6,6,6,6,6,6,6,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Croatia,HRV,..,..,..,..,5,5,5,5,5,5,5,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,Cyprus,CYP,..,..,..,..,7,7,7,7,7,7,7,..
