Country,Code,score,data_country,data_year
Germany,DEU,4.20,,
Sweden,SWE,4.05,,
Belgium,BEL,4.04,,
Austria,AUT,4.03,,
Japan,JPN,4.03,,
Netherlands,NLD,4.02,,
Singapore,SGP,4.00,,
Denmark,DNK,3.99,,
United Kingdom,GBR,3.99,,
Finland,FIN,3.97,,
United Arab Emirates,ARE,3.96,,
"Hong Kong SAR, China",HKG,3.92,,
Switzerland,CHE,3.90,,
United States,USA,3.89,,
New Zealand,NZL,3.88,,
France,FRA,3.84,,
Spain,ESP,3.83,,
Australia,AUS,3.75,,
Italy,ITA,3.74,,
Canada,CAN,3.73,,
Norway,NOR,3.70,,
Czech Republic,CZE,3.68,,
Portugal,PRT,3.64,,
Luxembourg,LUX,3.63,,
"Korea, Rep.",KOR,3.61,,
China,CHN,3.61,,
"Taiwan, China",TWN,3.60,,
Poland,POL,3.54,,
Ireland,IRL,3.51,,
Qatar,QAT,3.47,,
Hungary,HUN,3.42,,
Thailand,THA,3.41,,
South Africa,ZAF,3.38,,
Chile,CHL,3.32,,
Slovenia,SVN,3.31,,
Estonia,EST,3.31,,
Israel,ISR,3.31,,
Panama,PAN,3.28,,
Vietnam,VNM,3.27,,
Iceland,ISL,3.23,,
Malaysia,MYS,3.22,,
Greece,GRC,3.20,,
Oman,OMN,3.20,,
India,IND,3.18,,
Cyprus,CYP,3.15,,
Indonesia,IDN,3.15,,
Turkey,TUR,3.15,,
Romania,ROM,3.12,,
Croatia,HRV,3.10,,
Côte d'Ivoire,CIV,3.08,,
Mexico,MEX,3.05,,
Bulgaria,BGR,3.03,,
Slovak Republic,SVK,3.03,,
Lithuania,LTU,3.02,,
Saudi Arabia,SAU,3.01,,
Brazil,BRA,2.99,,
Rwanda,RWA,2.97,,
Colombia,COL,2.94,,
Bahrain,BHR,2.93,,
Philippines,PHL,2.90,,
Argentina,ARG,2.89,,
Ecuador,ECU,2.88,,
Kuwait,KWT,2.86,,
"Iran, Islamic Rep.",IRN,2.85,,
Serbia,SRB,2.84,,
Ukraine,UKR,2.83,,
"Egypt, Arab Rep.",EGY,2.82,,
Kenya,KEN,2.81,,
Malta,MLT,2.81,,
Latvia,LVA,2.81,,
Kazakhstan,KAZ,2.81,,
Bosnia and Herzegovina,BIH,2.81,,
Costa Rica,CRI,2.79,,
Paraguay,PRY,2.78,,
Russian Federation,RUS,2.76,,
Benin,BEN,2.75,,
Montenegro,MNE,2.75,,
Mauritius,MUS,2.73,,
Lebanon,LBN,2.72,,
Brunei Darussalam,BRN,2.71,,
"Macedonia, FYR",MKD,2.70,,
Lao PDR,LAO,2.70,,
Peru,PER,2.69,,
Jordan,JOR,2.69,,
Uruguay,URY,2.69,,
Maldives,MDV,2.67,,
Dominican Republic,DOM,2.66,,
Albania,ALB,2.66,,
São Tomé and Principe,STP,2.65,,
Djibouti,DJI,2.63,,
Burkina Faso,BFA,2.62,,
Armenia,ARM,2.61,,
Honduras,HND,2.60,,
Sri Lanka,LKA,2.60,,
Cameroon,CMR,2.60,,
Mali,MLI,2.59,,
Malawi,MWI,2.59,,
Cambodia,KHM,2.58,,
Uzbekistan,UZB,2.58,,
Bangladesh,BGD,2.58,,
El Salvador,SLV,2.58,,
Uganda,UGA,2.58,,
Belarus,BLR,2.57,,
Solomon Islands,SLB,2.57,,
Tunisia,TUN,2.57,,
Ghana,GHA,2.57,,
Comoros,COM,2.56,,
Kyrgyz Republic,KGZ,2.55,,
Morocco,MAR,2.54,,
Nigeria,NGA,2.53,,
Zambia,ZMB,2.53,,
"Bahamas, The",BHS,2.53,,
Jamaica,JAM,2.52,,
Nepal,NPL,2.51,,
"Congo, Rep.",COG,2.49,,
Moldova,MDA,2.46,,
Algeria,DZA,2.45,,
Togo,TGO,2.45,,
Georgia,GEO,2.44,,
"Congo, Dem. Rep.",ZAR,2.43,,
Sudan,SDN,2.43,,
Pakistan,PAK,2.42,,
Chad,TCD,2.42,,
Trinidad and Tobago,TTO,2.42,,
Guatemala,GTM,2.41,,
Turkmenistan,TKM,2.41,,
"Gambia, The",GMB,2.40,,
Madagascar,MDG,2.39,,
Guinea-Bissau,GNB,2.39,,
Mongolia,MNG,2.37,,
Bolivia,BOL,2.36,,
Guyana,GUY,2.36,,
Fiji,FJI,2.35,,
Tajikistan,TJK,2.34,,
Mauritania,MRT,2.33,,
Equatorial Guinea,GNQ,2.32,,
Myanmar,MMR,2.30,,
Syrian Arab Republic,SYR,2.30,,
Lesotho,LSO,2.28,,
"Yemen, Rep.",YEM,2.27,,
Senegal,SEN,2.25,,
"Venezuela, RB",VEN,2.23,,
Liberia,LBR,2.23,,
Somalia,SOM,2.21,,
Guinea,GIN,2.20,,
Cuba,CUB,2.20,,
Iraq,IRQ,2.18,,
Papua New Guinea,PNG,2.17,,
Bhutan,BTN,2.17,,
Gabon,GAB,2.16,,
Central African Republic,CAF,2.15,,
Zimbabwe,ZWE,2.12,,
Haiti,HTI,2.11,,
Libya,LBY,2.11,,
Eritrea,ERI,2.09,,
Sierra Leone,SLE,2.08,,
Niger,NER,2.07,,
Burundi,BDI,2.06,,
Angola,AGO,2.05,,
Afghanistan,AFG,1.95,,
