Country name,ISO,Mobile Money Prevalence (2020):,Mobile Money Prevalence (2021):,Adult Population (2020):,Adult Population (2021):,,data_country,data_year
Afghanistan,AFG,Very low,Very low," 22,841,494 "," 23,443,578 ",,,
Albania,ALB,Low,Low," 2,386,552 "," 2,374,926 ",,,
Angola,AGO,Very low,Very low," 17,701,968 "," 18,481,536 ",,,
Argentina,ARG,Very low,Very low," 34,050,600 "," 34,617,129 ",,,
Armenia,ARM,Very low,Very low," 2,342,891 "," 2,351,089 ",,,
Bangladesh,BGD,High,High," 120,812,401 "," 122,396,790 ",,,
Benin,BEN,Very high,Very high," 7,126,529 "," 7,325,943 ",,,
Bolivia,BOL,Low,Low," 8,109,556 "," 8,315,132 ",,,
Botswana,BWA,High,High," 1,567,126 "," 1,610,947 ",,,
Brazil,BRA,Very low,Very low," 168,488,377 "," 170,214,630 ",,,
Burkina Faso,BFA,High,High," 11,660,101 "," 12,127,321 ",,,
Burundi,BDI,Medium,Medium," 6,640,210 "," 6,810,975 ",,,
Cambodia,KHM,Medium,Medium," 11,614,564 "," 11,781,642 ",,,
Cameroon,CMR,High,Very high," 15,593,337 "," 15,972,845 ",,,
Central African Republic,CAF,Very low,Low," 2,729,929 "," 2,805,118 ",,,
Chad,TCD,Low,Low," 8,835,325 "," 9,184,608 ",,,
Colombia,COL,Medium,Medium," 39,287,425 "," 39,991,155 ",,,
Congo,COG,Very high,Very high," 3,240,779 "," 3,363,707 ",,,
Côte d'Ivoire,CIV,Very high,Very high," 15,495,252 "," 16,025,069 ",,,
Dominican Republic,DOM,Very low,Very low," 7,848,581 "," 7,985,255 ",,,
DR Congo,COD,Medium,Medium," 49,123,636 "," 50,854,072 ",,,
Egypt,EGY,Low,Very low," 68,175,601 "," 69,521,122 ",,,
El Salvador,SLV,Low,Low," 4,746,716 "," 4,796,935 ",,,
Eswatini,SWZ,Very high,Very high," 723,083 "," 737,208 ",,,
Ethiopia,ETH,Low,Low," 69,851,945 "," 71,714,088 ",,,
Fiji,FJI,Medium,Medium," 638,769 "," 643,301 ",,,
Gabon,GAB,High,Very high," 1,418,936 "," 1,446,269 ",,,
Gambia,GMB,Very low,Low," 1,373,011 "," 1,413,981 ",,,
Georgia,GEO,Very low,Very low," 3,187,572 "," 3,170,658 ",,,
Ghana,GHA,Very high,Very high," 19,783,597 "," 20,158,505 ",,,
