COUNTRY,# Key Internet Controls employed,Social media or communications platforms blocked,"Political, social, or religious content blocked",ICT networks deliberately disrupted,Progovernment commentators manipualte online discussions,New law or directive increasing censorship or punisment passed,New law or directive increasing surveillance or restricting anonymity passed,"Blogger or ICT user arrested, imprisoned, or in prolonged detention for political or social content",Blogger or ICT user physically attacked or killed (including in custody),Technical attacks against government critics or human rights organizations,FOTN 2020 score,,data_country,data_year
Angola,1,,,,,,X,,,,62,,,
Argentina,2,,,,,,,X,,X,71,,,
Armenia,2,,,,,,X,,,X,75,,,
Australia,0,,,,,,,,,,76,,,
Azerbaijan,7,,X,X,X,X,,X,X,X,38,,,
Bahrain,6,X,X,,X,,,X,X,X,29,,,
Bangladesh,6,,X,X,X,,,X,X,X,42,,,
Belarus,7,,X,X,X,X,,X,X,X,38,,,
Brazil,5,,,,X,X,,X,X,X,63,,,
Cambodia,4,,X,,,X,,X,,X,43,,,
Canada,0,,,,,,,,,,87,,,
China,9,X,X,X,X,X,X,X,X,X,10,,,
Colombia,2,,,,,,,X,,X,66,,,
Cuba,8,,X,X,X,X,X,X,X,X,22,,,
Ecuador,5,X,,X,,,,X,X,X,57,,,
Egypt,6,X,X,,X,,,X,X,X,26,,,
Estonia,0,,,,,,,,,,94,,,
Ethiopia,7,X,X,X,X,X,,X,,X,29,,,
France,0,,,,,,,,,,77,,,
Georgia,2,,,,X,,,,,X,76,,,
Germany,1,,,,,,X,,,,80,,,
Hungary,4,,,,X,X,X,X,,,71,,,
Iceland,0,,,,,,,,,,95,,,
India,6,*,X,X,X,,,X,X,,51,,,
Indonesia,5,,X,X,X,,,X,,X,49,,,
Iran,8,X,X,X,X,,X,X,X,X,15,,,
Italy,1,,,,,,X,,,,76,,,
Japan,0,,,,,,,,,,75,,,
Jordan,5,X,X,,,X,,X,,X,49,,,
Kazakhstan,7,X,X,X,X,,,X,X,X,32,,,
Kenya,2,,,,X,,,X,,,67,,,
Kyrgyzstan,7,,X,X,X,X,,X,X,X,56,,,
Lebanon,3,,X,,,,,X,X,,52,,,
Libya,4,,,X,X,,,X,X,,50,,,
Malawi,0,,,,,,,,,,60,,,
Malaysia,3,,X,,X,,,X,,,58,,,
Mexico,3,,,,X,,,,X,X,61,,,
Morocco,3,,,,X,,,X,,X,52,,,
Myanmar,6,,X,X,X,,,X,X,X,31,,,
Nigeria,5,,X,,,,X,X,X,X,60,,,
Pakistan,7,X,X,X,X,,,X,X,X,26,,,
Philippines,6,,,X,X,X,*,X,,X,64,,,
Russia,8,X,X,X,X,X,,X,X,X,30,,,
Rwanda,4,,X,,X,,,X,X,,39,,,
Saudi Arabia,6,X,X,,X,,,X,X,X,26,,,
Singapore,3,,X,,,X,,X,,,54,,,
South Africa,1,,,,,X,,,,,70,,,
South Korea,2,,X,,,,,X,,,66,,,
Sri Lanka,4,,X,,X,,,X,,*,52,,,
Sudan,4,,,X,X,,,X,,X,30,,,
Syria,6,,X,X,X,,,X,X,X,17,,,
Thailand,5,,X,,X,X,,X,X,,35,,,
The Gambia,0,,,,,,,,,,49,,,
Tunisia,2,,,,,,,X,,X,64,,,
Turkey,8,X,X,,X,*,*,X,X,X,35,,,
Uganda,2,,X,,,,,X,,,56,,,
Ukraine,6,X,X,,X,,,X,X,X,61,,,
United Arab Emirates,6,X,X,,X,,,X,X,X,29,,,
United Kingdom,0,,,,,,,,,,78,,,
United States,4,,,,,X,,X,X,X,76,,,
Uzbekistan,9,X,X,X,X,X,X,X,X,X,27,,,
Venezuela,6,X,X,,X,,,X,X,X,28,,,
Vietnam,8,X,X,X,X,X,,X,X,X,22,,,
Zambia,3,,,X,X,,,X,,,59,,,
Zimbabwe,4,,,*,X,X,,X,X,,46,,,
June 2019-May 2020 coverage period,,17,35,22,39,19,10,49,32,38,,,,
