2015,2016,2017,2018,2019,Administrations,Items
,"60,00","60,00","50,00","50,00",Afghanistan,8.5 Percentage of the population having mail delivered at home
,"99,70","96,20",,"96,50",Albania,8.5 Percentage of the population having mail delivered at home
,,"100,00","90,00","90,00",Algeria,8.5 Percentage of the population having mail delivered at home
"15,00","15,00","15,00","21,00",ND,Angola,8.5 Percentage of the population having mail delivered at home
"80,00","93,00","40,00",,,Antigua and Barbuda,8.5 Percentage of the population having mail delivered at home
"93,00",,,,,Argentina,8.5 Percentage of the population having mail delivered at home
"93,00","100,00","100,00","100,00","100,00",Armenia,8.5 Percentage of the population having mail delivered at home
ND,ND,,ND,ND,Australia,8.5 Percentage of the population having mail delivered at home
"99,00","99,00","99,00","99,00","99,00",Austria,8.5 Percentage of the population having mail delivered at home
ND,ND,,ND,ND,Azerbaijan,8.5 Percentage of the population having mail delivered at home
,,,"5,00",,Bahamas,8.5 Percentage of the population having mail delivered at home
,"70,00","70,00",,"75,00",Bahrain (Kingdom of),8.5 Percentage of the population having mail delivered at home
"100,00","100,00","100,00","100,00","100,00",Barbados,8.5 Percentage of the population having mail delivered at home
"100,00","100,00","100,00","100,00","100,00",Belarus,8.5 Percentage of the population having mail delivered at home
"100,00","100,00","100,00","100,00","100,00",Belgium,8.5 Percentage of the population having mail delivered at home
"90,00","90,00",,"90,00","90,00",Belize,8.5 Percentage of the population having mail delivered at home
"6,00","6,00","6,00",,"6,00",Benin,8.5 Percentage of the population having mail delivered at home
"98,00",,,,"94,00",Bermuda,8.5 Percentage of the population having mail delivered at home
,"30,00","30,00","30,00","30,00",Bhutan,8.5 Percentage of the population having mail delivered at home
"35,00",,,,"31,00",Bolivia,8.5 Percentage of the population having mail delivered at home
"90,00","93,50","96,50","96,50","96,00",Bosnia and Herzegovina,8.5 Percentage of the population having mail delivered at home
NA,NG,,"1,30","1,33",Botswana,8.5 Percentage of the population having mail delivered at home
"85,53","85,90","96,94","97,32",ND,Brazil,8.5 Percentage of the population having mail delivered at home
"85,00","89,00","92,00","90,00","85,00",Brunei Darussalam,8.5 Percentage of the population having mail delivered at home
ND,"100,00","87,00","87,00","87,00",Bulgaria (Rep.),8.5 Percentage of the population having mail delivered at home
"0,00","0,00",NA,NG,ND,Burkina Faso,8.5 Percentage of the population having mail delivered at home
"2,00","3,00","2,50","3,00","3,00",Burundi,8.5 Percentage of the population having mail delivered at home
,ND,"50,00","5,00","5,00",Cambodia,8.5 Percentage of the population having mail delivered at home
,,,"5,00","5,00",Cameroon,8.5 Percentage of the population having mail delivered at home
"89,00","89,00","89,00","90,00","90,00",Canada,8.5 Percentage of the population having mail delivered at home
"39,00",,ND,,,Cape Verde,8.5 Percentage of the population having mail delivered at home
,,,"0,00","0,00",Cayman Islands,8.5 Percentage of the population having mail delivered at home
ND,ND,,,"0,50",Chad,8.5 Percentage of the population having mail delivered at home
"91,70","91,70","91,70",ND,"90,00",Chile,8.5 Percentage of the population having mail delivered at home
"99,99",ND,"99,99","99,99","99,99",China (People's Rep.),8.5 Percentage of the population having mail delivered at home
"75,00","99,63","96,40","98,96","80,00",Colombia,8.5 Percentage of the population having mail delivered at home
"10,00","10,00","15,00","20,00","3,00",Comoros,8.5 Percentage of the population having mail delivered at home
,"29,70","29,70","30,30",ND,Congo (Rep.),8.5 Percentage of the population having mail delivered at home
"97,00","99,50","99,50","98,00",,Costa Rica,8.5 Percentage of the population having mail delivered at home
ND,"19,00","1,00","0,00",ND,Côte d'Ivoire (Rep.),8.5 Percentage of the population having mail delivered at home
ND,"79,00","78,00","77,00","81,00",Croatia,8.5 Percentage of the population having mail delivered at home
,,,"97,00","97,00",Cuba,8.5 Percentage of the population having mail delivered at home
"98,00","98,00","98,00","98,00",,Cyprus,8.5 Percentage of the population having mail delivered at home
"99,99","100,00","100,00","100,00","100,00",Czech Rep.,8.5 Percentage of the population having mail delivered at home
"22,00",,"30,00",,"30,00",Democratic Republic of the Congo,8.5 Percentage of the population having mail delivered at home
"100,00","100,00","100,00","100,00","100,00",Denmark,8.5 Percentage of the population having mail delivered at home
"0,00","0,00","0,02","0,20","0,30",Djibouti,8.5 Percentage of the population having mail delivered at home
,,,"14,30",,Dominica (Commonwealth of),8.5 Percentage of the population having mail delivered at home
"98,00","98,00","98,00",,,Dominican Republic,8.5 Percentage of the population having mail delivered at home
