IndCode,SDG,Global,OECD,Spillover,Trend_Global,Trend_OECD,Indicator,Years for Trend Rating,Reference Year,Optimum (= 100),Green threshold,Red threshold,Lower Bound (=0),Justification for Optimum,Dwldlink,Source,Description,Imputation,data_country,data_year
sdg1_wpc,1,yes,yes,,yes,yes,Poverty headcount ratio at $1.90/day (%),2015 -2022,2022,0,2,13,72.6,SDG Target,http://worldpoverty.io/,World Data Lab,"Estimated percentage of the population that is living under the poverty threshold of US$1.90 a day. Estimated using historical estimates of the income distribution, projections of population changes by age and educational attainment, and GDP projections.",Data was not reported for those countries where no survey data was available.,,
sdg1_320pov,1,yes,yes,,yes,yes,Poverty headcount ratio at $3.20/day (%),2015 -2022,2022,0,2,13,51.5,SDG Target,http://worldpoverty.io/,World Data Lab,"Estimated percentage of the population that is living under the poverty threshold of US$3.20 a day. Estimated using historical estimates of the income distribution, projections of population changes by age and educational attainment, and GDP projections.",Data was not reported for those countries where no survey data was available.,,
sdg1_oecdpov,1,no,yes,,,yes,Poverty rate after taxes and transfers (%),2015 -2019,2019,6.1,10,15,17.7,Average of best performers,http://stats.oecd.org/Index.aspx?DataSetCode=IDD,OECD ,Relative poverty is measured as the share of the population whose incomes fall below half the median disposable income for the entire population. The income threshold for relative poverty changes over time with changes in median disposable income.,,,
sdg2_undernsh,2,yes,yes,,yes,yes,Prevalence of undernourishment (%),2015 -2019,2019,0,7.5,15,42.3,SDG Target,http://data.worldbank.org/indicator/SN.ITK.DEFC.ZS,FAO ,"The percentage of the population whose food intake is insufficient to meet dietary energy requirements for a minimum of one year. Dietary energy requirements are defined as the amount of dietary energy required by an individual to maintain body functions, health and normal activity. FAO et al. (2015) report 14.7 million undernourished people in developed regions, which corresponds to an average prevalence of 1.17% in the developed regions. We assumed a 1.2% prevalence rate for each high-income country with missing data. ","FAO et al. (2015) report 14.7 million undernourished people in developed regions, which corresponds to an average prevalence of 1.17% in the developed regions. We assumed a 1.2% prevalence rate for each high-income country with missing data. ",,
sdg2_stunting,2,yes,yes,,,,Prevalence of stunting in children under 5 years of age (%),2015 -2019,2019,0,7.5,15,50.2,SDG Target,http://data.worldbank.org/indicator/SH.STA.STNT.ZS,UNICEF et al. ,"The percentage of children up to the age of 5 years that are stunted, measured as the percentage that fall below minus two standard deviations from the median height for their age, according to the WHO Child Growth Standards. UNICEF et al. (2016) report an average prevalence of wasting in high-income countries of 2.58%. We assumed this value for high-income countries with missing data.",UNICEF et al. (2016) report an average prevalence of stunting in high-income countries of 2.58%. We assumed this value for high-income countries with missing data. Modeled estimates from the IHME are used for calculating trend estimations due to missing data in the series from UNICEF.,,
sdg2_wasting,2,yes,yes,,,,Prevalence of wasting in children under 5 years of age (%),2015 -2019,2019,0,5,10,16.3,SDG Target,http://data.worldbank.org/indicator/SH.STA.WAST.ZS,UNICEF et al. ,"The percentage of children up to the age of 5 years whose weight falls below minus two standard deviations from the median weight for their age, according to the WHO Child Growth Standards. UNICEF et al. (2016) report an average prevalence of wasting in high-income countries of 0.75%. We assumed this value for high-income countries with missing data.",UNICEF et al. (2016) report an average prevalence of wasting in high-income countries of 0.75%. We assumed this value for high-income countries with missing data. Modeled estimates from the IHME are used for calculating trend estimations due to missing data in the series from UNICEF. ,,
sdg2_obesity,2,yes,yes,,yes,yes,"Prevalence of obesity, BMI ≥ 30 (% of adult population)",2013 -2016,2016,2.8,10,25,35.1,Average of best performers,http://apps.who.int/gho/data/view.main.CTRY2450A?lang=en,WHO ,"The percentage of the adult population that has a body mass index (BMI) of 30kg/m² or higher, based on measured height and weight.",,,
sdg2_trophic,2,yes,yes,,yes,yes,Human Trophic Level (best 2-3 worst),2014 -2017,2017,2.04,2.2,2.4,2.47,Average of best performers,https://doi.org/10.1073/pnas.1305827110,Bonhommeau et al. (2013),Trophic levels are a measure of the energy intensity of diet composition and reflect the relative amounts of plants as opposed to animals eaten in a given country. A higher trophic level represents a greater level of consumption of energy-intensive animals.,,,
sdg2_crlyld,2,yes,yes,,yes,yes,Cereal yield (tonnes per hectare of harvested land),2015 -2018,2018,7,2.5,1.5,0.2,Average of best performers,http://data.worldbank.org/indicator/AG.YLD.CREL.KG,FAO ,"Cereal yield, measured as tonnes per hectare of harvested land. Production data on cereals relate to crops harvested for dry grain only and excludes crops harvested for hay or green for food, feed, or silage and those used for grazing.",,,
sdg2_snmi,2,yes,yes,,yes,yes,Sustainable Nitrogen Management Index (best 0-1.41 worst),2012 -2015,2015,0,0.3,0.7,1.2,Technical Optimum,https://doi.org/10.1002/essoar.10501111.1,Zhang and Davidson (2019),The Sustainable Nitrogen Management Index (SNMI) is a one-dimensional ranking score that combines two efficiency measures in crop production: Nitrogen use efficiency (NUE) and land use efficiency (crop yield).,,,
sdg2_yieldgap,2,no,yes,,,,Yield gap closure (% of potential yield),,2018,77,75,50,28,Average of best performers,http://www.yieldgap.org/web/guest/glossary,Global Yield Gap Atlas,"A country's yield expressed as a percentage of its potential yield in the three annual crops using the most land area, weighted for the relative importance of each crop in terms of surface area.",,,
sdg2_pestexp,2,yes,yes,yes,,,Exports of hazardous pesticides (tonnes per million population),,2019,0,1,50,250,Technical Optimum,http://www.fao.org/faostat/en/#data/RT/metadata,FAO ,"Exports of pesticides deemed hazardous to human health, standardized by population. Due to volatility, the calculation uses the average value over the last 5 years.",,,
sdg3_matmort,3,yes,yes,,yes,yes,"Maternal mortality rate (per 100,000 live births) ",2014 -2017,2017,3.4,70,140,814,Average of best performers,http://data.worldbank.org/indicator/SH.STA.MMRT,WHO et al. ,"The estimated number of women, between the age of 15-49, who die from pregnancy-related causes while pregnant or within 42 days of termination of pregnancy, per 100,000 live births.",,,
sdg3_neonat,3,yes,yes,,yes,yes,"Neonatal mortality rate (per 1,000 live births)",2015 -2020,2020,1.1,12,18,39.7,Average of best performers,http://data.worldbank.org/indicator/SH.DYN.NMRT,UNICEF et al. ,"The number of newborn infants (neonates) who die before reaching 28 days of age, per 1,000 live births.",,,
sdg3_u5mort,3,yes,yes,,yes,yes,"Mortality rate, under-5 (per 1,000 live births)",2015 -2020,2020,2.6,25,50,130.1,Average of best performers,http://data.worldbank.org/indicator/SH.DYN.MORT,UNICEF et al. ,"The probability that a newborn baby will die before reaching age five, if subject to age-specific mortality rates of the specified year, per 1,000 live births.",,,
sdg3_tb,3,yes,yes,,yes,yes,"Incidence of tuberculosis (per 100,000 population)",2015 -2020,2020,0,10,75,561,SDG Target,http://data.worldbank.org/indicator/SH.TBS.INCD,WHO ,"The estimated rate of new and relapse cases of tuberculosis in a given year, expressed per 100,000 people. All forms of tuberculosis are included, including cases of people living with HIV.",,,
sdg3_hiv,3,yes,yes,,yes,yes,"New HIV infections (per 1,000 uninfected population)",2015 -2020,2020,0,0.2,1,5.5,SDG Target,https://aidsinfo.unaids.org/?chp=false,UNAIDS ,"Number of people newly infected with HIV per 1,000 uninfected population.",,,
sdg3_ncds,3,yes,yes,,yes,yes,"Age-standardized death rate due to cardiovascular disease, cancer, diabetes, or chronic respiratory disease in adults aged 30–70 years (%)",2015 -2019,2019,9.3,15,25,31,Average of best performers,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/probability-(-)-of-dying-between-age-30-and-exact-age-70-from-any-of-cardiovascular-disease-cancer-diabetes-or-chronic-respiratory-disease,WHO ,"The probability of dying between the ages of 30 and 70 years from cardiovascular diseases, cancer, diabetes or chronic respiratory diseases, defined as the percent of 30-year-old-people who would die before their 70th birthday from these diseases, assuming current mortality rates at every age and that individuals would not die from any other cause of death (e.g. injuries or HIV/AIDS).",,,
sdg3_pollmort,3,yes,yes,,,,"Age-standardized death rate attributable to household air pollution and ambient air pollution (per 100,000 population)",,2016,0,18,150,368.8,SDG Target,https://unstats.un.org/sdgs/indicators/database/?indicator=3.9.1,WHO ,Mortality rate that is attributable to the joint effects of fuels used for cooking indoors and ambient outdoor air pollution.,,,
sdg3_traffic,3,yes,yes,,yes,yes,"Traffic deaths (per 100,000 population)",2015 -2019,2019,3.2,8.4,16.8,33.7,Average of best performers,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-road-traffic-death-rate-(per-100-000-population),WHO ,"Estimated number of fatal road traffic injuries per 100,000 people.",,,
sdg3_lifee,3,yes,yes,,yes,yes,Life expectancy at birth (years),2015 -2019,2019,83,80,70,54,Average of best performers,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/life-expectancy-at-birth-(years),WHO ,"The average number of years that a newborn could expect to live, if he or she were to pass through life exposed to the sex- and age-specific death rates prevailing at the time of his or her birth, for a specific year, in a given country, territory, or geographic area.",,,
sdg3_fertility,3,yes,yes,,yes,yes,"Adolescent fertility rate (births per 1,000 females aged 15 to 19)",2015 -2019,2019,2.5,25,50,139.6,Average of best performers,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-birth-rate-(per-1000-women-aged-15-19-years),WHO,"The number of births per 1,000 females between the age of 15 to 19.",,,
sdg3_births,3,yes,yes,,yes,yes,Births attended by skilled health personnel (%),2015 -2018,2018,100,98,90,23.1,Leave no one behind,http://data.worldbank.org/indicator/SH.STA.BRTC.ZS,UNICEF ,"The percentage of births attended by personnel trained to give the necessary supervision, care, and advice to women during pregnancy, labor, and the postpartum period, to conduct deliveries on their own, and to care for newborns.",,,
sdg3_vac,3,yes,yes,,yes,yes,Surviving infants who received 2 WHO-recommended vaccines (%),2015 -2020,2020,100,90,80,41,Leave no one behind,https://data.unicef.org/topic/child-health/immunization/#data,WHO and UNICEF ,"Estimated national routine immunization coverage of infants, expressed as the percentage of surviving infants, children under the age of 12 months, who received two WHO-recommended vaccines (3rd dose of DTP and 1st dose of measles). Calculated as the minimum value between the percentage of infants who have received the 3rd dose of DTP and the percentage who have received the 1st dose of measles.",,,
sdg3_uhc,3,yes,yes,,yes,yes,Universal health coverage (UHC) index of service coverage (worst 0-100 best),2015 -2019,2019,100,80,60,38.2,Leave no one behind,https://unstats.un.org/sdgs/indicators/database/?indicator=3.8.1,WHO ,"Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population). The indicator is an index reported on a unitless scale of 0 to 100, which is computed as the geometric mean of 14 tracer indicators of health service coverage.",,,
sdg3_swb,3,yes,yes,,yes,yes,"Subjective well-being (average ladder score, worst 0-10 best)",2015 -2021,2021,7.6,6,5,3.3,Average of best performers,https://ga.gallup.com/,Gallup ,"Subjective self-evaluation of life, where respondents are asked to evaluate where they feel they stand on a ladder where 0 represents the worst possible life and 10 the best possible life.",,,
sdg3_region,3,no,yes,,,yes,Gap in life expectancy at birth among regions (years),2015 -2019,2019,0,3,7,11,Leave no one behind,https://www.oecd-ilibrary.org/governance/oecd-regions-and-cities-at-a-glance-2018/health-status_reg_cit_glance-2018-20-en,OECD ,Difference between maximum and minimum regional life expectancy at birth among regions.,,,
sdg3_incomeg,3,no,yes,,,yes,Gap in self-reported health status by income (percentage points),2015 -2020,2020,0,20,40,45,Leave no one behind,https://stats.oecd.org/index.aspx?queryid=48833,OECD ,Gap in percentage of people who perceive their health status as good or very good between the poorest 20% and the richest 20% of the population.,,,
sdg3_smoke,3,no,yes,,,yes,Daily smokers (% of population aged 15 and over),2015 -2020,2020,10.1,18,32,35,Average of best performers,https://data.oecd.org/healthrisk/daily-smokers.htm,OECD ,The percentage of the population aged 15 years and older who are reported to smoke daily.,,,
sdg4_earlyedu,4,yes,yes,,yes,yes,Participation rate in pre-primary organized learning (% of children aged 4 to 6),2015 -2020,2020,100,90,70,35,SDG Target,http://data.uis.unesco.org/,UNESCO ,Participation rate in organized learning one year before the official primary entry age.,We imputed values from OECD's Education at a Glance for Canada.,,
sdg4_primary,4,yes,yes,,yes,yes,Net primary enrollment rate (%),2015 -2020,2020,100,97,80,53.8,SDG Target,http://data.uis.unesco.org/,UNESCO ,The percentage of children of the official school age population who are enrolled in primary education.,,,
sdg4_second,4,yes,yes,,yes,yes,Lower secondary completion rate (%),2015 -2020,2020,100,90,75,18,SDG Target,https://data.worldbank.org/indicator/SE.SEC.CMPT.LO.ZS,UNESCO ,"Lower secondary education completion rate measured as the gross intake ratio to the last grade of lower secondary education (general and pre-vocational). It is calculated as the number of new entrants in the last grade of lower secondary education, regardless of age, divided by the population at the entrance age for the last grade of lower secondary education.",OECD enrollment data was imputed for OECD countries with missing data in the UNESCO database.,,
sdg4_literacy,4,yes,yes,,yes,yes,Literacy rate (% of population aged 15 to 24),2015 -2019,2019,100,95,85,45.2,Leave no one behind,http://data.uis.unesco.org/,UNESCO ,"The percentage of youth, aged 15 to 24, who can both read and write a short simple statement on everyday life with understanding.",,,
