Order,Country Name,Value,Score
1,Singapore,78.13,100
2,Switzerland,64.57,82.59
3,"Korea, Rep.",63.66,81.42
4,Germany,61.45,78.58
5,Hungary,59.72,76.36
6,Japan,56.21,71.85
7,Ireland,54.35,69.46
8,Denmark,54.22,69.29
9,Qatar,54.17,69.23
10,Sweden,53.01,67.74
11,Czech Republic,52.4,66.96
12,Slovakia,51.38,65.65
13,France,50.08,63.98
14,Belgium,49.51,63.25
15,Netherlands,48.86,62.41
16,United States,47.77,61.01
17,Austria,45.65,58.29
18,United Kingdom,45.43,58.01
19,"Iran, Islamic Rep.",45.17,57.67
20,Philippines,44.68,57.04
21,Malaysia,44.12,56.32
22,Italy,42.93,54.8
23,Romania,42.53,54.28
24,Israel,42.4,54.12
25,Mexico,41.61,53.1
26,China,41.45,52.9
27,Finland,41.39,52.82
28,Thailand,40.71,51.95
29,Belarus,40.56,51.75
30,Spain,39.85,50.84
31,Norway,39.82,50.8
32,Trinidad and Tobago,39.6,50.52
33,India,38.76,49.44
34,Saudi Arabia,37.89,48.32
35,Viet Nam,37.77,48.17
36,Slovenia,37.47,47.78
37,Hong Kong (China),37.38,47.67
38,Poland,35.43,45.17
39,Brazil,35.39,45.11
40,Indonesia,35.08,44.72
41,Venezuela,34.28,43.69
42,Tunisia,33.65,42.88
43,Nigeria,33.44,42.61
44,Malta,32.53,41.44
45,Turkey,31.45,40.05
46,Croatia,30.77,39.18
47,Canada,30.57,38.92
48,Ukraine,30.36,38.65
49,Russian Federation,30.27,38.54
50,Bulgaria,29.73,37.85
51,Kuwait,29.27,37.25
52,Lithuania,27.9,35.5
53,Estonia,27.81,35.38
54,Morocco,27.75,35.3
55,Cabo Verde,27.1,34.47
56,Australia,27.03,34.38
57,Serbia,26.35,33.5
58,Jordan,26.3,33.44
59,Argentina,26,33.06
60,Portugal,25.61,32.55
61,United Arab Emirates,25.46,32.36
62,Cyprus,25.39,32.27
63,Pakistan,24.62,31.28
64,South Africa,24.43,31.04
65,North Macedonia,23.03,29.24
66,Colombia,22.78,28.92
67,Guatemala,22.4,28.43
68,Bahrain,22.17,28.14
69,Luxembourg,22,27.92
70,Oman,21.94,27.84
71,Paraguay,21.92,27.82
72,Zimbabwe,21.82,27.69
73,Senegal,21.65,27.47
74,Latvia,21.52,27.3
75,Zambia,21.08,26.74
76,Greece,20.92,26.53
77,Costa Rica,20.82,26.4
78,Azerbaijan,20.28,25.71
79,Lebanon,19.95,25.29
80,El Salvador,19.13,24.23
81,Jamaica,18.77,23.77
82,New Zealand,18.53,23.46
83,Bosnia and Herzegovina,18.41,23.31
84,Chile,17.84,22.58
85,Moldova,16.38,20.7
86,Ethiopia,16.07,20.3
87,Peru,15.91,20.1
88,Uruguay,15.29,19.3
89,Kenya,15.03,18.97
90,Côte d'Ivoire,14.99,18.92
91,Montenegro,14.86,18.75
92,Kazakhstan,14.2,17.9
93,Egypt,13.98,17.62
94,Lao PDR,13.58,17.11
95,Iceland,13.05,16.42
96,Ecuador,12.07,15.17
97,Bolivia,11.67,14.65
98,Georgia,11.52,14.46
99,Malawi,11.34,14.23
100,Uganda,11.07,13.88
101,Mozambique,10.89,13.65
102,Mauritius,9.78,12.23
103,Bangladesh,9.76,12.2
104,Nepal,8.38,10.43
105,Cameroon,7.61,9.44
106,Sri Lanka,7.57,9.39
107,Namibia,7.35,9.1
108,Honduras,7.16,8.86
109,Tanzania,6.83,8.44
110,Albania,6.69,8.26
111,Rwanda,6.66,8.22
112,Panama,6.22,7.65
113,Botswana,5.77,7.08
114,Mongolia,5.55,6.79
115,Armenia,4.51,5.46
116,Gambia,3.9,4.67
117,Madagascar,3.56,4.24
118,Angola,3.37,3.99
119,Kyrgyzstan,2.96,3.47
120,Algeria,2.69,3.12
121,Burundi,2.57,2.97
122,Tajikistan,2.19,2.48
123,Yemen,2.06,2.31
124,Eswatini,1.65,1.79
125,Ghana,0.8,0.69
126,Cambodia,0.26,0
,Benin,n/a,n/a
,Burkina Faso,n/a,n/a
,Chad,n/a,n/a
,"Congo, Dem. Rep.",n/a,n/a
,Dominican Republic,n/a,n/a
,Guinea,n/a,n/a
,Lesotho,n/a,n/a
,Mali,n/a,n/a
