City/metropolitan area,Overall Score,Ranking,Score (Research  innovation),Ranking (Research  innovation),Score (Innovation economy),Ranking (Innovation economy),Score (Innovation  ecosystem),Ranking (Innovation  ecosystem)
San Francisco ? San Jose,100,1,91.59,3,100,1,100,1
New York,88.44,2,100,1,67.63,11,94.26,2
Boston ? Cambridge ? Newton,85.57,3,98.49,2,67.91,10,87.73,4
Tokyo,84.75,4,82.99,10,90.92,2,76.37,15
Beijing,84.68,5,85.96,8,86.49,3,77.96,11
London,80.69,6,88.49,4,63.63,18,88.09,3
Seattle ? Tacoma ? Bellevue,77.61,7,81.8,14,69.47,9,80.04,9
Los Angeles ? Long Beach ? Anaheim,76.88,8,85.1,9,63.46,19,81.18,6
Baltimore ? Washington,76.72,9,87.96,5,63.74,15,77.9,12
Chapel Hill ? Durham ? Raleigh,76.58,10,87.13,7,64.2,14,77.81,13
Paris,76.43,11,87.8,6,66.78,12,74.2,20
Amsterdam,75.64,12,82.3,11,62.87,22,81.01,7
Chicago ? Naperville ? Elgin,75.11,13,80.43,15,62.76,23,81.39,5
Singapore,74.36,14,77.8,18,63.66,16,80.86,8
Copenhagen,73.62,15,82.2,12,61.47,27,77.15,14
Seoul,73.46,16,77.75,19,71.29,7,70.84,24
Shanghai,73.44,17,75.36,23,72.28,5,71.95,23
Philadelphia,72.66,18,77.2,21,61.68,26,78.89,10
Munich,72.37,19,77.69,20,63.66,17,75.67,17
Stockholm,72.25,20,81.9,13,63.24,20,72,22
Toronto,72.14,21,78.68,17,63.23,21,74.61,18
Hong Kong,71.94,22,76.71,22,64.64,13,74.42,19
Tel Aviv,70.46,23,74.59,24,71.43,6,65.58,27
Berlin,70.15,24,73.2,27,61.77,25,75.74,16
Shenzhen,70.07,25,64.89,29,77.24,4,67.46,26
Sydney,69.75,26,79.82,16,60,30,70.48,25
Helsinki,68.83,27,73.83,25,60.76,28,72.69,21
Kyoto ? Osaka ? Kobe,68.56,28,73.43,26,70.12,8,62.91,29
Lyon ? Grenoble,65,29,72.69,28,60.59,29,63.71,28
Bangalore,60,30,60,30,62.43,24,60,30
