2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020*,data_country,data_year
 19.1 , 19.2 , 18.8 , 18.5 , 18.4 , 17.8 , 17.2 , 16.7 , 16.0 , 15.1 , 14.0 , 13.4 , 12.9 , 12.4 , 11.9 ,," 1,243 "," 1,261 "," 1,254 "," 1,249 "," 1,254 "," 1,229 "," 1,202 "," 1,179 "," 1,142 "," 1,095 "," 1,032 ", 995 , 971 , 942 , 915 , N/A ,,
 47.2 , 46.6 , 44.8 , 44.3 , 45.5 , 44.6 , 43.4 , 42.2 , 41.3 , 40.2 , 39.0 , 38.0 , 37.0 , 35.6 , 34.3 ,, 570 , 565 , 546 , 544 , 562 , 553 , 540 , 527 , 516 , 503 , 493 , 482 , 470 , 453 , 439 , N/A ,,
 12.7 , 13.0 , 13.0 , 12.8 , 12.4 , 11.9 , 11.5 , 11.2 , 10.6 , 9.9 , 8.9 , 8.3 , 8.0 , 7.7 , 7.4 ,, 673 , 696 , 708 , 705 , 692 , 676 , 661 , 653 , 626 , 592 , 539 , 513 , 501 , 489 , 476 , N/A ,,
 0.9 , 0.9 , 0.9 , 0.9 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 0.9 , 0.9 , 0.8 , 0.9 , 0.8 ,, 6 , 7 , 7 , 7 , 8 , 9 , 8 , 9 , 9 , 9 , 8 , 9 , 8 , 9 , 9 , N/A ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 3.8 , 3.9 , 3.7 , 3.5 , 3.4 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 18 , 19 , 18 , 18 , 18 , N/A ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 12.1 , 12.1 , 11.9 , 11.9 , 11.7 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , 8 , 8 , 8 , 8 , 8 , N/A ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020*,,
 33.9 , 41.7 , 50.6 , 59.7 , 68.0 , 76.6 , 84.2 , 88.5 , 93.1 , 96.7 , 97.3 , 100.6 , 102.7 , 104.9 , 107.8 ,," 2,205 "," 2,745 "," 3,368 "," 4,030 "," 4,640 "," 5,290 "," 5,890 "," 6,261 "," 6,662 "," 6,996 "," 7,152 "," 7,481 "," 7,724 "," 7,972 "," 8,283 ", 105.0 ,,
 82.1 , 92.9 , 102.0 , 107.8 , 112.1 , 113.3 , 113.1 , 115.7 , 118.2 , 122.0 , 124.5 , 125.9 , 126.3 , 128.5 , 131.8 ,, 992 ," 1,127 "," 1,243 "," 1,325 "," 1,383 "," 1,404 "," 1,406 "," 1,443 "," 1,479 "," 1,527 "," 1,573 "," 1,595 "," 1,605 "," 1,638 "," 1,684 ", 133.4 ,,
