#,Keyword,Search Volume
1,bts,"16,723,304"
2,pewdiepie,"16,495,659"
3,asmr,"14,655,088"
4,billie eilish,"13,801,247"
5,baby shark,"12,110,100"
6,old town road,"10,456,524"
7,music,"10,232,134"
8,badabun,"10,188,997"
9,blackpink,"9,580,131"
10,fortnite,"9,117,342"
11,minecraft,"8,540,800"
12,pewdiepie vs t series,"8,252,156"
13,peliculas completas en español,"8,223,530"
14,senorita,"8,203,240"
15,ariana grande,"7,599,148"
16,alan walker,"7,011,862"
17,tik tok,"6,918,634"
18,musica,"6,776,562"
19,wwe,"6,720,364"
20,calma,"6,570,493"
21,bad bunny,"6,462,239"
22,eminem,"6,454,801"
23,queen,"6,443,123"
24,ed sheeran,"6,098,093"
25,peppa pig,"6,011,992"
26,despacito,"5,694,159"
27,la rosa de guadalupe,"5,653,795"
28,taki taki,"5,437,988"
29,enes batur,"5,424,066"
30,michael jackson,"5,079,319"
31,songs,"5,040,082"
32,t series,"4,948,708"
33,maluma,"4,858,299"
34,bad guy,"4,806,490"
35,markiplier,"4,770,407"
36,taylor swift,"4,709,317"
37,ozuna,"4,665,643"
38,nightcore,"4,622,362"
39,paulo londra,"4,606,009"
40,karaoke,"4,542,724"
41,james charles,"4,530,707"
42,youtube,"4,472,373"
43,imagine dragons,"4,471,413"
44,dance monkey,"4,468,853"
45,twice,"4,388,230"
46,roblox,"4,383,944"
47,free fire,"4,368,431"
48,gacha life,"4,360,138"
49,post malone,"4,268,859"
50,justin bieber,"4,153,259"
51,felipe neto,"4,129,776"
52,bruno mars,"4,125,165"
53,7 rings,"4,071,507"
54,china,"4,007,730"
55,doraemon,"3,919,814"
56,anuel,"3,895,705"
57,kill this love,"3,841,537"
58,jacksepticeye,"3,777,353"
59,maroon 5,"3,771,017"
60,joe rogan,"3,763,617"
61,game of thrones,"3,762,771"
62,marshmello,"3,739,179"
63,linkin park,"3,735,715"
64,david dobrik,"3,707,115"
65,bohemian rhapsody,"3,702,925"
66,squeezie,"3,639,897"
67,lady gaga,"3,636,055"
68,aaj tak live,"3,576,911"
69,5 minute crafts,"3,542,329"
70,cardi b,"3,541,762"
71,geo news live,"3,529,420"
72,мсEзсEка,"3,510,408"
73,selena gomez,"3,452,110"
74,coldplay,"3,438,660"
75,dantdm,"3,432,755"
76,lofi,"3,423,363"
77,anuel aa,"3,421,588"
78,rihanna,"3,399,253"
79,drake,"3,391,085"
80,dross,"3,388,714"
81,los polinesios,"3,378,828"
82,rap,"3,372,895"
83,shawn mendes,"3,303,856"
84,cocomelon,"3,286,720"
85,sia,"3,286,486"
86,song,"3,216,548"
87,slime,"3,215,921"
88,dua lipa,"3,215,514"
89,con calma,"3,209,614"
90,funny videos,"3,185,759"
91,mikecrack,"3,183,225"
92,vegetta777,"3,150,688"
93,pubg,"3,052,130"
94,avengers endgame,"3,043,992"
95,movies,"3,041,954"
96,soolking,"3,039,784"
97,believer,"3,008,394"
98,gta 5,"3,000,893"
99,romeo santos,"2,995,028"
100,katy perry,"2,993,646"
